time_s,charge_current_a,ann_unclipped_current_a,ann_requested_current_a,safety_filtered_current_a,safety_filter_intervened,safety_override,target_current_cap_active,ann_inference_time_s,soc,terminal_voltage_v,average_temperature_c,source
730.0,3.8754401732413415,3.8911165617547385,3.8911165617547385,3.8754401732413415,True,False,False,3.86e-05,0.31553741587884976,3.7777153227436515,33.50000999999805,reduced_model
735.0,3.877153067805075,3.891693340963738,3.891693340963738,3.877153067805075,True,False,False,3.8700000000000006e-05,0.31661440284212894,3.7785843325835833,33.50000999999905,reduced_model
740.0,3.878799903341037,3.892225937966554,3.892225937966554,3.878799903341037,True,False,False,3.8900000000000004e-05,0.31769184725972366,3.7794551732685706,33.500009999999094,reduced_model
745.0,3.880383213538253,3.8927331078160323,3.8927331078160323,3.880383213538253,True,False,False,3.9800000000000005e-05,0.31876973148570653,3.7803277355500406,33.500009999999904,reduced_model
750.0,3.8819054310489807,3.893229109993933,3.893229109993933,3.8819054310489807,True,False,False,5.4800000000000004e-05,0.3198480385498868,3.78120191613887,33.500009999998504,reduced_model
755.0,3.8833688939849633,3.8937243145186775,3.8937243145186775,3.8833688939849633,True,False,False,4.6e-05,0.3209267521315493,3.7820776174089277,33.50000999999842,reduced_model
760.0,3.8847758495740683,3.894225809002078,3.894225809002078,3.8847758495740683,True,False,False,4.0600000000000004e-05,0.32200585653420877,3.7829547470864973,33.50000999999784,reduced_model
765.0,3.8861284594290666,3.894737979537287,3.894737979537287,3.8861284594290666,True,False,False,3.9500000000000005e-05,0.3230853366618279,3.7838332180166887,33.50000999999948,reduced_model
770.0,3.8874288022449752,3.8952630439540528,3.8952630439540528,3.8874288022449752,True,False,False,3.9500000000000005e-05,0.32416517799578487,3.784712947902093,33.50000999999807,reduced_model
775.0,3.8886788787515814,3.8958015294143524,3.8958015294143524,3.8886788787515814,True,False,False,3.71e-05,0.32524536657321584,3.785593859119289,33.50000999999886,reduced_model
780.0,3.889880613103618,3.8963526867681852,3.8963526867681852,3.889880613103618,True,False,False,3.74e-05,0.3263258889657446,3.78647587847358,33.500009999999364,reduced_model
785.0,3.891035857201559,3.8969148455440092,3.8969148455440092,3.891035857201559,True,False,False,3.69e-05,0.3274067322594117,3.787358937038019,33.50000999999845,reduced_model
790.0,3.8921463931907603,3.8974857085258368,3.8974857085258368,3.8921463931907603,True,False,False,3.7000000000000005e-05,0.328487884035298,3.7882429699669022,33.50000999999961,reduced_model
