time_s,charge_current_a,ann_unclipped_current_a,ann_requested_current_a,safety_filtered_current_a,safety_filter_intervened,safety_override,target_current_cap_active,ann_inference_time_s,soc,terminal_voltage_v,average_temperature_c,source
1310.0,3.97937348516924,3.97937348516924,3.97937348516924,3.97937348516924,False,False,False,7.6e-05,0.4348836210399418,3.8829127276083844,33.49633776245764,chen2020_dfn
1315.0,3.9796667082175987,3.9796667082175987,3.9796667082175987,3.9796667082175987,False,False,False,7.6e-05,0.4359890840144467,3.883994412331642,33.496244121751545,chen2020_dfn
1320.0,3.9799543795880585,3.9799543795880585,3.9799543795880585,3.9799543795880585,False,False,False,7.58e-05,0.43709462689766565,3.8850743856777763,33.49614967844286,chen2020_dfn
1325.0,3.9802367587582066,3.9802367587582066,3.9802367587582066,3.9802367587582066,False,False,False,7.33e-05,0.43820024821954306,3.8861526151271826,33.496054582183206,chen2020_dfn
1330.0,3.980514076950484,3.980514076950484,3.980514076950484,3.980514076950484,False,False,False,7.77e-05,0.4393059465742515,3.887229073074555,33.49595899221481,chen2020_dfn
1335.0,3.9807865339538546,3.9807865339538546,3.9807865339538546,3.9807865339538546,False,False,False,7.77e-05,0.44041172061146094,3.888303736908095,33.49586307719636,chen2020_dfn
1340.0,3.981054294900154,3.981054294900154,3.981054294900154,3.981054294900154,False,False,False,7.75e-05,0.4415175690267109,3.8893765890388634,33.49576701499171,chen2020_dfn
1345.0,3.9813174869804238,3.9813174869804238,3.9813174869804238,3.9813174869804238,False,False,False,7.950000000000001e-05,0.44262349055087213,3.890447616874628,33.49567099242347,chen2020_dfn
1350.0,3.9815761960091236,3.9815761960091236,3.9815761960091236,3.9815761960091236,False,False,False,7.740000000000001e-05,0.4437294839386524,3.8915168127258863,33.49557520498479,chen2020_dfn
1355.0,3.981830463073209,3.981830463073209,3.981830463073209,3.981830463073209,False,False,False,8.6e-05,0.44483554795617275,3.892584173642315,33.49547985651435,chen2020_dfn
1360.0,3.982080280983413,3.982080280983413,3.982080280983413,3.982080280983413,False,False,False,7.48e-05,0.4459416813675571,3.8936497011644766,33.49538515882534,chen2020_dfn
