scenario_id,scenario_kind,initial_soc,ambient_temperature_c,capacity_multiplier,resistance_multiplier,time_constant_multiplier,heat_capacity_multiplier,thermal_resistance_multiplier,heat_gain_multiplier,soc_bias,temperature_bias_c,polarization_fast_bias_v,polarization_slow_bias_v,noise_scale,controller,controller_declared_complete,completion_success,physical_safe,teacher_feasible,charge_time_min,final_true_soc,terminal_true_soc_error,maximum_voltage_v,maximum_temperature_c,maximum_current_a,maximum_current_change_a,optimization_count,optimizer_success_fraction,fallback_count,mean_solve_time_ms,maximum_solve_time_ms,required_optimizer_success_fraction,maximum_allowed_fallback_count,voltage_limit_exceeded,temperature_limit_exceeded,current_limit_exceeded,current_change_limit_exceeded,active_voltage_constraint_count,active_voltage_constraint_fraction,active_temperature_constraint_count,active_temperature_constraint_fraction,active_current_upper_constraint_count,active_current_upper_constraint_fraction,active_current_change_constraint_count,active_current_change_constraint_fraction,infeasibility_reasons
lhs_003,latin_hypercube,0.2314004746366455,15.674735475846893,1.0016242407810003,1.1081289270466834,1.1065329898121432,1.1273397130178622,1.1460845641746835,1.0925201836937373,0.001314581596156,-0.0856540979569112,-0.0026777918543491,-0.0019726419469829,1.0,nominal_mpc,True,True,False,False,36.41666666666666,0.7997988600784884,-0.0002011399215116,4.1641955460561695,33.951291731546625,10.0,6.814168702725771,127,0.8740157480314961,16,946.9623425198575,6909.056500000588,0.95,0,False,False,False,True,79,0.6220472440944882,78,0.6141732283464567,8,0.0629921259842519,49,0.3858267716535433,current_change_violation;optimizer_success_fraction;mpc_fallback
lhs_003,latin_hypercube,0.2314004746366455,15.674735475846893,1.0016242407810003,1.1081289270466834,1.1065329898121432,1.1273397130178622,1.1460845641746835,1.0925201836937373,0.001314581596156,-0.0856540979569112,-0.0026777918543491,-0.0019726419469829,1.0,oracle_mpc,True,True,False,False,36.833333333333336,0.7995076728134871,-0.0004923271865129,4.146059079823356,33.79115067444216,10.0,5.215226928298233,106,0.9245283018867924,8,960.4303905661992,8043.4960999991745,0.95,0,False,False,False,True,69,0.6509433962264151,61,0.5754716981132075,6,0.0566037735849056,22,0.2075471698113207,current_change_violation;optimizer_success_fraction;mpc_fallback
lhs_004,latin_hypercube,0.2648662048659354,24.61416359309012,1.0922005136225077,0.8299152661582713,0.802528879960656,0.8707172957302043,0.9796503406775942,0.9171348082820054,-0.0037272022585634,0.2838616969362018,-0.00307299626899,-0.0036808200418728,1.0,nominal_mpc,True,True,False,False,39.25,0.8030993254666134,0.0030993254666134,4.136187555629937,33.31191588880195,9.999999999999996,4.854077981202878,112,0.9375,7,998.0125374998872,6916.911300002539,0.95,0,False,False,False,True,39,0.3482142857142857,86,0.7678571428571429,2,0.0178571428571428,22,0.1964285714285714,current_change_violation;optimizer_success_fraction;mpc_fallback
lhs_004,latin_hypercube,0.2648662048659354,24.61416359309012,1.0922005136225077,0.8299152661582713,0.802528879960656,0.8707172957302043,0.9796503406775942,0.9171348082820054,-0.0037272022585634,0.2838616969362018,-0.00307299626899,-0.0036808200418728,1.0,oracle_mpc,True,True,False,False,39.25,0.8034330546463204,0.0034330546463203,4.152020458275238,33.406836029260965,10.0,5.3616494597712165,132,0.8560606060606061,19,1423.41601287874,8171.322999995027,0.95,0,False,False,False,True,41,0.3106060606060606,110,0.8333333333333334,2,0.0151515151515151,47,0.3560606060606061,current_change_violation;optimizer_success_fraction;mpc_fallback
lhs_005,latin_hypercube,0.1340854501460514,23.42121088780709,0.995996841917262,0.9246413364161464,1.0318423347625656,0.9166086866800692,0.8574901118613376,1.0701103768067626,0.0033819004844784,0.1262817956394246,0.0019843867987156,0.0049131068423569,1.0,nominal_mpc,True,True,False,False,44.833333333333336,0.7974100940980742,-0.0025899059019258,4.132508219271454,33.663507364268185,9.999999999999998,5.712247240008963,127,0.9291338582677166,9,888.2285535431103,8528.065399994375,0.95,0,False,False,False,True,45,0.3543307086614173,96,0.7559055118110236,2,0.0157480314960629,24,0.1889763779527559,current_change_violation;optimizer_success_fraction;mpc_fallback
lhs_005,latin_hypercube,0.1340854501460514,23.42121088780709,0.995996841917262,0.9246413364161464,1.0318423347625656,0.9166086866800692,0.8574901118613376,1.0701103768067626,0.0033819004844784,0.1262817956394246,0.0019843867987156,0.0049131068423569,1.0,oracle_mpc,True,True,False,False,44.75,0.7977506706076235,-0.0022493293923765,4.137217732602892,33.8186472902208,10.0,5.173930013234581,141,0.8865248226950354,16,1248.0444226953523,8713.622000002943,0.95,0,False,False,False,True,47,0.3333333333333333,117,0.8297872340425532,2,0.0141843971631205,41,0.2907801418439716,current_change_violation;optimizer_success_fraction;mpc_fallback
lhs_006,latin_hypercube,0.2001079622328006,25.492845512217453,0.9907504658716132,0.8462242696075193,1.140882483497443,1.0358190519640698,1.0573497946450217,0.9800355033964891,-0.0023842940621607,-0.3765996556727307,0.000686222624075,-0.0032729925916809,1.0,nominal_mpc,True,True,False,False,42.583333333333336,0.8023537704849195,0.0023537704849194,4.138074657518086,34.15244872287674,10.0,4.649132954478191,132,0.8787878787878788,16,1189.9530537879896,7074.119700002484,0.95,0,False,False,False,True,35,0.2651515151515151,103,0.7803030303030303,1,0.0075757575757575,37,0.2803030303030303,current_change_violation;optimizer_success_fraction;mpc_fallback
lhs_006,latin_hypercube,0.2001079622328006,25.492845512217453,0.9907504658716132,0.8462242696075193,1.140882483497443,1.0358190519640698,1.0573497946450217,0.9800355033964891,-0.0023842940621607,-0.3765996556727307,0.000686222624075,-0.0032729925916809,1.0,oracle_mpc,True,True,False,False,42.5,0.8027606529776944,0.0027606529776943,4.147701853997648,34.1397436582478,10.0,4.971297701327764,137,0.8540145985401459,20,1316.3747970798383,7059.398599994893,0.95,0,False,False,False,True,36,0.2627737226277372,116,0.8467153284671532,2,0.0145985401459854,43,0.3138686131386861,current_change_violation;optimizer_success_fraction;mpc_fallback
lhs_007,latin_hypercube,0.1847941070989973,26.42479849223868,0.9012104664875864,0.9933638550800477,0.8092404308478457,0.9352660554268336,0.904909101222733,1.0421043582611285,-0.0018142764883305,0.3156588857669745,0.0009865417206055,-0.0014895457079963,1.0,nominal_mpc,True,True,False,False,47.0,0.802437145956383,0.002437145956383,4.14848251735798,33.496928877775446,8.868773962189373,4.732467282069026,154,0.8441558441558441,24,1509.819774026066,7311.60760000057,0.95,0,False,False,False,True,34,0.2207792207792207,130,0.8441558441558441,0,0.0,51,0.3311688311688311,current_change_violation;optimizer_success_fraction;mpc_fallback
lhs_007,latin_hypercube,0.1847941070989973,26.42479849223868,0.9012104664875864,0.9933638550800477,0.8092404308478457,0.9352660554268336,0.904909101222733,1.0421043582611285,-0.0018142764883305,0.3156588857669745,0.0009865417206055,-0.0014895457079963,1.0,oracle_mpc,True,True,False,False,47.333333333333336,0.8020019918709238,0.0020019918709237,4.148956463689284,33.51087962084989,8.825545185867146,4.860826994520683,172,0.8081395348837209,33,1618.5347343020285,7684.001799992984,0.95,0,False,False,False,True,40,0.2325581395348837,148,0.8604651162790697,0,0.0,72,0.4186046511627907,current_change_violation;optimizer_success_fraction;mpc_fallback
