seed,trajectory_id,current_nrmse,current_bias_a,mpc_reached_target,ann_reached_target,signed_step_difference,discrete_time_gap_fraction,continuous_crossing_time_difference_s,maximum_ann_voltage_v,maximum_mpc_voltage_v,ann_early_taper_count,mpc_early_taper_count,ann_direction_reversals,mpc_direction_reversals
42,level3_closed_00,0.0029964670674314485,-0.000737823046391343,True,True,2,0.011111111111111112,8.260418863316204,4.207863791187455,4.206627811891943,29,29,0,0
42,level3_closed_01,0.0027990681988450694,-0.0005157992276527732,True,True,1,0.0038461538461538464,8.365967497513566,4.215953258405327,4.213784830380975,41,41,0,0
42,level3_closed_02,0.0030124831749331507,-0.0006499822885214605,True,True,1,0.004975124378109453,8.126856000360021,4.209758922838688,4.208152520219366,37,37,0,0
42,level3_closed_03,0.0026693404786672535,-0.0005454881949086262,True,True,1,0.00425531914893617,7.962977731775936,4.213781354867381,4.211609786221949,40,41,0,0
42,level3_closed_04,0.0025882068503018446,-0.0008747728481666832,True,True,2,0.012578616352201259,8.62697916037223,4.206110127348218,4.204699253302655,20,21,0,0
42,level3_closed_05,0.002639005520450383,-0.0005082166941256203,True,True,1,0.0036231884057971015,8.711858072487757,4.216231578469966,4.21405427723081,41,41,0,0
42,level3_closed_06,0.0028725420941342807,-0.0005605775706230279,True,True,1,0.004524886877828055,7.6968608277945805,4.21288344928756,4.210758122119579,38,39,0,0
42,level3_closed_07,0.0029199385774842045,-0.0005237335121215796,True,True,1,0.00398406374501992,8.193028105863505,4.215332280811303,4.213150314843636,41,40,0,0
42,level3_closed_08,0.0035458427881616037,-0.0006908361713574869,True,True,2,0.010638297872340425,8.10227551099706,4.2072754038568725,4.205933784713137,38,38,0,0
42,level3_closed_09,0.002768902945351266,-0.000522874550474288,True,True,1,0.003816793893129771,8.524358258518305,4.216189885601606,4.21402581015174,40,40,0,0
42,level3_closed_10,0.003770186622796032,-0.0006617397470577592,True,True,1,0.004878048780487805,8.45247330545294,4.211085811586975,4.209192400198282,35,35,0,0
42,level3_closed_11,0.0027112746960446838,-0.0005363341491270593,True,True,1,0.004219409282700422,7.903424704153622,4.214387252236092,4.212187799467727,39,39,0,0
73,level3_closed_00,0.0020257463980222273,0.00041426475349710517,True,True,-1,0.005555555555555556,-4.411127214419025,4.207213296963641,4.206627811891943,29,29,0,0
73,level3_closed_01,0.002295102051782363,0.00030127652845963776,True,True,-1,0.0038461538461538464,-4.786159720765227,4.215436083028349,4.213784830380975,40,41,0,0
73,level3_closed_02,0.002359038947389659,0.00042465265260749785,True,True,-1,0.004975124378109453,-5.181221377689894,4.209319839824291,4.208152520219366,36,37,0,0
73,level3_closed_03,0.0023700907140110803,0.0003457273444348333,True,True,-1,0.00425531914893617,-4.892953693289655,4.213259847212531,4.211609786221949,39,41,0,0
73,level3_closed_04,0.0018989863924166594,0.00035589297207960747,True,True,-1,0.006289308176100629,-3.3654327129116837,4.205583675510142,4.204699253302655,22,21,0,0
73,level3_closed_05,0.002124852659708299,0.00027620102084436053,True,True,-1,0.0036231884057971015,-4.608112611717161,4.2157178277202725,4.21405427723081,40,41,0,0
73,level3_closed_06,0.002321207525974023,0.0003920594455096899,True,True,-1,0.004524886877828055,-5.219225789584243,4.212346941086415,4.210758122119579,37,39,0,0
73,level3_closed_07,0.0023690875735823307,0.0003154640945479557,True,True,-1,0.00398406374501992,-4.824109556248914,4.2148145274540365,4.213150314843636,40,40,0,0
73,level3_closed_08,0.0029610395288812985,0.0004686425127585621,True,True,-1,0.005319148936170213,-5.180360789757174,4.20665223304391,4.205933784713137,37,38,0,0
73,level3_closed_09,0.002240664725033332,0.0002882093682178252,True,True,-1,0.003816793893129771,-4.577946554908067,4.215670570489195,4.21402581015174,39,40,0,0
73,level3_closed_10,0.0023461551393593834,0.00041328882787626504,True,True,-1,0.004878048780487805,-5.17905847105942,4.210549492296716,4.209192400198282,34,35,0,0
73,level3_closed_11,0.0022733369213196416,0.00034566156318832875,True,True,-1,0.004219409282700422,-4.950310317816502,4.213848788540759,4.212187799467727,39,39,0,0
101,level3_closed_00,0.0018072971607660498,0.0007389893345804921,True,True,-1,0.005555555555555556,-7.52683388099797,4.207637322413291,4.206627811891943,29,29,0,0
101,level3_closed_01,0.002286838399266244,0.0005339989711567317,True,True,-2,0.007692307692307693,-7.854281706627262,4.214750713953,4.213784830380975,40,41,0,0
101,level3_closed_02,0.002109251119278097,0.0006984883721999618,True,True,-2,0.009950248756218905,-7.96454075120414,4.2088944249147815,4.208152520219366,36,37,0,0
101,level3_closed_03,0.002198138601137948,0.0005956095361220497,True,True,-2,0.00851063829787234,-7.980299222013173,4.212348898188258,4.211609786221949,39,41,0,0
101,level3_closed_04,0.0023918417393566267,0.0007285773206811817,True,True,-1,0.006289308176100629,-6.541085047502179,4.205764264884584,4.204699253302655,21,21,0,0
101,level3_closed_05,0.0021748417628676174,0.00048533498348462005,True,True,-2,0.007246376811594203,-7.640259216164395,4.215036645549041,4.21405427723081,40,41,0,0
101,level3_closed_06,0.0021689341694286915,0.000644103375719702,True,True,-2,0.00904977375565611,-8.111856261455841,4.211366990103411,4.210758122119579,37,39,0,0
101,level3_closed_07,0.0023198724863199667,0.0005557235299668042,True,True,-2,0.00796812749003984,-7.902420373045061,4.2140642181129095,4.213150314843636,40,40,0,0
101,level3_closed_08,0.0021699852304649008,0.000783649478312249,True,True,-1,0.005319148936170213,-8.338036987735563,4.207050931259927,4.205933784713137,37,38,0,0
101,level3_closed_09,0.0022094314362459747,0.0005125081869746018,True,True,-2,0.007633587786259542,-7.636692241403125,4.215004675286633,4.21402581015174,39,40,0,0
101,level3_closed_10,0.0034436650677421806,0.000637547074933625,True,True,-2,0.00975609756097561,-7.409089837555143,4.209674018269948,4.209192400198282,34,35,0,0
101,level3_closed_11,0.002108685748313076,0.0005952695178456951,True,True,-2,0.008438818565400843,-8.027049843140048,4.212991660014588,4.212187799467727,38,39,0,0
137,level3_closed_00,0.002395481043709684,-0.0007069438440779156,True,True,2,0.011111111111111112,8.15797886529026,4.207480919016489,4.206627811891943,29,29,0,0
137,level3_closed_01,0.0030373203021650144,-0.00047003743846656994,True,True,1,0.0038461538461538464,7.736234361887682,4.215741577492043,4.213784830380975,39,41,0,0
137,level3_closed_02,0.003148618677128321,-0.0005946829300574029,True,True,1,0.004975124378109453,7.579147173623596,4.208909499825699,4.208152520219366,35,37,0,0
137,level3_closed_03,0.0030388856276917266,-0.000515020637203218,True,True,1,0.00425531914893617,7.68864736180376,4.21323895469636,4.211609786221949,38,41,0,0
137,level3_closed_04,0.0016440881378994598,-0.0009452221106692532,True,True,2,0.012578616352201259,9.572166643097603,4.205659335097683,4.204699253302655,21,21,0,0
137,level3_closed_05,0.0029295014962215675,-0.00045057608278438444,True,True,1,0.0036231884057971015,7.891605569097919,4.216036598403413,4.21405427723081,39,41,0,0
137,level3_closed_06,0.0030515501222246224,-0.0005393994288173064,True,True,1,0.004524886877828055,7.575796384462365,4.212190288510511,4.210758122119579,37,39,0,0
137,level3_closed_07,0.003081010068367065,-0.0004902668308725418,True,True,1,0.00398406374501992,7.796718881958441,4.215033245359021,4.213150314843636,39,40,0,0
137,level3_closed_08,0.003402021682252551,-0.0005860986545388233,True,True,2,0.010638297872340425,7.126553554268071,4.20690130175245,4.205933784713137,37,38,0,0
137,level3_closed_09,0.0029869325601902708,-0.0004753094152170059,True,True,1,0.003816793893129771,7.896905175489792,4.216004866509702,4.21402581015174,39,40,0,0
137,level3_closed_10,0.0033074148958160284,-0.0006145793901316071,True,True,1,0.004878048780487805,7.983830368724739,4.210200097509725,4.209192400198282,34,35,0,0
137,level3_closed_11,0.0029921006673271563,-0.0005146408933525858,True,True,1,0.004219409282700422,7.742623064764075,4.213918431354786,4.212187799467727,38,39,0,0
