run_key,dataset_sha256,architecture,optimizer,initialization_seed,parameter_count,fit_time_s,stage_iterations_json,stage_reached_iteration_limit_json,warning_count,warnings_json,train_mae_a,train_rmse_a,train_nrmse,train_maximum_absolute_error_a,train_bias_a,train_r2,validation_mae_a,validation_rmse_a,validation_nrmse,validation_maximum_absolute_error_a,validation_bias_a,validation_r2,test_mae_a,test_rmse_a,test_nrmse,test_maximum_absolute_error_a,test_bias_a,test_r2
16-16__lbfgs__seed-101,640b45c017594c3a8f954b498a99058d2e5cc8ecf6cff88425d5df94815de5da,16-16,lbfgs,101,385,13.784521600002336,"{""lbfgs"": 2500}","{""lbfgs"": true}",1,"[""lbfgs failed to converge after 2500 iteration(s) (status=1):\nSTOP: TOTAL NO. OF ITERATIONS REACHED LIMIT\n\nIncrease the number of iterations to improve the convergence (max_iter=2500).\nYou might also want to scale the data as shown in:\n    https://scikit-learn.org/stable/modules/preprocessing.html""]",0.3271227422138393,0.49026717136579623,0.04902671713657962,2.0425817244197315,0.00021908064146668464,0.9358626553412117,0.3856359920429347,0.5888769363669721,0.058887693636697214,2.5581934280644436,0.02834162539553645,0.9041755494862747,0.4217105365177883,0.6325132990616299,0.06325132990616299,2.3020894499982467,0.0268454499192176,0.8966584299187856
16-16__lbfgs__seed-202,640b45c017594c3a8f954b498a99058d2e5cc8ecf6cff88425d5df94815de5da,16-16,lbfgs,202,385,13.235903299999336,"{""lbfgs"": 2500}","{""lbfgs"": true}",1,"[""lbfgs failed to converge after 2500 iteration(s) (status=1):\nSTOP: TOTAL NO. OF ITERATIONS REACHED LIMIT\n\nIncrease the number of iterations to improve the convergence (max_iter=2500).\nYou might also want to scale the data as shown in:\n    https://scikit-learn.org/stable/modules/preprocessing.html""]",0.31888856845962504,0.4859716511910325,0.04859716511910325,1.9579952623249852,-0.0008664411870767213,0.9369816221030054,0.38672603537924083,0.5990887528096157,0.059908875280961574,2.7689994149476114,0.025011783213023938,0.9008233168939109,0.4240779777371407,0.6299874986616272,0.06299874986616272,2.4467460136070156,0.05656949866226963,0.8974821249037929
16-16__lbfgs__seed-22,640b45c017594c3a8f954b498a99058d2e5cc8ecf6cff88425d5df94815de5da,16-16,lbfgs,22,385,12.354535999998916,"{""lbfgs"": 2500}","{""lbfgs"": true}",1,"[""lbfgs failed to converge after 2500 iteration(s) (status=1):\nSTOP: TOTAL NO. OF ITERATIONS REACHED LIMIT\n\nIncrease the number of iterations to improve the convergence (max_iter=2500).\nYou might also want to scale the data as shown in:\n    https://scikit-learn.org/stable/modules/preprocessing.html""]",0.3351603515973905,0.5028982201728559,0.05028982201728559,2.0081691510582327,-0.00028816135256352633,0.932515265148268,0.3881212353011986,0.5783513022980724,0.05783513022980724,2.608925593155683,0.013631344952358243,0.9075704832087185,0.4180732699569567,0.6274223538486063,0.06274223538486064,3.8236618698269913,0.0393520418959163,0.8983152773614655
16-16__lbfgs__seed-42,640b45c017594c3a8f954b498a99058d2e5cc8ecf6cff88425d5df94815de5da,16-16,lbfgs,42,385,13.493339799999376,"{""lbfgs"": 2500}","{""lbfgs"": true}",1,"[""lbfgs failed to converge after 2500 iteration(s) (status=1):\nSTOP: TOTAL NO. OF ITERATIONS REACHED LIMIT\n\nIncrease the number of iterations to improve the convergence (max_iter=2500).\nYou might also want to scale the data as shown in:\n    https://scikit-learn.org/stable/modules/preprocessing.html""]",0.3310272333329706,0.5004235589394608,0.05004235589394608,1.9615184006514093,5.6322515639425656e-05,0.9331777887333044,0.3663434643839695,0.5429398212639682,0.05429398212639682,1.9515016209204417,0.025691728272864037,0.9185425823211031,0.4052909278380778,0.5929575038067277,0.05929575038067277,2.213839718498592,0.0536423997686704,0.9091797126412593
16-16__lbfgs__seed-73,640b45c017594c3a8f954b498a99058d2e5cc8ecf6cff88425d5df94815de5da,16-16,lbfgs,73,385,14.863380999999208,"{""lbfgs"": 2500}","{""lbfgs"": true}",1,"[""lbfgs failed to converge after 2500 iteration(s) (status=1):\nSTOP: TOTAL NO. OF ITERATIONS REACHED LIMIT\n\nIncrease the number of iterations to improve the convergence (max_iter=2500).\nYou might also want to scale the data as shown in:\n    https://scikit-learn.org/stable/modules/preprocessing.html""]",0.32463316883834004,0.4904877907205407,0.04904877907205407,1.9319594880819961,-0.001094917587997016,0.9358049189715583,0.3550655188153009,0.5313395330386573,0.053133953303865736,2.142894186383578,0.026808179533683883,0.9219861867397334,0.383948062076486,0.568783023883443,0.05687830238834431,2.142717622883553,0.0118348789542702,0.916434121231889
32-32-16__adam__seed-101,640b45c017594c3a8f954b498a99058d2e5cc8ecf6cff88425d5df94815de5da,32-32-16,adam,101,1793,45.719539599998825,"{""adam"": 2500}","{""adam"": true}",1,"[""Stochastic Optimizer: Maximum iterations (2500) reached and the optimization hasn't converged yet.""]",0.2730883763452088,0.4074274721818665,0.040742747218186645,1.8215565639265625,0.043104196856589186,0.9557058912536479,0.4556233893289171,0.7091530883356341,0.07091530883356341,3.27027012944719,0.07437227102077139,0.8610344200950537,0.5177943439557461,0.7947153932742607,0.07947153932742607,4.1153679197460615,0.17737554403542408,0.8368605539491831
32-32-16__adam__seed-202,640b45c017594c3a8f954b498a99058d2e5cc8ecf6cff88425d5df94815de5da,32-32-16,adam,202,1793,45.950909299997875,"{""adam"": 2500}","{""adam"": true}",1,"[""Stochastic Optimizer: Maximum iterations (2500) reached and the optimization hasn't converged yet.""]",0.25761115547530006,0.3822711580282992,0.03822711580282992,2.2394866046457604,-0.019569488742701358,0.9610068416821893,0.45931641916236915,0.7221874559703897,0.07221874559703897,3.5808654384871614,0.07266782544254871,0.8558790459829946,0.5419419587689035,0.8146805100781869,0.08146805100781869,4.157608527662534,0.09292893732921804,0.8285606994356502
32-32-16__adam__seed-22,640b45c017594c3a8f954b498a99058d2e5cc8ecf6cff88425d5df94815de5da,32-32-16,adam,22,1793,45.808350000002974,"{""adam"": 2500}","{""adam"": true}",1,"[""Stochastic Optimizer: Maximum iterations (2500) reached and the optimization hasn't converged yet.""]",0.27390456664429436,0.4036424934571989,0.04036424934571989,1.8801651949070988,0.009965962443059929,0.956525048185913,0.4609180209252107,0.6891463727192729,0.06891463727192729,2.848058465963496,0.07502466774377327,0.868764842693996,0.5290868865644702,0.8024704701664086,0.08024704701664086,3.007948672441083,0.15447332163474706,0.8336610894268611
32-32-16__adam__seed-42,640b45c017594c3a8f954b498a99058d2e5cc8ecf6cff88425d5df94815de5da,32-32-16,adam,42,1793,45.22113260000333,"{""adam"": 2500}","{""adam"": true}",1,"[""Stochastic Optimizer: Maximum iterations (2500) reached and the optimization hasn't converged yet.""]",0.27341159485518807,0.4049438476999596,0.040494384769995964,1.9440878297071045,0.0264779517581746,0.9562442674668751,0.45726127337850325,0.7009970372001891,0.07009970372001892,2.818224410724712,0.08810537492205972,0.8642125565308638,0.5310437312433689,0.7828617486145294,0.07828617486145294,3.1853209862526812,0.11494094965445179,0.8416908999653556
32-32-16__adam__seed-73,640b45c017594c3a8f954b498a99058d2e5cc8ecf6cff88425d5df94815de5da,32-32-16,adam,73,1793,44.938280499998655,"{""adam"": 2500}","{""adam"": true}",1,"[""Stochastic Optimizer: Maximum iterations (2500) reached and the optimization hasn't converged yet.""]",0.26955258561960144,0.41002868248383034,0.041002868248383034,1.9792273862918996,-0.03963584276379838,0.9551384965441492,0.4407963631633764,0.6628870459088748,0.06628870459088748,2.672631539617496,0.015840984191452193,0.8785755035187407,0.4941105247317578,0.7367243696011594,0.07367243696011594,3.660664494161593,0.06060308497789511,0.8598007131296916
32-32-16__adam_lbfgs__seed-101,640b45c017594c3a8f954b498a99058d2e5cc8ecf6cff88425d5df94815de5da,32-32-16,adam_lbfgs,101,1793,39.25106489999962,"{""adam"": 1000, ""lbfgs"": 1500}","{""adam"": true, ""lbfgs"": true}",2,"[""Stochastic Optimizer: Maximum iterations (1000) reached and the optimization hasn't converged yet."", ""lbfgs failed to converge after 1500 iteration(s) (status=1):\nSTOP: TOTAL NO. OF ITERATIONS REACHED LIMIT\n\nIncrease the number of iterations to improve the convergence (max_iter=1500).\nYou might also want to scale the data as shown in:\n    https://scikit-learn.org/stable/modules/preprocessing.html""]",0.21269852258717334,0.3146531962821608,0.03146531962821608,1.785887733908445,0.0005690847413998945,0.9735814094417515,0.6099824511581016,1.0261661448318635,0.10261661448318635,5.911649093375125,0.13098241465327076,0.7090203536922184,0.6384522845407795,1.0183686607839726,0.10183686607839726,4.4982723255618495,0.21260301398324366,0.7321166109002799
