state_id,trajectory_id,step_index,state_soc,state_polarization_v
audit_052,level1r_terminal_095,4,0.7835825917993486,0.019222111788999664
audit_053,level1r_terminal_102,1,0.7839557971266411,0.07350363541919769
audit_054,level1r_terminal_080,11,0.7843231957784803,0.028636288203857795
audit_055,level1r_terminal_055,19,0.7846616795609753,0.02751209880291804
audit_056,level1r_terminal_080,12,0.7850316432040828,0.027281871753288025
audit_057,level1r_terminal_102,3,0.7853727389256467,0.05136262342866702
audit_058,level1r_terminal_108,0,0.785725,0.07109375
audit_059,level1r_terminal_059,20,0.7860938055274646,0.025018971245368733
audit_060,level1r_terminal_083,13,0.7864049321191771,0.023931514129418508
audit_061,level1r_terminal_079,15,0.7867662434478051,0.023369984973056705
audit_062,level1r_terminal_091,11,0.7871160600316857,0.02263845844454884
audit_063,level1r_terminal_090,12,0.7874518747011712,0.024098916232853637
audit_064,level1r_terminal_107,4,0.7877850717670595,0.020364526691560615
audit_065,level1r_terminal_080,17,0.7881213985062899,0.021526613579141145
audit_066,level1r_terminal_104,7,0.788453972773456,0.024782271892650493
audit_067,level1r_terminal_114,1,0.7887868313730411,0.06462016940055368
audit_068,level1r_terminal_097,12,0.7891424645042784,0.019415948266061446
audit_069,level1r_terminal_087,17,0.789468437364536,0.018810590308945278
audit_070,level1r_terminal_078,21,0.789805733435068,0.01853192535793789
audit_071,level1r_terminal_074,23,0.7901252027019824,0.017889035904620196
audit_072,level1r_terminal_117,2,0.7904435833685473,0.030723905278522257
audit_073,level1r_terminal_120,0,0.7907821428571429,0.06171875
audit_074,level1r_terminal_081,23,0.7911422704161982,0.01599017629200048
audit_075,level1r_terminal_083,23,0.7914378780239031,0.015442474770911851
audit_076,level1r_terminal_088,22,0.7917923943880141,0.014869465731264922
audit_077,level1r_terminal_116,7,0.792111164360854,0.020599436544441546
audit_078,level1r_terminal_112,11,0.7924294014023205,0.015031292665992353
audit_079,level1r_terminal_117,8,0.7927588134785846,0.015451604427381733
audit_080,level1r_terminal_112,13,0.7930981733629549,0.01323086520389103
audit_081,level1r_terminal_116,11,0.7934432668926019,0.013840319905088504
audit_082,level1r_terminal_101,22,0.7937731260213424,0.011270718603706844
audit_083,level1r_terminal_105,21,0.7941150616179512,0.010650386232339003
audit_084,level1r_terminal_120,11,0.7944568298736023,0.011874994765774558
audit_085,level1r_terminal_112,19,0.7947700769035012,0.00958524516395822
audit_086,level1r_terminal_114,19,0.7951211212402515,0.009057619371872171
audit_087,level1r_terminal_130,2,0.7954383179065676,0.045395251819865944
audit_088,level1r_terminal_120,17,0.7957995794724716,0.007918032630909726
audit_089,level1r_terminal_125,13,0.796101581827365,0.007885064975973702
audit_090,level1r_terminal_133,1,0.7964296629469793,0.029749180053011654
