run_key,architecture,hidden_layer_sizes,optimizer,seed,parameter_count,fit_time_s,optimization_iterations,warning_count,warnings,train_mae_a,train_rmse_a,train_nrmse,train_maximum_absolute_error_a,train_bias_a,train_r2,train_abs_bias_a,train_low_current_sample_count,train_low_current_bias_a,train_low_current_abs_bias_a,validation_mae_a,validation_rmse_a,validation_nrmse,validation_maximum_absolute_error_a,validation_bias_a,validation_r2,validation_abs_bias_a,validation_low_current_sample_count,validation_low_current_bias_a,validation_low_current_abs_bias_a,test_mae_a,test_rmse_a,test_nrmse,test_maximum_absolute_error_a,test_bias_a,test_r2,test_abs_bias_a,test_low_current_sample_count,test_low_current_bias_a,test_low_current_abs_bias_a,terminal_test_mae_a,terminal_test_rmse_a,terminal_test_nrmse,terminal_test_maximum_absolute_error_a,terminal_test_bias_a,terminal_test_r2,terminal_test_abs_bias_a,terminal_test_low_current_sample_count,terminal_test_low_current_bias_a,terminal_test_low_current_abs_bias_a
shallow_16__adam__seed-101,shallow_16,16,adam,101,65,14.280993600004876,2409,0,[],0.06556631610720433,0.09423899567194635,0.009423899567194634,0.565750913321839,0.014418312445044929,0.999332986103063,0.014418312445044929,282,0.03596721311205306,0.03596721311205306,0.06859040399402348,0.09920691115894599,0.009920691115894598,0.41131507922772315,0.00485667705078405,0.9992562023488165,0.00485667705078405,22,-0.005124228573376658,0.005124228573376658,0.05452102038052328,0.09428193033592785,0.009428193033592786,0.2516386176169352,-0.008394613822398929,0.9943134295795285,0.008394613822398929,0,,,0.08619770501763187,0.11175109454339306,0.011175109454339307,0.4880488918425936,0.022147231215890004,0.9955492329246234,0.022147231215890004,4,0.055342716631738495,0.055342716631738495
shallow_16__adam__seed-137,shallow_16,16,adam,137,65,17.130289799999446,2500,1,"[""Stochastic Optimizer: Maximum iterations (2500) reached and the optimization hasn't converged yet.""]",0.06073806488002847,0.09598315805709819,0.009598315805709818,0.5588396936659592,-0.012546411610256986,0.9993080676203324,0.012546411610256986,282,-0.01795536154145927,0.01795536154145927,0.06662640942312105,0.10535848918549957,0.010535848918549957,0.5185765434844534,-0.02326520718641083,0.9991611003458474,0.02326520718641083,22,-0.05026477711956094,0.05026477711956094,0.06874825098437849,0.11143905398238717,0.011143905398238717,0.35994521564633164,-0.019919203799400556,0.9920554679112329,0.019919203799400556,0,,,0.07344205267472245,0.10883199503428577,0.010883199503428576,0.519305527951718,-0.009979352435422488,0.9957787169244582,0.009979352435422488,4,-0.003526397588959354,0.003526397588959354
shallow_16__adam__seed-22,shallow_16,16,adam,22,65,15.659053499999573,2436,0,[],0.054705344139627396,0.09121039056282434,0.009121039056282434,0.6126088343203335,-0.010947058341497787,0.999375169508309,0.010947058341497787,282,-0.031373044802889216,0.031373044802889216,0.05822638520894638,0.09582352567167093,0.009582352567167093,0.48026469025341445,-0.016088344047699304,0.9993060706785392,0.016088344047699304,22,-0.05519017176898675,0.05519017176898675,0.0578487774982447,0.09711452073096451,0.009711452073096451,0.2634999954183481,-0.012850498777309002,0.9939666039772781,0.012850498777309002,0,,,0.06566908901366028,0.10536962940050218,0.010536962940050219,0.5222157795668112,-0.009279620846877683,0.9960430350733719,0.009279620846877683,4,-0.020742289925575044,0.020742289925575044
shallow_16__adam__seed-42,shallow_16,16,adam,42,65,14.27068539999891,2500,1,"[""Stochastic Optimizer: Maximum iterations (2500) reached and the optimization hasn't converged yet.""]",0.05454523151381841,0.09238014586565299,0.009238014586565299,0.5528296669761303,-0.00146331591579144,0.9993590400828569,0.00146331591579144,282,-0.00877443256296355,0.00877443256296355,0.059026983204663985,0.0974434680039279,0.009744346800392791,0.4870159474531315,-0.006433103331884828,0.9992824099456704,0.006433103331884828,22,-0.04070100745064547,0.04070100745064547,0.0553001541731873,0.09661257575009656,0.009661257575009656,0.29641448717038177,-0.010479565905417518,0.994028811080131,0.010479565905417518,0,,,0.07144441814227415,0.10772570695616676,0.010772570695616676,0.5013326786298684,0.0005651080501876331,0.9958641002689353,0.0005651080501876331,4,0.008153498144814905,0.008153498144814905
shallow_16__adam__seed-73,shallow_16,16,adam,73,65,14.943585499997425,2500,0,[],0.05557329284198952,0.09384930017467055,0.009384930017467055,0.5098576511756185,-0.0012869789605893171,0.9993384911464172,0.0012869789605893171,282,-0.0069758855956534175,0.0069758855956534175,0.06152820352021247,0.10273580491438047,0.010273580491438047,0.4549687516496581,-0.010843036870120058,0.9992023458988211,0.010843036870120058,22,-0.0420106620105247,0.0420106620105247,0.06426686604273524,0.11417263100772049,0.011417263100772049,0.3451625723405094,-0.012234811624615847,0.9916609321312094,0.012234811624615847,0,,,0.0691846673759835,0.10269322767119722,0.010269322767119723,0.4289909085952299,-0.000277034000342242,0.9962414969781682,0.000277034000342242,4,0.013317193750849263,0.013317193750849263
shallow_16__lbfgs__seed-101,shallow_16,16,lbfgs,101,65,2.7116699000034714,1191,0,[],0.040926491020399164,0.06507468322147886,0.006507468322147885,0.3547339517232544,-0.00249979211210664,0.999681948308583,0.00249979211210664,282,0.017889267478004775,0.017889267478004775,0.043119933201823,0.06760628799825964,0.0067606287998259644,0.3526282232314113,-0.010252182797054761,0.9996545818697543,0.010252182797054761,22,0.044694674089356484,0.044694674089356484,0.03890014562108468,0.0648018229582774,0.00648018229582774,0.20635047006243745,-0.006809465737627828,0.9973136169608697,0.006809465737627828,0,,,0.049999814995127595,0.07147038928698392,0.007147038928698392,0.3048873211262002,-0.004727600042742513,0.9981795297298054,0.004727600042742513,4,-0.009393851258854849,0.009393851258854849
shallow_16__lbfgs__seed-137,shallow_16,16,lbfgs,137,65,2.999213499999314,1544,0,[],0.02489675243679949,0.042881005292967046,0.004288100529296705,0.2854178717055422,-0.0007929717983228277,0.9998618968766286,0.0007929717983228277,282,0.009539693841123749,0.009539693841123749,0.028013467429096366,0.046787474237847446,0.004678747423784745,0.28044085100074856,-0.0035322168901275037,0.9998345639513357,0.0035322168901275037,22,0.023055191181753,0.023055191181753,0.018434205693208444,0.03597406421981378,0.003597406421981378,0.13994101254712277,-0.0016485788494037905,0.9991721102580826,0.0016485788494037905,0,,,0.03454314223996781,0.05261065191839576,0.005261065191839576,0.23121415502829024,-0.0030475208579496993,0.9990135418566142,0.0030475208579496993,4,-0.003782303107833132,0.003782303107833132
shallow_16__lbfgs__seed-22,shallow_16,16,lbfgs,22,65,3.377135199996701,1178,0,[],0.03273683393167442,0.053694152001427596,0.00536941520014276,0.3417127733963854,-0.0014273080193892675,0.9997834652713881,0.0014273080193892675,282,0.013960640536409795,0.013960640536409795,0.03617050168038285,0.05948955660366487,0.005948955660366487,0.3383638220980476,-0.008525289952812737,0.9997325439596274,0.008525289952812737,22,0.03902814049441572,0.03902814049441572,0.021510386632226753,0.04121826976655149,0.004121826976655149,0.16890102437359023,-0.004335621441064829,0.9989131415035059,0.004335621441064829,0,,,0.043539528232453696,0.06289065018559156,0.006289065018559156,0.2892057022563632,-0.004116919046636405,0.9985903754170715,0.004116919046636405,4,-0.010262317978264948,0.010262317978264948
shallow_16__lbfgs__seed-42,shallow_16,16,lbfgs,42,65,1.4442213000002084,722,0,[],0.04185055150824589,0.06835439107560119,0.006835439107560119,0.3856120912580332,-0.002690564867639806,0.9996490813727416,0.002690564867639806,282,0.025787592821899494,0.025787592821899494,0.047826475459477026,0.07840011580591047,0.007840011580591047,0.45271063092266495,-0.017510240490380694,0.9995354800666211,0.017510240490380694,22,0.04140900588145901,0.04140900588145901,0.05265206875205639,0.08954800283638747,0.008954800283638747,0.2703248338602746,-0.016088726838486375,0.9948701425271498,0.016088726838486375,0,,,0.04826655690544917,0.06863869754502519,0.006863869754502519,0.31330931551162333,-0.004357587100220742,0.9983209278293852,0.004357587100220742,4,0.006230978914634741,0.006230978914634741
shallow_16__lbfgs__seed-73,shallow_16,16,lbfgs,73,65,1.5716847000003327,686,0,[],0.03914678911941166,0.058257741778692564,0.005825774177869256,0.3469205245595619,-0.001572210890637428,0.9997450935195319,0.001572210890637428,282,0.036300714405815275,0.036300714405815275,0.04224286301757641,0.06433252314791837,0.006433252314791837,0.3531270477052413,-0.006152330993153693,0.9996872249396295,0.006152330993153693,22,0.03798132614438974,0.03798132614438974,0.027724742502201583,0.055400080914617726,0.005540008091461773,0.27650708143737024,-0.004189123177284617,0.9980365751275311,0.004189123177284617,0,,,0.05365978809644328,0.06979204791382605,0.006979204791382605,0.26050875185048383,-0.004080388136468802,0.9982640261463529,0.004080388136468802,4,0.02545609564820027,0.02545609564820027
shallow_32__adam__seed-101,shallow_32,32,adam,101,129,14.953366499998083,2061,0,[],0.05560760355087787,0.09856673168599296,0.009856673168599296,0.556530316009626,-0.010023827048556259,0.9992703168849449,0.010023827048556259,282,-0.022854452029942178,0.022854452029942178,0.06108177412299224,0.10619706266588722,0.010619706266588721,0.49532685484857186,-0.016293365942210276,0.9991476931949442,0.016293365942210276,22,-0.0621426394340367,0.0621426394340367,0.06370670011493587,0.114298500349024,0.0114298500349024,0.35877235680765107,-0.012207538702809797,0.9916425352255214,0.012207538702809797,0,,,0.06922354080146752,0.10990013708295679,0.010990013708295679,0.47248266250455817,-0.012355865345582999,0.9956954499290578,0.012355865345582999,4,0.0008083908344128504,0.0008083908344128504
shallow_32__adam__seed-137,shallow_32,32,adam,137,129,18.81534040000406,2500,1,"[""Stochastic Optimizer: Maximum iterations (2500) reached and the optimization hasn't converged yet.""]",0.05694171023322616,0.09106723331708358,0.009106723331708358,0.5480318902126156,-0.00417154016804559,0.9993771293467734,0.00417154016804559,282,0.0035641551132594832,0.0035641551132594832,0.0605544166785705,0.09444808770693151,0.00944480877069315,0.4874089714609955,-0.008687789127069944,0.9993258488416848,0.008687789127069944,22,-0.022141617771747744,0.022141617771747744,0.05917793008791953,0.08965532247002929,0.008965532247002929,0.2494085890182003,-0.01841334925853483,0.9948578393086812,0.01841334925853483,0,,,0.07127465123499963,0.1077312772528762,0.01077312772528762,0.4896271541130943,0.00033386236613734964,0.9958636725384531,0.00033386236613734964,4,0.015386479465040334,0.015386479465040334
shallow_32__adam__seed-22,shallow_32,32,adam,22,129,12.496386699996947,1868,0,[],0.06328982548928531,0.09824635907072247,0.009824635907072247,0.5386460022663666,0.00041920030799531447,0.9992750525715282,0.00041920030799531447,282,-0.010863812345443046,0.010863812345443046,0.06986736278489238,0.10632677261168762,0.010632677261168762,0.4753987985761263,-0.007336880676335482,0.9991456098946783,0.007336880676335482,22,-0.0456812458860374,0.0456812458860374,0.0725786890714979,0.11246689222732896,0.011246689222732895,0.3367237367666407,-0.021139077744510137,0.9919082421221256,0.021139077744510137,0,,,0.07706698290608861,0.10895025687757448,0.010895025687757447,0.4561718964542454,0.00911992259150821,0.9957695378599137,0.00911992259150821,4,0.011196432937249687,0.011196432937249687
shallow_32__adam__seed-42,shallow_32,32,adam,42,129,19.497275099995022,2500,1,"[""Stochastic Optimizer: Maximum iterations (2500) reached and the optimization hasn't converged yet.""]",0.05148378222062476,0.09414833679179545,0.009414833679179545,0.573183521581206,-0.010017409011652984,0.9993342688341825,0.010017409011652984,282,-0.019595565036283787,0.019595565036283787,0.05317257544358101,0.09540881648253935,0.009540881648253934,0.5142141265901126,-0.008850475763353462,0.999312064115606,0.008850475763353462,22,-0.049399029455543135,0.049399029455543135,0.048826070085623806,0.08888660400190465,0.008888660400190465,0.2628317155272226,-0.004531061260451376,0.9949456406239391,0.004531061260451376,0,,,0.06865287352484918,0.11198561976787352,0.011198561976787352,0.462699051882967,-0.015046239527102165,0.9955305322139143,0.015046239527102165,4,-0.001606753071239711,0.001606753071239711
shallow_32__adam__seed-73,shallow_32,32,adam,73,129,19.12945619999664,2500,1,"[""Stochastic Optimizer: Maximum iterations (2500) reached and the optimization hasn't converged yet.""]",0.054472850038820436,0.09439360047703071,0.009439360047703071,0.5496234060689948,-0.01547128168446697,0.9993307957540887,0.01547128168446697,282,-0.02918952254012856,0.02918952254012856,0.05967226306754577,0.1020552490365461,0.01020552490365461,0.4843128731116444,-0.0224407925280681,0.9992128787443993,0.0224407925280681,22,-0.060331353650336435,0.060331353650336435,0.06208054073655114,0.10829466971898889,0.010829466971898889,0.31233547081164037,-0.017575656734135785,0.9924974715247352,0.017575656734135785,0,,,0.06577193056228094,0.1078921623135426,0.01078921623135426,0.5007270699693587,-0.017036604573121884,0.9958513089943104,0.017036604573121884,4,-0.012536081918377642,0.012536081918377642
shallow_32__lbfgs__seed-101,shallow_32,32,lbfgs,101,129,9.325599000003422,1811,0,[],0.029497966253934613,0.05015609468246079,0.005015609468246079,0.32563149227188504,-0.0012634727188374978,0.9998110612615317,0.0012634727188374978,282,0.015601551894957377,0.015601551894957377,0.034423872626356634,0.058143425263970955,0.005814342526397095,0.31808378911610724,-0.00957252793036025,0.999744511020167,0.00957252793036025,22,0.033890882358269134,0.033890882358269134,0.020995132224944788,0.04291411297290441,0.004291411297290441,0.1694717820230176,-0.0055786673921612295,0.9988218684930624,0.0055786673921612295,0,,,0.03979244749741854,0.059833123562611445,0.005983312356261145,0.27491180670008664,-0.003770412299629088,0.9987241058480677,0.003770412299629088,4,-0.003637970361663037,0.003637970361663037
shallow_32__lbfgs__seed-137,shallow_32,32,lbfgs,137,129,6.212655399998766,1231,0,[],0.04189964566061858,0.06798751668904886,0.006798751668904886,0.3488824136210553,-0.0037695120984128634,0.99965283819236,0.0037695120984128634,282,0.01741793079555243,0.01741793079555243,0.04860433896879766,0.07793119728224357,0.007793119728224357,0.3437804357640264,-0.017462524254458628,0.9995410201246203,0.017462524254458628,22,0.04000524417895537,0.04000524417895537,0.05502903594882392,0.08862509321950199,0.008862509321950198,0.25849328638574853,-0.016804455965575147,0.9949753374521477,0.016804455965575147,0,,,0.046499736396360854,0.06765929764717435,0.006765929764717435,0.2982312269069496,-0.0025520581931427347,0.9983685030507699,0.0025520581931427347,4,-0.005411404142474777,0.005411404142474777
shallow_32__lbfgs__seed-22,shallow_32,32,lbfgs,22,129,6.657511299999896,1314,0,[],0.040053228712681924,0.06720630833774,0.0067206308337739995,0.3554041569295574,-0.0036810300108276075,0.9996607704592335,0.0036810300108276075,282,0.015091354637954609,0.015091354637954609,0.04743428610918795,0.07749195363891566,0.007749195363891566,0.35519221725309347,-0.018278875407144738,0.9995461794407696,0.018278875407144738,22,0.0361787946414899,0.0361787946414899,0.04922256926733995,0.08341262154088111,0.00834126215408811,0.27870551227165485,-0.012152857256850213,0.9955490057672345,0.012152857256850213,0,,,0.04532307077259918,0.06812423541282835,0.006812423541282834,0.29810395016601543,-0.002290180991738051,0.9983460035322443,0.002290180991738051,4,-0.005665275922822302,0.005665275922822302
shallow_32__lbfgs__seed-42,shallow_32,32,lbfgs,42,129,4.90931460000138,1007,0,[],0.041766410392818136,0.0669430915169847,0.0066943091516984705,0.3515391982115377,-0.0035157522265193515,0.9996634224741197,0.0035157522265193515,282,0.021061688413280013,0.021061688413280013,0.04799778200112751,0.0756196352658202,0.007561963526582021,0.38947677092852473,-0.018534017407121798,0.9995678444415564,0.018534017407121798,22,0.047601940291449645,0.047601940291449645,0.04979358742720101,0.08263658449850472,0.008263658449850473,0.2746999635143137,-0.012130926046195725,0.9956314409766241,0.012130926046195725,0,,,0.046726459688161366,0.06696357567401043,0.006696357567401043,0.2971551055861257,-0.003950835485693091,0.9984018830153377,0.003950835485693091,4,-0.006319471642299082,0.006319471642299082
shallow_32__lbfgs__seed-73,shallow_32,32,lbfgs,73,129,6.564204799993604,1301,0,[],0.030522359614818643,0.04901309857328749,0.004901309857328749,0.31191756774923807,-0.001970851339107312,0.999819574506227,0.001970851339107312,282,0.0166490554458343,0.0166490554458343,0.032701703370715075,0.05139676398551628,0.005139676398551628,0.34096719666516595,-0.006141018545440265,0.9998003623271077,0.006141018545440265,22,0.03927342141773294,0.03927342141773294,0.021635391832469732,0.04157348353844402,0.004157348353844402,0.15213155476713602,-0.00274030159847836,0.99889432797025,0.00274030159847836,0,,,0.03988880848218153,0.0570242027605124,0.00570242027605124,0.24869245619073954,-0.0037424327233618907,0.9988410899204087,0.0037424327233618907,4,-0.006728473352741418,0.006728473352741418
