time_s,charge_current_a,latent_delta_output,soc,terminal_voltage_v,average_temperature_c,dnn_inference_time_s,source
870.0,4.006665308687492,-0.0022817976171169985,0.3456774051080419,3.7998532155674716,33.98552443781597,4.7000000000000004e-05,chen2020_dfn_structured_delta_dnn
875.0,4.002076779681196,-0.0022942685285623488,0.3467890931023977,3.800719488271294,33.984509518786126,4.64e-05,chen2020_dfn_structured_delta_dnn
880.0,3.9974643276399053,-0.002306230109349827,0.3478994998600754,3.8015832190595296,33.98334372012147,5.8700000000000004e-05,chen2020_dfn_structured_delta_dnn
885.0,3.9928290374383986,-0.002317649250493936,0.34900861903714164,3.8024444912522624,33.98202830362521,4.7300000000000005e-05,chen2020_dfn_structured_delta_dnn
890.0,3.9881720610744438,-0.002328492390234471,0.3501164446096624,3.803303390067237,33.980564550239706,5.4800000000000004e-05,chen2020_dfn_structured_delta_dnn
895.0,3.9834946185201816,-0.002338725541115083,0.3512229708925847,3.804160002541477,33.97895376086427,4.88e-05,chen2020_dfn_structured_delta_dnn
900.0,3.9787979985113466,-0.0023483143210638047,0.35232819255883785,3.805014417464932,33.977197257214186,5.3500000000000006e-05,chen2020_dfn_structured_delta_dnn
905.0,3.9740835592673496,-0.0023572239879643964,0.3534321046586343,3.8058667253162213,33.97529638271567,4.6800000000000006e-05,chen2020_dfn_structured_delta_dnn
910.0,3.9693527291345685,-0.002365419478053077,0.3545347026389494,3.806717018206684,33.97325250343505,4.6200000000000005e-05,chen2020_dfn_structured_delta_dnn
915.0,3.9646070071458492,-0.002372865447814898,0.3556359823631565,3.8075653898325093,33.971067009039075,5.45e-05,chen2020_dfn_structured_delta_dnn
920.0,3.9598479634893016,-0.0023795263193384653,0.35673594013079246,3.808411935425994,33.96874131378206,4.6800000000000006e-05,chen2020_dfn_structured_delta_dnn
925.0,3.955077239879716,-0.0023853663290056004,0.3578345726974258,3.8092567517182445,33.966276857518096,4.91e-05,chen2020_dfn_structured_delta_dnn
930.0,3.950296549826785,-0.0023903495790918994,0.35893187729459997,3.810099936903727,33.96367510673343,5.31e-05,chen2020_dfn_structured_delta_dnn
935.0,3.945507678794489,-0.002394440092186423,0.36002785164982065,3.8109415906087376,33.960937555595876,5.0400000000000005e-05,chen2020_dfn_structured_delta_dnn
940.0,3.940712484246954,-0.002397601867957455,0.36112249400655594,3.8117818138653305,33.95806572701696,4.83e-05,chen2020_dfn_structured_delta_dnn
945.0,3.9359128955768115,-0.0023997989419026755,0.3622158031442161,3.812620709086853,33.9550611737244,4.8700000000000005e-05,chen2020_dfn_structured_delta_dnn
950.0,3.9311109139133036,-0.002400995445479448,0.3633077783980809,3.813458380048439,33.95192547933999,4.69e-05,chen2020_dfn_structured_delta_dnn
955.0,3.9263086118081727,-0.002401155667214605,0.36439841967913866,3.8142949318687402,33.94866025945851,4.9600000000000006e-05,chen2020_dfn_structured_delta_dnn
960.0,3.9215081327986114,-0.002400244114176331,0.365487727493805,3.8151304709936227,33.94526716272628,4.71e-05,chen2020_dfn_structured_delta_dnn
965.0,3.916711690848279,-0.002398225572942503,0.3665757029634851,3.81596510518521,33.94174787191315,5.44e-05,chen2020_dfn_structured_delta_dnn
970.0,3.9119215696683107,-0.002395065169607302,0.36766234784394847,3.8167989435053578,33.93810410497588,4.6800000000000006e-05,chen2020_dfn_structured_delta_dnn
975.0,3.9071401219221547,-0.002390728427869304,0.3687476645444824,3.8176320963103,33.93433761610959,4.64e-05,chen2020_dfn_structured_delta_dnn
980.0,3.902369768319725,-0.0023851813243748743,0.36983165614679336,3.8184646752363527,33.930450196782886,4.55e-05,chen2020_dfn_structured_delta_dnn
985.0,3.8976129966078283,-0.002378390340583958,0.370914326423629,3.819296793194882,33.92644367675564,4.57e-05,chen2020_dfn_structured_delta_dnn
990.0,3.8928723604660767,-0.0023703225100286107,0.3719956798570917,3.820128564361717,33.92231992507516,6.7e-05,chen2020_dfn_structured_delta_dnn
995.0,3.88815047831894,-0.002360945460245123,0.3730757216566247,3.8209601041710775,33.918080851049524,4.9300000000000006e-05,chen2020_dfn_structured_delta_dnn
1000.0,3.883450032076766,-0.0023502274482920527,0.37415445777664613,3.821791529308299,33.9137284051954,7.94e-05,chen2020_dfn_structured_delta_dnn
1005.0,3.878773765820392,-0.0023381373889550527,0.3752318949338185,3.8226229577046125,33.90926458015895,4.71e-05,chen2020_dfn_structured_delta_dnn
1010.0,3.8741244844458924,-0.0023246448746805926,0.3763080406239423,3.823454508530744,33.904691411609974,4.66e-05,chen2020_dfn_structured_delta_dnn
1015.0,3.869505052288106,-0.0023097201861884686,0.3773829031384668,3.824286302193369,33.90001097910687,4.75e-05,chen2020_dfn_structured_delta_dnn
1020.0,3.864918391742957,-0.0022933342930733236,0.37845649158061767,3.8251184603316335,33.895225406933946,5.13e-05,chen2020_dfn_structured_delta_dnn
1025.0,3.8603674819108873,-0.002275458843250977,0.3795288158811485,3.8259511058164724,33.89033686491001,4.72e-05,chen2020_dfn_structured_delta_dnn
1030.0,3.855855357284863,-0.002256066140671975,0.3805998868137277,3.8267843627497338,33.88534756917113,5.66e-05,chen2020_dfn_structured_delta_dnn
1035.0,3.851385106508514,-0.0022351291102545856,0.38166971600998,3.827618356468381,33.88025978292808,4.77e-05,chen2020_dfn_structured_delta_dnn
1040.0,3.846959871230982,-0.002212621249530311,0.3827383159742108,3.8284532135495284,33.875075817201434,4.8400000000000004e-05,chen2020_dfn_structured_delta_dnn
1045.0,3.842582845086539,-0.002188516566257792,0.383805700097846,3.829289061820846,33.86979803153639,5.36e-05,chen2020_dfn_structured_delta_dnn
1050.0,3.8382572728280944,-0.002162789501479634,0.3848718826736317,3.8301260303736995,33.86442883470352,4.9300000000000006e-05,chen2020_dfn_structured_delta_dnn
