split,partition_family,partition_label,sample_count,mae_a,rmse_a,nrmse,bias_a,maximum_absolute_error_a
validation,slew_active,slew_active,72,1.1352722856875532,1.4653762068059235,0.14653762068059234,-0.4500323332085983,3.5378721349352515
validation,slew_active,slew_inactive,632,0.5246995052465053,0.8345924422153812,0.08345924422153812,0.2226692918199485,4.903533071116785
validation,slew_near_boundary,near_slew_boundary,73,1.1294015733334786,1.45765346335258,0.145765346335258,-0.4535484695186186,3.5378721349352515
validation,slew_near_boundary,away_from_slew_boundary,631,0.5244110571029339,0.8347795601518272,0.08347795601518272,0.22414215961021797,4.903533071116785
validation,soc,"(0.099, 0.25]",169,0.7174278141531665,1.1300684580434344,0.11300684580434343,0.27404046155203116,4.903533071116785
validation,soc,"(0.25, 0.4]",179,0.5166294185801712,0.8803509594367261,0.08803509594367262,0.0875137296812467,3.5378721349352515
validation,soc,"(0.55, 0.7]",172,0.5718754326226173,0.8707800758539554,0.08707800758539555,0.06805245149584306,2.9581941924449886
validation,soc,"(0.4, 0.55]",136,0.5873594743109379,0.827961931457657,0.0827961931457657,0.26167959815680947,2.459099420752003
validation,soc,"(0.7, 0.8]",48,0.44550546771211796,0.5884668406514814,0.05884668406514813,-0.019720378805399258,1.691941513903247
validation,temperature,"(24.999, 27.0]",158,0.7790026590941673,1.1882355415609684,0.11882355415609684,0.21167634555071096,4.903533071116785
validation,temperature,"(27.0, 29.0]",158,0.6452266629964467,0.9867550545104232,0.09867550545104233,0.33851087716375095,3.5378721349352515
validation,temperature,"(29.0, 31.0]",145,0.4836586281418121,0.7975987324173888,0.07975987324173887,-0.041517308591672915,2.9214401477154976
validation,temperature,"(31.0, 33.5]",243,0.48638254285767657,0.7191011910186383,0.07191011910186383,0.11281931274113559,2.4313079706389322
validation,temperature_active,temperature_inactive,702,0.5882881674824353,0.9204503568835203,0.09204503568835203,0.1548376962276552,4.903533071116785
validation,temperature_active,temperature_active,2,0.1856991563128001,0.18583273028962158,0.018583273028962156,-0.1856991563128001,0.19274379907233552
validation,voltage_active,voltage_inactive,630,0.6061092931577771,0.9501683827143969,0.09501683827143968,0.18544885200443587,4.903533071116785
validation,voltage_active,voltage_active,74,0.4256869891337246,0.593286255549926,0.059328625554992596,-0.1149744908595438,2.488231780281933
