initial_state_id,sampling_method,state_soc,state_polarization_fast_v,state_polarization_slow_v,state_average_temperature_c,state_previous_current_a,teacher_optimizer_success,teacher_prediction_feasible,teacher_accepted,teacher_status,teacher_objective,teacher_solve_time_s,teacher_minimum_constraint_margin
paper_ic_084,hammersley,0.16124474789915968,0.059765624999999996,0.04037037037037036,25.8736,2.4781341107871717,True,True,True,Optimization terminated successfully,6.051247198528425,0.9305667000007816,-7.01803060110251e-11
paper_ic_085,hammersley,0.16196953781512607,0.037265625,0.07037037037037036,27.5536,3.9067055393586,True,True,True,Optimization terminated successfully,6.256067692223049,0.8217115999977977,-4.07290201565047e-09
paper_ic_086,hammersley,0.16269432773109244,0.082265625,0.02037037037037037,29.2336,5.335276967930028,True,True,True,Optimization terminated successfully,6.366851282144784,0.6458143999989261,-4.450100732356077e-08
paper_ic_087,hammersley,0.16341911764705885,0.009140625,0.05037037037037037,30.9136,6.763848396501457,True,True,True,Optimization terminated successfully,6.634578940580381,0.8590452999997069,-1.9379342575120972e-10
paper_ic_088,hammersley,0.16414390756302522,0.054140625,0.08037037037037036,32.593599999999995,8.192419825072886,True,True,True,Optimization terminated successfully,6.976159352249378,0.680620999999519,-5.044142881160951e-11
paper_ic_089,hammersley,0.1648686974789916,0.031640625,0.0037037037037037034,26.2096,9.620991253644315,True,True,True,Optimization terminated successfully,5.897770069154499,0.8968808999998146,-4.652491725209984e-10
paper_ic_090,hammersley,0.165593487394958,0.076640625,0.0337037037037037,27.8896,1.2536443148688046,True,True,True,Optimization terminated successfully,6.196463273641073,0.7045247999994899,-8.704574838702683e-09
paper_ic_091,hammersley,0.16631827731092438,0.020390625,0.0637037037037037,29.5696,2.6822157434402327,True,True,True,Optimization terminated successfully,6.409670891516179,0.9161998000017775,-4.0886760643843445e-10
paper_ic_092,hammersley,0.16704306722689077,0.065390625,0.013703703703703704,31.2496,4.110787172011662,True,True,True,Optimization terminated successfully,6.547452640201281,0.863227800000459,-5.033768957218854e-10
paper_ic_093,hammersley,0.16776785714285714,0.042890625,0.043703703703703696,32.9296,5.53935860058309,True,True,True,Optimization terminated successfully,6.876759936229826,1.1782602000021143,-7.724452188995201e-09
paper_ic_094,hammersley,0.16849264705882355,0.087890625,0.07370370370370369,26.5456,6.967930029154519,True,True,True,Optimization terminated successfully,6.005339878144296,0.927185600001394,-1.240607616637135e-09
paper_ic_095,hammersley,0.16921743697478991,0.002109375,0.0237037037037037,28.2256,8.396501457725947,True,True,True,Optimization terminated successfully,6.0734831638555855,0.9105218000004243,-3.148556970700156e-10
paper_ic_096,hammersley,0.16994222689075633,0.047109374999999995,0.0537037037037037,29.9056,9.825072886297376,True,True,True,Optimization terminated successfully,6.354183424130206,0.7186983999999939,-2.41158204516978e-10
paper_ic_097,hammersley,0.1706670168067227,0.024609375,0.08370370370370368,31.5856,0.05830903790087463,True,True,True,Optimization terminated successfully,6.675928226112378,1.1042331000026024,-1.2165735086000495e-08
paper_ic_098,hammersley,0.17139180672268908,0.069609375,0.007037037037037036,33.2656,1.4868804664723032,True,True,True,Optimization terminated successfully,6.798136030007672,1.2407997000009345,-4.657266572394292e-09
paper_ic_099,hammersley,0.17211659663865547,0.013359375,0.037037037037037035,25.2688,2.9154518950437316,True,True,True,Optimization terminated successfully,5.7332596308782495,0.9313855999971565,-2.5271326364872948e-08
paper_ic_100,hammersley,0.17284138655462186,0.058359375,0.06703703703703703,26.9488,4.3440233236151595,True,True,True,Optimization terminated successfully,5.941736541768996,0.9567371999983152,-2.384282993261877e-09
paper_ic_101,hammersley,0.17356617647058825,0.035859375,0.017037037037037035,28.6288,5.772594752186588,True,True,True,Optimization terminated successfully,6.0262232015419155,0.8176826999988407,-2.701199264265597e-10
paper_ic_102,hammersley,0.17429096638655464,0.080859375,0.04703703703703703,30.308799999999998,7.201166180758016,True,True,True,Optimization terminated successfully,6.3094106690011245,0.6495633000013186,-2.4893012096072198e-09
paper_ic_103,hammersley,0.17501575630252103,0.007734375,0.07703703703703703,31.988799999999998,8.629737609329446,True,True,True,Optimization terminated successfully,6.595918113684188,0.46901209999850835,0.0
paper_ic_104,hammersley,0.1757405462184874,0.052734375,0.027037037037037033,25.6048,0.26239067055393583,True,True,True,Optimization terminated successfully,5.756857802115644,0.9688086999994994,-1.0750724754871044e-09
paper_ic_105,hammersley,0.1764653361344538,0.030234374999999997,0.05703703703703703,27.2848,1.6909620991253642,True,True,True,Optimization terminated successfully,5.910955132385567,1.0691736999979184,-3.552713678800501e-15
paper_ic_106,hammersley,0.17719012605042017,0.07523437499999999,0.08703703703703702,28.9648,3.1195335276967926,True,True,True,Optimization terminated successfully,6.135712559980063,1.1051528999996663,-1.6606946928732214e-09
paper_ic_107,hammersley,0.17791491596638656,0.018984374999999998,0.0014814814814814812,30.6448,4.548104956268221,True,True,True,Optimization terminated successfully,6.1730041361606744,1.2186924000016006,-2.1597656996164005e-10
paper_ic_108,hammersley,0.17863970588235295,0.063984375,0.03148148148148148,32.324799999999996,5.976676384839649,True,True,True,Optimization terminated successfully,6.496925845126287,1.2615487000002759,-3.9336356394414906e-10
paper_ic_109,hammersley,0.17936449579831934,0.041484375,0.06148148148148147,25.9408,7.405247813411078,True,True,True,Optimization terminated successfully,5.669624531428097,1.606393999998545,-6.477520742009801e-10
paper_ic_110,hammersley,0.18008928571428573,0.086484375,0.011481481481481481,27.6208,8.833819241982507,True,True,True,Optimization terminated successfully,5.763449129106115,1.2133088999980828,-1.2219629752507899e-09
paper_ic_111,hammersley,0.18081407563025212,0.004921875,0.04148148148148147,29.3008,0.46647230320699706,True,True,True,Optimization terminated successfully,6.054375487496872,2.33326610000222,-3.7765346405649325e-10
paper_ic_112,hammersley,0.1815388655462185,0.049921875,0.07148148148148148,30.9808,1.8950437317784254,True,True,True,Optimization terminated successfully,6.293433184477079,1.3879621000014595,-8.151346264639869e-11
paper_ic_113,hammersley,0.18226365546218487,0.027421875,0.02148148148148148,32.6608,3.3236151603498536,True,True,True,Optimization terminated successfully,6.4449940340209375,1.1773524999989604,-3.283915361862455e-10
paper_ic_114,hammersley,0.1829884453781513,0.072421875,0.05148148148148148,26.2768,4.752186588921282,True,True,True,Optimization terminated successfully,5.623118117001953,1.6447182000010798,-1.0110881021319074e-09
