trajectory_id,split,step_index,state_soc,state_polarization_1_v,state_polarization_2_v,teacher_current_a,terminal_voltage_v,next_soc,next_polarization_1_v,next_polarization_2_v,teacher_objective,teacher_solve_time_s,teacher_optimizer_success,teacher_prediction_feasible,teacher_used_fallback,minimum_prediction_margin,plan_block_00_a,plan_block_01_a,plan_block_02_a
global_001,train,3,0.28308333333333335,0.0781173337069273,0.06907520959414727,10.0,3.925764809110576,0.2858611111111111,0.08140605725170799,0.0719047761218386,13.799873827160518,0.002712999999857857,True,True,False,0.04280442413452157,10.0,10.0,10.0
global_001,train,4,0.2858611111111111,0.08140605725170799,0.0719047761218386,10.0,3.934556909225198,0.2886388888888889,0.08386698123738595,0.07464188477569293,13.617509629629653,0.0027109000002383254,True,True,False,0.04008926449214467,10.0,10.0,10.0
global_001,train,5,0.2886388888888889,0.08386698123738595,0.07464188477569293,10.0,3.9424287519068795,0.29141666666666666,0.0857084698212763,0.07728955667514706,13.436380000000026,0.0026849999994738027,True,True,False,0.03738670200264593,10.0,10.0,10.0
global_001,train,6,0.29141666666666666,0.0857084698212763,0.07728955667514706,10.0,3.949591722432374,0.2941944444444444,0.08708644013825231,0.0798507142226516,13.256484938271631,0.002956899999844609,True,True,False,0.03469632504105302,10.0,10.0,10.0
global_001,train,7,0.2941944444444444,0.08708644013825231,0.0798507142226516,10.0,3.956204660339004,0.2969722222222222,0.08811756366031917,0.0823281843293109,13.077824444444472,0.005205099998420337,True,True,False,0.0320177354337714,10.0,10.0,10.0
global_002,train,0,0.6242500000000001,0.009999999999999998,0.09,6.531213204193023,4.105986607031396,0.6260642258900537,0.022473040945040247,0.09038138790021367,1.108641513169947,0.017384999999194406,True,True,False,-3.6415315207705135e-14,6.531213204193023,5.575396477781411,4.926522381770477
global_002,train,1,0.6260642258900537,0.022473040945040247,0.09038138790021367,6.481584386252362,4.119729112105014,0.627864665997346,0.031692606215569234,0.09072506930370654,1.082511778341669,0.020094800000151736,True,True,False,0.0,6.481584386252362,5.539947359291477,4.901597869647863
global_002,train,2,0.627864665997346,0.031692606215569234,0.09072506930370654,6.432957958687037,4.1301870307551685,0.629651598763648,0.038479923821382066,0.09103278617424194,1.0568393068041708,0.016816200000903336,True,True,False,-8.615330671091215e-14,6.432957958687037,5.504837427385976,4.876853067356772
global_002,train,3,0.629651598763648,0.038479923821382066,0.09103278617424194,6.385250115288868,4.138181843299755,0.6314252793512282,0.04344931938158745,0.09130618092659362,1.0316207658033285,0.016939399998591398,True,True,False,3.552713678800501e-15,6.385250115288868,5.470068053492958,4.852290150516441
global_002,train,4,0.6314252793512282,0.04344931938158745,0.09130618092659362,6.338393046859613,4.144328344523002,0.6331859440864669,0.04706033192357939,0.09154680781647909,1.0068520407638628,0.016969500000413973,True,True,False,0.0,6.338393046859613,5.435638224872879,4.827909943509099
global_002,train,5,0.6331859440864669,0.04706033192357939,0.09154680781647909,6.292331106684897,4.1490866938011655,0.6349338138383238,0.04965670289336735,0.0917561420078334,0.9825284646639585,0.014333900000565336,True,True,False,-2.6645352591003757e-15,6.292331106684897,5.4015452184688995,4.803712285772229
global_002,train,6,0.6349338138383238,0.04965670289336735,0.0917561420078334,6.247017934134243,4.152801355421043,0.6366690965978056,0.051495544700144336,0.09193558688068214,0.9586449871335925,0.014430499999434687,True,True,False,-2.5757174171303632e-14,6.247017934134243,5.367785102162098,4.779696304851349
