controller,seed,trajectory_id,threshold_v,entered,first_entry_step,first_entry_time_s,first_entry_soc,first_entry_current_a,voltage_safe_current_max_a,braking_steps_required,steps_until_first_4p20_violation,maximum_slew_braking_in_time,voltage_slew_conflict_at_entry
mpc,-1,level3_closed_08,4.19,True,47,240.0,0.7153173819457366,4.572854120183974,4.517266516486416,1,15,True,False
mpc,-1,level3_closed_08,4.2,True,62,315.0,0.7335883980445065,4.2264450995691,3.7732742085063364,1,0,False,False
mpc,-1,level3_closed_09,4.15,True,31,160.0,0.5692122204324568,7.880199972733449,9.462104035555967,0,62,True,False
mpc,-1,level3_closed_09,4.18,True,61,310.0,0.6277458184622886,6.334753618133055,6.6788046659348765,0,32,True,False
mpc,-1,level3_closed_09,4.19,True,75,380.0,0.6512313600396831,5.795290597103599,5.744213353536907,1,18,True,False
mpc,-1,level3_closed_09,4.2,True,93,470.0,0.6786112079027391,5.217325981105021,4.753073794636293,1,0,False,False
mpc,-1,level3_closed_10,4.15,True,18,95.0,0.6480388042873895,6.301605591653375,7.913588188966969,0,42,True,False
mpc,-1,level3_closed_10,4.18,True,37,190.0,0.6786769572785321,5.421813838949644,5.749274013360264,0,23,True,False
mpc,-1,level3_closed_10,4.19,True,46,235.0,0.6917978838293701,5.11545811785212,5.071120484280982,1,14,True,False
mpc,-1,level3_closed_10,4.2,True,60,305.0,0.7108132156277628,4.704455843396363,4.253320830830489,1,0,False,False
mpc,-1,level3_closed_11,4.15,True,30,155.0,0.6156988546792703,6.766172364893492,8.347729248562246,0,48,True,False
mpc,-1,level3_closed_11,4.18,True,54,275.0,0.6569886931091874,5.721534136419915,6.0634533499978716,0,24,True,False
mpc,-1,level3_closed_11,4.19,True,65,330.0,0.6738200622683391,5.342256453146448,5.288575388403842,1,13,True,False
mpc,-1,level3_closed_11,4.2,True,78,395.0,0.6924004695684545,4.982259476865801,4.525792080385145,1,0,False,False
ann_projection,22,level3_closed_00,4.15,True,11,60.0,0.6739342164979735,5.871275107307231,7.496382602766971,0,35,True,False
ann_projection,22,level3_closed_00,4.18,True,25,130.0,0.6953624775892794,5.238201024554362,5.603488941123942,0,21,True,False
ann_projection,22,level3_closed_00,4.19,True,34,175.0,0.7080231714679416,4.932505240812118,4.865939064184204,1,12,True,False
ann_projection,22,level3_closed_00,4.2,True,46,235.0,0.7238128511921836,4.577116372280841,4.1150843943614746,1,0,False,False
ann_projection,22,level3_closed_01,4.15,True,34,175.0,0.5805691740169645,7.512838232597313,9.105172765412135,0,59,True,False
ann_projection,22,level3_closed_01,4.18,True,64,325.0,0.6367034271258676,6.075991304252888,6.4309573905484285,0,29,True,False
ann_projection,22,level3_closed_01,4.19,True,78,395.0,0.6592694534927339,5.584278996185243,5.534480107162381,1,15,True,False
ann_projection,22,level3_closed_01,4.2,True,93,470.0,0.6815801446455948,5.1678467886451065,4.698071241218713,1,0,False,False
ann_projection,22,level3_closed_02,4.15,True,19,100.0,0.6572745223618511,5.865552884503585,7.505097431931063,0,40,True,False
ann_projection,22,level3_closed_02,4.18,True,38,195.0,0.6862494708565059,5.196595036778584,5.548442706131027,0,21,True,False
ann_projection,22,level3_closed_02,4.19,True,47,240.0,0.6988972202118174,4.953451770692842,4.89374969387427,1,12,True,False
ann_projection,22,level3_closed_02,4.2,True,59,300.0,0.7148731524471282,4.659940614983467,4.1909223289985675,1,0,False,False
ann_projection,22,level3_closed_03,4.15,True,33,170.0,0.6253210342903155,6.430080468904903,7.999686198672862,0,45,True,False
ann_projection,22,level3_closed_03,4.18,True,56,285.0,0.663209641826816,5.5342384629095065,5.907208670250839,0,22,True,False
ann_projection,22,level3_closed_03,4.19,True,66,335.0,0.6781332740213297,5.247084083358036,5.204419105721172,1,12,True,False
ann_projection,22,level3_closed_03,4.2,True,78,395.0,0.6950781258989662,4.951324234120214,4.488886005055974,1,0,False,False
ann_projection,22,level3_closed_04,4.15,True,8,45.0,0.6982168009903589,5.5409071798241945,7.070384808321251,0,32,True,False
ann_projection,22,level3_closed_04,4.18,True,19,100.0,0.7141877257396633,4.996610769065647,5.30839463142911,0,21,True,False
ann_projection,22,level3_closed_04,4.19,True,26,135.0,0.7235989365997562,4.7282776215959545,4.667944586472004,1,14,True,False
ann_projection,22,level3_closed_04,4.2,True,40,205.0,0.7410188062158587,4.278142194560461,3.805327999580186,1,0,False,False
ann_projection,22,level3_closed_05,4.15,True,37,190.0,0.5531347915344349,8.072986077884574,9.679818122822326,0,67,True,False
ann_projection,22,level3_closed_05,4.18,True,67,340.0,0.6138556615840468,6.588371552738931,6.952573041926371,0,37,True,False
ann_projection,22,level3_closed_05,4.19,True,85,430.0,0.6448072837499605,5.863832240823152,5.81354927016946,1,19,True,False
ann_projection,22,level3_closed_05,4.2,True,104,525.0,0.6740866654235218,5.289480839310869,4.824501721814158,1,0,False,False
ann_projection,22,level3_closed_06,4.15,True,24,125.0,0.6324402103011515,6.4548020010544285,8.065485121114762,0,43,True,False
ann_projection,22,level3_closed_06,4.18,True,46,235.0,0.6686199566388392,5.508455959477438,5.858600312349154,0,21,True,False
ann_projection,22,level3_closed_06,4.19,True,56,285.0,0.6834470619554838,5.206347086320922,5.134555512049701,1,11,True,False
ann_projection,22,level3_closed_06,4.2,True,67,340.0,0.6988741000061677,4.923396278342122,4.468024927118677,1,0,False,False
ann_projection,22,level3_closed_07,4.15,True,34,175.0,0.5984399633662973,7.067663805404392,8.68629533535568,0,53,True,False
ann_projection,22,level3_closed_07,4.18,True,62,315.0,0.6480901644329322,5.8240022427062375,6.200650258469977,0,25,True,False
ann_projection,22,level3_closed_07,4.19,True,74,375.0,0.6667897424443591,5.440567111992108,5.400929362876923,1,13,True,False
ann_projection,22,level3_closed_07,4.2,True,87,440.0,0.685751862378952,5.0979917483110615,4.6435294744878775,1,0,False,False
ann_projection,22,level3_closed_08,4.15,True,18,95.0,0.6754838107454101,5.378887549553302,6.992362521850737,0,39,True,False
ann_projection,22,level3_closed_08,4.18,True,35,180.0,0.6996834363610666,4.91648769893089,5.3053114176145755,0,22,True,False
ann_projection,22,level3_closed_08,4.19,True,44,225.0,0.7116764004724151,4.703290126338494,4.670458763066563,1,13,True,False
ann_projection,22,level3_closed_08,4.2,True,57,290.0,0.7280732617768669,4.40018538441204,3.9421825206954964,1,0,False,False
ann_projection,22,level3_closed_09,4.15,True,32,165.0,0.5712544321897176,7.81339409594583,9.361915668778238,0,61,True,False
ann_projection,22,level3_closed_09,4.18,True,61,310.0,0.6277142152778074,6.315527256983216,6.67724089078547,0,32,True,False
ann_projection,22,level3_closed_09,4.19,True,77,390.0,0.6542596739636485,5.697721097297871,5.646352082185331,1,16,True,False
ann_projection,22,level3_closed_09,4.2,True,93,470.0,0.6784318159268233,5.228790638111022,4.766418695653556,1,0,False,False
ann_projection,22,level3_closed_10,4.15,True,19,100.0,0.6497099505016866,6.2243028301578525,7.758144465624355,0,39,True,False
ann_projection,22,level3_closed_10,4.18,True,37,190.0,0.6785581804787126,5.423852733485536,5.761516989368829,0,21,True,False
ann_projection,22,level3_closed_10,4.19,True,46,235.0,0.6917087768138462,5.136773221168856,5.075754627468996,1,12,True,False
ann_projection,22,level3_closed_10,4.2,True,58,295.0,0.7082302812431795,4.810705263167797,4.340462892869255,1,0,False,False
ann_projection,22,level3_closed_11,4.15,True,30,155.0,0.6157025290951148,6.776093009784825,8.340288829567726,0,47,True,False
ann_projection,22,level3_closed_11,4.18,True,55,280.0,0.658429255107038,5.662311142139452,6.00874992502213,0,22,True,False
ann_projection,22,level3_closed_11,4.19,True,65,330.0,0.6736660690671619,5.348961812479153,5.305702439363813,1,12,True,False
ann_projection,22,level3_closed_11,4.2,True,77,390.0,0.6909125916301712,5.033873328090918,4.581722024013288,1,0,False,False
ann_projection,42,level3_closed_00,4.15,True,11,60.0,0.6737876177658504,5.858356614733801,7.519227444718126,0,36,True,False
ann_projection,42,level3_closed_00,4.18,True,26,135.0,0.6966216011508438,5.187751541466476,5.527797419272247,0,21,True,False
ann_projection,42,level3_closed_00,4.19,True,35,180.0,0.7091531077091655,4.880789873264483,4.815755900344811,1,12,True,False
ann_projection,42,level3_closed_00,4.2,True,47,240.0,0.7247980778488915,4.545714155029678,4.085455560853006,1,0,False,False
ann_projection,42,level3_closed_01,4.15,True,34,175.0,0.5804672419654052,7.508994877291741,9.11432566565054,0,58,True,False
ann_projection,42,level3_closed_01,4.18,True,63,320.0,0.6349705285852981,6.1506880888263975,6.496111016167561,0,29,True,False
ann_projection,42,level3_closed_01,4.19,True,76,385.0,0.6562504754706872,5.682415043556902,5.630413823673734,1,16,True,False
ann_projection,42,level3_closed_01,4.2,True,92,465.0,0.680305103299534,5.1859920615920005,4.729666075727437,1,0,False,False
ann_projection,42,level3_closed_02,4.15,True,19,100.0,0.6572757640220335,5.899641793141795,7.498699883799418,0,43,True,False
ann_projection,42,level3_closed_02,4.18,True,38,195.0,0.6863307322724581,5.185022810684576,5.53617009158188,0,24,True,False
ann_projection,42,level3_closed_02,4.19,True,48,245.0,0.7002657390531445,4.885725272578932,4.835512422723696,1,14,True,False
ann_projection,42,level3_closed_02,4.2,True,62,315.0,0.718521513295567,4.541367193908124,4.071659999608528,1,0,False,False
ann_projection,42,level3_closed_03,4.15,True,32,165.0,0.623572288148025,6.492319863408159,8.11207610386191,0,48,True,False
ann_projection,42,level3_closed_03,4.18,True,55,280.0,0.6619067067012814,5.593127334236103,5.951425727762398,0,25,True,False
ann_projection,42,level3_closed_03,4.19,True,65,330.0,0.6769477848727437,5.274043969610046,5.2413776543107815,1,15,True,False
ann_projection,42,level3_closed_03,4.2,True,80,405.0,0.6979699851453527,4.85637559759645,4.382677508838242,1,0,False,False
ann_projection,42,level3_closed_04,4.15,True,8,45.0,0.6982664570727346,5.557002736625234,7.063159866884234,0,29,True,False
ann_projection,42,level3_closed_04,4.18,True,18,95.0,0.7129140600054289,5.066053464520151,5.4035279769595945,0,19,True,False
ann_projection,42,level3_closed_04,4.19,True,25,130.0,0.722459254672567,4.797249437158945,4.725682623902685,1,12,True,False
ann_projection,42,level3_closed_04,4.2,True,37,190.0,0.7377223838453514,4.401553095642147,3.924838209131849,1,0,False,False
ann_projection,42,level3_closed_05,4.15,True,38,195.0,0.5552197503509863,8.01641373697197,9.583556052530184,0,64,True,False
ann_projection,42,level3_closed_05,4.18,True,67,340.0,0.613678806784452,6.598453240148899,6.966836735591642,0,35,True,False
ann_projection,42,level3_closed_05,4.19,True,83,420.0,0.6414919992394046,5.974837468951149,5.917735469265608,1,19,True,False
ann_projection,42,level3_closed_05,4.2,True,102,515.0,0.6712566455553718,5.355333966155094,4.896671241949662,1,0,False,False
ann_projection,42,level3_closed_06,4.15,True,24,125.0,0.6325523105030997,6.47064981321297,8.053051628521644,0,45,True,False
ann_projection,42,level3_closed_06,4.18,True,45,230.0,0.6673637114744142,5.563337760437895,5.905634598893812,0,24,True,False
ann_projection,42,level3_closed_06,4.19,True,55,280.0,0.6822904413336213,5.225317301015332,5.175170475777122,1,14,True,False
ann_projection,42,level3_closed_06,4.2,True,69,350.0,0.7017479110033824,4.82320120024306,4.369531466581975,1,0,False,False
ann_projection,42,level3_closed_07,4.15,True,35,180.0,0.6003244404419926,7.0076328774810985,8.576058248872869,0,52,True,False
ann_projection,42,level3_closed_07,4.18,True,61,310.0,0.6465476091781548,5.898188179145136,6.253661022346932,0,26,True,False
ann_projection,42,level3_closed_07,4.19,True,73,370.0,0.6654613504770734,5.492363780201842,5.434465137368534,1,14,True,False
ann_projection,42,level3_closed_07,4.2,True,87,440.0,0.6859362720711111,5.076774056053518,4.627725262034801,1,0,False,False
ann_projection,42,level3_closed_08,4.15,True,18,95.0,0.6755191384332032,5.393410772567391,6.98109060038405,0,41,True,False
ann_projection,42,level3_closed_08,4.18,True,37,190.0,0.7023257137576041,4.82107170859316,5.17300708736002,0,22,True,False
ann_projection,42,level3_closed_08,4.19,True,46,235.0,0.7140687641320034,4.603056206629378,4.576017273575417,1,13,True,False
ann_projection,42,level3_closed_08,4.2,True,59,300.0,0.7301619768846009,4.337660813512777,3.886337938020006,1,0,False,False
ann_projection,42,level3_closed_09,4.15,True,32,165.0,0.571148127664065,7.817249997856903,9.375013968819985,0,60,True,False
ann_projection,42,level3_closed_09,4.18,True,61,310.0,0.6276332678917435,6.341501635235368,6.680018557526637,0,31,True,False
ann_projection,42,level3_closed_09,4.19,True,75,380.0,0.6511452966199031,5.804218890474388,5.7447167512145825,1,17,True,False
ann_projection,42,level3_closed_09,4.2,True,92,465.0,0.6771452754385257,5.255700650082479,4.794291287253145,1,0,False,False
ann_projection,42,level3_closed_10,4.15,True,18,95.0,0.647885167405261,6.300577844239109,7.928537863335805,0,42,True,False
ann_projection,42,level3_closed_10,4.18,True,36,185.0,0.6770627011283724,5.469592974849313,5.836022863077233,0,24,True,False
ann_projection,42,level3_closed_10,4.19,True,46,235.0,0.6917034925936077,5.116846032795414,5.073135192942573,1,14,True,False
ann_projection,42,level3_closed_10,4.2,True,60,305.0,0.7107300128350628,4.713295576196771,4.255721827503294,1,0,False,False
ann_projection,42,level3_closed_11,4.15,True,30,155.0,0.6157607190563592,6.777152875940375,8.335564123553922,0,48,True,False
ann_projection,42,level3_closed_11,4.18,True,53,270.0,0.6554913887785577,5.766212161025268,6.132118648674805,0,25,True,False
ann_projection,42,level3_closed_11,4.19,True,64,325.0,0.6724679230949879,5.388444113409087,5.33942585454497,1,14,True,False
ann_projection,42,level3_closed_11,4.2,True,78,395.0,0.6925360735222047,4.97323859008147,4.516203039238462,1,0,False,False
ann_projection,73,level3_closed_00,4.15,True,11,60.0,0.6738586850169249,5.874812077781305,7.507726310941507,0,37,True,False
ann_projection,73,level3_closed_00,4.18,True,26,135.0,0.6967136343034686,5.184943803002858,5.518486407599994,0,22,True,False
ann_projection,73,level3_closed_00,4.19,True,35,180.0,0.7092277859748977,4.870492248637207,4.811726887564873,1,13,True,False
ann_projection,73,level3_closed_00,4.2,True,48,245.0,0.7260661715522073,4.497190517936234,4.039530021400424,1,0,False,False
ann_projection,73,level3_closed_01,4.15,True,34,175.0,0.5805510310771345,7.503801606095503,9.103052552163717,0,58,True,False
ann_projection,73,level3_closed_01,4.18,True,64,325.0,0.6365801539952538,6.086393035489731,6.442666931252461,0,28,True,False
ann_projection,73,level3_closed_01,4.19,True,77,390.0,0.657657959511328,5.635535804334993,5.591672264272347,1,15,True,False
ann_projection,73,level3_closed_01,4.2,True,92,465.0,0.6801445283799964,5.199202709506643,4.742022723148693,1,0,False,False
ann_projection,73,level3_closed_02,4.15,True,19,100.0,0.657295924692529,5.891341506932206,7.498435331435758,0,42,True,False
ann_projection,73,level3_closed_02,4.18,True,38,195.0,0.686357672508967,5.196593473184961,5.533742003826774,0,23,True,False
ann_projection,73,level3_closed_02,4.19,True,47,240.0,0.698974656802163,4.931367664268293,4.888801604683977,1,14,True,False
ann_projection,73,level3_closed_02,4.2,True,61,310.0,0.7173812515199806,4.570010279098905,4.106384508922929,1,0,False,False
ann_projection,73,level3_closed_03,4.15,True,33,170.0,0.6252430421465608,6.423245551552054,8.013169980113162,0,45,True,False
ann_projection,73,level3_closed_03,4.18,True,56,285.0,0.6632146819171323,5.553536432817229,5.899621579228551,0,22,True,False
ann_projection,73,level3_closed_03,4.19,True,66,335.0,0.6781780037220659,5.255695201255057,5.193429636856308,1,12,True,False
ann_projection,73,level3_closed_03,4.2,True,78,395.0,0.6951114401393239,4.936561943353069,4.485232957886183,1,0,False,False
ann_projection,73,level3_closed_04,4.15,True,8,45.0,0.6982867906687505,5.548695637572135,7.057557909138268,0,31,True,False
ann_projection,73,level3_closed_04,4.18,True,18,95.0,0.7128782720155198,5.039002516954764,5.410154496858013,0,21,True,False
ann_projection,73,level3_closed_04,4.19,True,26,135.0,0.7236777718497827,4.729410116247879,4.661694656315376,1,13,True,False
ann_projection,73,level3_closed_04,4.2,True,39,200.0,0.739935740046739,4.319111217071325,3.8455183897167444,1,0,False,False
ann_projection,73,level3_closed_05,4.15,True,37,190.0,0.553130533722818,8.091022085976295,9.679683121066773,0,66,True,False
ann_projection,73,level3_closed_05,4.18,True,68,345.0,0.6155623654642428,6.530785818435914,6.898731154142297,0,35,True,False
ann_projection,73,level3_closed_05,4.19,True,85,430.0,0.6447187996235804,5.880121050789857,5.818075943388976,1,18,True,False
ann_projection,73,level3_closed_05,4.2,True,103,520.0,0.6726138928177993,5.328103682279108,4.864279558169073,1,0,False,False
ann_projection,73,level3_closed_06,4.15,True,24,125.0,0.6324573417413024,6.455296638148707,8.065308952573105,0,44,True,False
ann_projection,73,level3_closed_06,4.18,True,45,230.0,0.6672021880385636,5.561598803878192,5.922025769905304,0,23,True,False
ann_projection,73,level3_closed_06,4.19,True,55,280.0,0.6821471624300385,5.238682555191807,5.18443448607286,1,13,True,False
ann_projection,73,level3_closed_06,4.2,True,68,345.0,0.7003409955887897,4.874359395412256,4.410591728010331,1,0,False,False
ann_projection,73,level3_closed_07,4.15,True,35,180.0,0.6003236123138666,6.990893519088923,8.57669886230724,0,52,True,False
ann_projection,73,level3_closed_07,4.18,True,62,315.0,0.6480028038660817,5.842272624690458,6.204297222066089,0,25,True,False
ann_projection,73,level3_closed_07,4.19,True,74,375.0,0.6667663796079879,5.457841253917674,5.393761297746096,1,13,True,False
ann_projection,73,level3_closed_07,4.2,True,87,440.0,0.6857604217040207,5.097403983584282,4.6365709312522085,1,0,False,False
ann_projection,73,level3_closed_08,4.15,True,18,95.0,0.6754835110093063,5.396286063280158,6.98659004898218,0,41,True,False
ann_projection,73,level3_closed_08,4.18,True,36,185.0,0.7010260804849784,4.8689416514989485,5.235905661684228,0,23,True,False
ann_projection,73,level3_closed_08,4.19,True,46,235.0,0.7141608320996379,4.617379964739218,4.561426823929651,1,13,True,False
ann_projection,73,level3_closed_08,4.2,True,59,300.0,0.7302566857937247,4.325735825212534,3.8787252421025187,1,0,False,False
ann_projection,73,level3_closed_09,4.15,True,31,160.0,0.5690554089124373,7.883188452198048,9.485021009022603,0,61,True,False
ann_projection,73,level3_closed_09,4.18,True,62,315.0,0.629321839378973,6.273383124149342,6.622468169225613,0,30,True,False
ann_projection,73,level3_closed_09,4.19,True,76,385.0,0.6525961781938159,5.75145500319357,5.706246141635347,1,16,True,False
ann_projection,73,level3_closed_09,4.2,True,92,465.0,0.6769743320993185,5.2648315958544565,4.809143169404706,1,0,False,False
ann_projection,73,level3_closed_10,4.15,True,18,95.0,0.6480577367683558,6.301105355709286,7.908993797173025,0,41,True,False
ann_projection,73,level3_closed_10,4.18,True,36,185.0,0.6772297565262493,5.471147711163135,5.824801448325161,0,23,True,False
ann_projection,73,level3_closed_10,4.19,True,46,235.0,0.6918857210884887,5.125255613889299,5.060455699713202,1,13,True,False
ann_projection,73,level3_closed_10,4.2,True,59,300.0,0.709636268435878,4.745989747283852,4.291361067298567,1,0,False,False
