profile_name,variant,temperature_c,initial_soc,c_rate,holdout_soc,horizon_s,voltage_rmse_mv,voltage_maximum_absolute_error_mv,temperature_rmse_c,temperature_maximum_absolute_error_c,true_voltage_feasible,predicted_voltage_feasible,voltage_classification,true_temperature_feasible,predicted_temperature_feasible,temperature_classification
t15_soc0.70_c0.5,related_2rc_dual,15.0,0.7,0.5,False,5.0,36.06101279601929,37.09323536642817,0.007848075808594836,0.011098855247047013,True,True,true_feasible,True,True,true_feasible
t15_soc0.70_c0.5,related_2rc_dual,15.0,0.7,0.5,False,25.0,33.09357515638288,37.09323536642817,0.025328344836997314,0.03839849782877636,True,True,true_feasible,True,True,true_feasible
t15_soc0.70_c0.5,related_2rc_dual,15.0,0.7,0.5,False,300.0,33.865974656049026,37.64608956380133,0.05860148669824923,0.0744585650629972,True,True,true_feasible,True,True,true_feasible
t15_soc0.70_c0.5,related_2rc_single,15.0,0.7,0.5,False,5.0,36.06101279601929,37.09323536642817,0.007941081264318058,0.011230384823905482,True,True,true_feasible,True,True,true_feasible
t15_soc0.70_c0.5,related_2rc_single,15.0,0.7,0.5,False,25.0,33.09357515638288,37.09323536642817,0.02579820041683715,0.03920792377254578,True,True,true_feasible,True,True,true_feasible
t15_soc0.70_c0.5,related_2rc_single,15.0,0.7,0.5,False,300.0,33.865974656049026,37.64608956380133,0.06238357564830059,0.0785908819633665,True,True,true_feasible,True,True,true_feasible
t15_soc0.70_c1,fixed_2rc_dual,15.0,0.7,1.0,False,5.0,36.092817439655185,36.83843237039053,0.03079360564914468,0.04354873474338916,True,True,true_feasible,True,True,true_feasible
t15_soc0.70_c1,fixed_2rc_dual,15.0,0.7,1.0,False,25.0,37.14224084302511,38.431091239123916,0.12189174320657974,0.1973101713254355,True,True,true_feasible,True,True,true_feasible
t15_soc0.70_c1,fixed_2rc_dual,15.0,0.7,1.0,False,300.0,36.72409500894681,43.846176306912454,0.8877773040036204,1.2814655266665511,False,False,true_infeasible,True,True,true_feasible
t15_soc0.70_c1,related_2rc_dual,15.0,0.7,1.0,False,5.0,34.859484039448056,36.96738696754931,0.01602835309111506,0.022667514323959637,True,True,true_feasible,True,True,true_feasible
t15_soc0.70_c1,related_2rc_dual,15.0,0.7,1.0,False,25.0,29.135225492449866,36.96738696754931,0.03659375724176056,0.04657924700500793,True,True,true_feasible,True,True,true_feasible
t15_soc0.70_c1,related_2rc_dual,15.0,0.7,1.0,False,300.0,26.93495319650885,36.96738696754931,0.5219118274066059,1.034642153891447,False,False,true_infeasible,True,True,true_feasible
t15_soc0.70_c1,related_2rc_single,15.0,0.7,1.0,False,5.0,34.859484039448056,36.96738696754931,0.016400374914009197,0.02319363263139529,True,True,true_feasible,True,True,true_feasible
t15_soc0.70_c1,related_2rc_single,15.0,0.7,1.0,False,25.0,29.135225492449866,36.96738696754931,0.03840722328047457,0.04908800409172542,True,True,true_feasible,True,True,true_feasible
t15_soc0.70_c1,related_2rc_single,15.0,0.7,1.0,False,300.0,26.93495319650885,36.96738696754931,0.507128679536965,1.0149538004425551,False,False,true_infeasible,True,True,true_feasible
t15_soc0.70_c2,fixed_2rc_dual,15.0,0.7,2.0,False,5.0,2.427086531677119,3.3076677430461388,0.06540695461485507,0.09249940228984954,True,True,true_feasible,True,True,true_feasible
t15_soc0.70_c2,fixed_2rc_dual,15.0,0.7,2.0,False,25.0,5.24948454167897,8.540632796771419,0.24093258593226147,0.38262834973861715,False,False,true_infeasible,True,True,true_feasible
t15_soc0.70_c2,fixed_2rc_dual,15.0,0.7,2.0,False,300.0,26.481795147951527,62.760557586222454,1.1881106266821548,1.5027049998972508,False,False,true_infeasible,True,True,true_feasible
t15_soc0.70_c2,related_2rc_dual,15.0,0.7,2.0,False,5.0,4.679578605079985,5.123559136754885,0.006345944382736589,0.008974520612131442,True,False,false_conservative,True,True,true_feasible
t15_soc0.70_c2,related_2rc_dual,15.0,0.7,2.0,False,25.0,14.943049632073276,20.535868108010114,0.1118555453171336,0.22432639221747408,False,False,true_infeasible,True,True,true_feasible
t15_soc0.70_c2,related_2rc_dual,15.0,0.7,2.0,False,300.0,37.35581979543909,61.24430104813072,4.415430491186777,7.761725722334745,False,False,true_infeasible,True,False,false_conservative
t15_soc0.70_c2,related_2rc_single,15.0,0.7,2.0,False,5.0,4.679578605079985,5.123559136754885,0.007834031674315654,0.011078993841877605,True,False,false_conservative,True,True,true_feasible
t15_soc0.70_c2,related_2rc_single,15.0,0.7,2.0,False,25.0,14.943049632073276,20.535868108010114,0.10462593501031088,0.21137557711713129,False,False,true_infeasible,True,True,true_feasible
t15_soc0.70_c2,related_2rc_single,15.0,0.7,2.0,False,300.0,37.35581979543909,61.24430104813072,4.352555250420683,7.682972308539171,False,False,true_infeasible,True,False,false_conservative
t15_soc0.75_c0.5,fixed_2rc_dual,15.0,0.75,0.5,True,5.0,36.08433809796848,36.623759958702706,0.01186761226698497,0.016783338220955457,True,True,true_feasible,True,True,true_feasible
t15_soc0.75_c0.5,fixed_2rc_dual,15.0,0.75,0.5,True,25.0,37.26399678058852,38.528281401378095,0.048255693820205205,0.07866532007525429,True,True,true_feasible,True,True,true_feasible
t15_soc0.75_c0.5,fixed_2rc_dual,15.0,0.75,0.5,True,300.0,40.132594054185276,42.419878048028714,0.4130363244735223,0.6368929088488144,True,True,true_feasible,True,True,true_feasible
t15_soc0.75_c0.5,related_2rc_dual,15.0,0.75,0.5,True,5.0,35.06026755078044,36.34792004647025,0.007699608450951779,0.010888890696298503,True,True,true_feasible,True,True,true_feasible
t15_soc0.75_c0.5,related_2rc_dual,15.0,0.75,0.5,True,25.0,33.282147209281035,36.34792004647025,0.024512512278304782,0.03730372237011359,True,True,true_feasible,True,True,true_feasible
t15_soc0.75_c0.5,related_2rc_dual,15.0,0.75,0.5,True,300.0,29.928305435476815,36.34792004647025,0.04970804050396745,0.0736698622673444,True,True,true_feasible,True,True,true_feasible
t15_soc0.75_c0.5,related_2rc_single,15.0,0.75,0.5,True,5.0,35.06026755078044,36.34792004647025,0.007796661574066239,0.011026144539277638,True,True,true_feasible,True,True,true_feasible
t15_soc0.75_c0.5,related_2rc_single,15.0,0.75,0.5,True,25.0,33.282147209281035,36.34792004647025,0.025000567159001164,0.03814072643547206,True,True,true_feasible,True,True,true_feasible
t15_soc0.75_c0.5,related_2rc_single,15.0,0.75,0.5,True,300.0,29.928305435476815,36.34792004647025,0.05226873478950206,0.0772675117903141,True,True,true_feasible,True,True,true_feasible
t15_soc0.75_c1,fixed_2rc_dual,15.0,0.75,1.0,True,5.0,35.87288986223513,36.919587446273994,0.03153203944424794,0.04459303783133883,True,True,true_feasible,True,True,true_feasible
