scenario_id,controller,step,failure_type,source,optimizer_success,prediction_feasible,slack_voltage_v,slack_temperature_c,slack_soc,slack_current_change_a,braking_distance_steps,braking_current_deficit_a,candidate_shifted_previous,candidate_projected_ann,candidate_conservative_slew_down,emergency_fallback
lhs_008,recovery_mpc,221,none,slsqp,True,True,0.0,3.97193389289896e-11,0.0,0.0,0,0.0,0,0,0,0
lhs_008,original_mpc,226,none,slsqp,True,True,0.0,7.43312966733356e-10,0.0,0.0,0,0.0,0,0,0,0
lhs_008,recovery_mpc,226,none,slsqp,True,True,0.0,7.43312966733356e-10,0.0,0.0,0,0.0,0,0,0,0
lhs_008,original_mpc,231,none,slsqp,True,True,0.0,1.77280412572145e-10,0.0,0.0,0,0.0,0,0,0,0
lhs_008,recovery_mpc,231,none,slsqp,True,True,0.0,1.77280412572145e-10,0.0,0.0,0,0.0,0,0,0,0
lhs_008,original_mpc,236,none,slsqp,True,True,0.0,1.9821897012661793e-08,0.0,0.0,0,0.0,0,0,0,0
lhs_008,recovery_mpc,236,none,slsqp,True,True,0.0,1.9821897012661793e-08,0.0,0.0,0,0.0,0,0,0,0
lhs_008,original_mpc,241,none,slsqp,True,True,0.0,2.2153230361254828e-09,0.0,0.0,0,0.0,0,0,0,0
lhs_008,recovery_mpc,241,none,slsqp,True,True,0.0,2.2153230361254828e-09,0.0,0.0,0,0.0,0,0,0,0
lhs_008,original_mpc,246,none,slsqp,True,True,0.0,1.5553062837625475e-08,0.0,0.0,0,0.0,0,0,0,0
lhs_008,recovery_mpc,246,none,slsqp,True,True,0.0,1.5553062837625475e-08,0.0,0.0,0,0.0,0,0,0,0
lhs_008,original_mpc,251,none,slsqp,True,True,0.0,7.803961921126756e-10,0.0,0.0,0,0.0,0,0,0,0
lhs_008,recovery_mpc,251,none,slsqp,True,True,0.0,7.803961921126756e-10,0.0,0.0,0,0.0,0,0,0,0
lhs_008,original_mpc,256,none,slsqp,True,True,0.0,8.925553629524074e-10,0.0,0.0,0,0.0,0,0,0,0
lhs_008,recovery_mpc,256,none,slsqp,True,True,0.0,8.925553629524074e-10,0.0,0.0,0,0.0,0,0,0,0
lhs_008,original_mpc,261,none,slsqp,True,True,3.136424453487052e-11,1.315444109195596e-08,0.0,0.0,0,0.0,0,0,0,0
lhs_008,recovery_mpc,261,none,slsqp,True,True,3.136424453487052e-11,1.315444109195596e-08,0.0,0.0,0,0.0,0,0,0,0
lhs_008,original_mpc,266,none,slsqp,True,True,2.205347016115411e-12,1.3198047099649557e-09,0.0,0.0,0,0.0,0,0,0,0
lhs_008,recovery_mpc,266,none,slsqp,True,True,2.205347016115411e-12,1.3198047099649557e-09,0.0,0.0,0,0.0,0,0,0,0
lhs_008,original_mpc,271,none,slsqp,True,True,2.934985587899064e-11,3.3856437653412286e-09,0.0,0.0,0,0.0,0,0,0,0
lhs_008,recovery_mpc,271,none,slsqp,True,True,2.934985587899064e-11,3.3856437653412286e-09,0.0,0.0,0,0.0,0,0,0,0
lhs_008,original_mpc,276,none,slsqp,True,True,1.2802203741557605e-11,1.1639400554486201e-10,0.0,0.0,0,0.0,0,0,0,0
lhs_008,recovery_mpc,276,none,slsqp,True,True,1.2802203741557605e-11,1.1639400554486201e-10,0.0,0.0,0,0.0,0,0,0,0
lhs_008,original_mpc,281,none,slsqp,True,True,9.141132295553689e-12,3.608562337831245e-10,0.0,0.0,0,0.0,0,0,0,0
lhs_008,recovery_mpc,281,none,slsqp,True,True,9.141132295553689e-12,3.608562337831245e-10,0.0,0.0,0,0.0,0,0,0,0
