audit_type,start_label,success,status_code,status_message,iterations,objective_value,first_current_a,minimum_constraint_margin,minimum_voltage_margin_v,minimum_slew_margin_a,maximum_predicted_voltage_v,terminal_predicted_soc,active_constraint_count,kkt_residual,stationarity_residual,primal_residual,complementarity_residual,function_evaluations,jacobian_evaluations,expanded_maximum_step_a
identical_repeat,repeat_15,False,8,Positive directional derivative for linesearch,37,1.5224490502591155,6.860435147157387,-1.0838532737977857e-08,-1.0838532737977857e-08,1.0969231030492672,4.200000010838533,0.7005904671683811,3,1.0838532737977857e-08,0.0,1.0838532737977857e-08,8.753972032366508e-09,358,33,0.9030768969507328
identical_repeat,repeat_16,False,8,Positive directional derivative for linesearch,37,1.5224490502591155,6.860435147157387,-1.0838532737977857e-08,-1.0838532737977857e-08,1.0969231030492672,4.200000010838533,0.7005904671683811,3,1.0838532737977857e-08,0.0,1.0838532737977857e-08,8.753972032366508e-09,358,33,0.9030768969507328
identical_repeat,repeat_17,False,8,Positive directional derivative for linesearch,37,1.5224490502591155,6.860435147157387,-1.0838532737977857e-08,-1.0838532737977857e-08,1.0969231030492672,4.200000010838533,0.7005904671683811,3,1.0838532737977857e-08,0.0,1.0838532737977857e-08,8.753972032366508e-09,358,33,0.9030768969507328
identical_repeat,repeat_18,False,8,Positive directional derivative for linesearch,37,1.5224490502591155,6.860435147157387,-1.0838532737977857e-08,-1.0838532737977857e-08,1.0969231030492672,4.200000010838533,0.7005904671683811,3,1.0838532737977857e-08,0.0,1.0838532737977857e-08,8.753972032366508e-09,358,33,0.9030768969507328
identical_repeat,repeat_19,False,8,Positive directional derivative for linesearch,37,1.5224490502591155,6.860435147157387,-1.0838532737977857e-08,-1.0838532737977857e-08,1.0969231030492672,4.200000010838533,0.7005904671683811,3,1.0838532737977857e-08,0.0,1.0838532737977857e-08,8.753972032366508e-09,358,33,0.9030768969507328
multistart,controller_default,False,8,Positive directional derivative for linesearch,37,1.5224490502591155,6.860435147157387,-1.0838532737977857e-08,-1.0838532737977857e-08,1.0969231030492672,4.200000010838533,0.7005904671683811,3,1.0838532737977857e-08,0.0,1.0838532737977857e-08,8.753972032366508e-09,358,33,0.9030768969507328
multistart,previous_current,True,0,Optimization terminated successfully,5,1.5224490591060689,6.86043514715697,1.865174681370263e-14,1.865174681370263e-14,1.0969231030488347,4.1999999999999815,0.7005904657604007,3,9.288687300226235e-11,0.0,0.0,9.288687300226235e-11,20,5,0.9030768969511653
multistart,zero,True,0,Optimization terminated successfully,12,1.5224490591910294,6.860435147157387,0.0,0.0,1.0969231030492592,4.2,0.7005904657468716,3,1.7793949609080249e-10,0.0,-0.0,1.7793949609080249e-10,58,12,0.9030768969507408
multistart,upper,True,0,Optimization terminated successfully,8,1.5224490591627615,6.86043514715738,-6.761613491335083e-11,-6.761613491335083e-11,1.0969230994098798,4.200000000067616,0.7005904657679414,3,2.042739840308943e-10,0.0,6.761613491335083e-11,2.042739840308943e-10,32,8,0.9030769005901202
multistart,midpoint,True,0,Optimization terminated successfully,7,1.5224490590131912,6.860435147156674,2.6645352591003757e-15,2.6645352591003757e-15,1.0969231030494608,4.1999999999999975,0.7005904657751845,3,5.888916546329592e-14,0.0,0.0,5.888916546329592e-14,28,7,0.9030768969505392
multistart,random_05,True,0,Optimization terminated successfully,6,1.5224490591911715,6.8604351471564575,3.9968028886505635e-14,3.9968028886505635e-14,1.096923103048912,4.19999999999996,0.7005904657468627,3,1.7793666175277935e-10,0.0,0.0,1.7793666175277935e-10,24,6,0.9030768969510881
multistart,random_06,True,0,Optimization terminated successfully,10,1.5224490590208297,6.860435147157387,0.0,0.0,1.0969231030492645,4.2,0.7005904657739588,3,7.738123015463472e-12,0.0,-0.0,7.738123015463472e-12,40,10,0.9030768969507355
multistart,random_07,True,0,Optimization terminated successfully,9,1.5224490591059476,6.860435147157387,0.0,0.0,1.0969231030486748,4.2,0.7005904657604141,3,9.283021855168677e-11,0.0,-0.0,9.283021855168677e-11,36,9,0.9030768969513252
multistart,random_08,True,0,Optimization terminated successfully,9,1.522449059105839,6.860435147157386,0.0,0.0,1.096923103049237,4.2,0.7005904657604296,3,9.274126695159403e-11,1.3877787807814457e-17,-0.0,9.274126695159403e-11,36,9,0.903076896950763
multistart,random_09,True,0,Optimization terminated successfully,10,1.5224490588506854,6.8604351471573874,-2.0108714693378715e-10,-2.0108714693378715e-10,1.0969231030492494,4.200000000201087,0.7005904658010371,3,2.0108714693378715e-10,0.0,2.0108714693378715e-10,1.6241235016169754e-10,40,10,0.9030768969507506
multistart,random_10,True,0,Optimization terminated successfully,8,1.5224490590130866,6.860435147157423,-4.440892098500626e-15,-4.440892098500626e-15,1.0969231030493027,4.200000000000005,0.7005904657751911,3,4.537027329549781e-15,1.3877787807814457e-17,4.440892098500626e-15,4.537027329549781e-15,32,8,0.9030768969506973
multistart,random_11,True,0,Optimization terminated successfully,10,1.5224490589357087,6.860435147157386,-9.581579973882981e-11,-9.581579973882981e-11,1.0969231030492406,4.200000000095816,0.7005904657875057,3,9.581579973882981e-11,0.0,9.581579973882981e-11,7.738768691087418e-11,40,10,0.9030768969507594
multistart,random_12,True,0,Optimization terminated successfully,3,1.5224490590155348,6.860435147146991,3.526068326209497e-13,3.526068326209497e-13,1.0969231030539337,4.199999999999648,0.7005904657749336,3,1.1556611064054172e-12,0.0,0.0,1.1556611064054172e-12,12,3,0.9030768969460663
multistart,random_13,True,0,Optimization terminated successfully,8,1.5224490590208437,6.860435147157383,0.0,0.0,1.0969231030492663,4.2,0.7005904657739566,3,7.743143221788248e-12,0.0,-0.0,7.743143221788248e-12,32,8,0.9030768969507337
multistart,random_14,True,0,Optimization terminated successfully,6,1.5224490588505504,6.860435147157968,-2.0115287213684496e-10,-2.0115287213684496e-10,1.0969231030485442,4.200000000201153,0.7005904658010504,3,2.0115287213684496e-10,0.0,2.0115287213684496e-10,1.624654058351083e-10,24,6,0.9030768969514558
