state_id,successful_feasible_count,feasible_count,fallback_count,optimizer_success_count,first_action_range_a,near_optimal_first_action_range_a,objective_range,near_optimal_solution_count,active_mode_count,status_count,near_optimal_multivalued,warm_start_sensitive
state_029,15,15,0,15,0.2732527836714782,0.2732527836714782,6.856694435120048e-05,15,1,1,True,True
state_030,15,15,0,15,0.1888602939445052,0.1888602939445052,7.796178352537098e-05,15,1,1,True,True
state_031,15,15,0,15,0.07695202551743652,0.07695202551743652,1.0161695406907256e-05,15,1,1,True,True
state_032,15,15,0,15,0.052504325768311766,0.052504325768311766,1.6010988981296492e-05,15,1,1,True,True
state_033,15,15,0,15,0.04153059016751026,0.04153059016751026,5.21382194396125e-06,15,1,1,False,False
state_034,15,15,0,15,0.03455769641221185,0.03455769641221185,6.292207987979026e-06,15,1,1,False,False
state_035,15,15,0,15,0.07970041624860613,0.07970041624860613,1.5267081298731e-05,15,1,1,True,True
state_036,15,15,0,15,0.36585233744587153,0.36585233744587153,9.431684690097697e-05,15,1,1,True,True
state_037,15,15,0,15,0.06707870698849838,0.06707870698849838,8.640887207977954e-06,15,1,1,True,True
state_038,15,15,0,15,0.06090826201666211,0.06090826201666211,6.114469428819547e-05,15,1,1,True,True
state_039,15,15,0,15,0.1286982960243428,0.1286982960243428,1.5268635847665024e-05,15,1,1,True,True
state_040,15,15,0,15,0.2478430917787886,0.2478430917787886,7.526162706694706e-05,15,1,1,True,True
state_041,15,15,0,15,0.22513697744929484,0.22513697744929484,5.571569746676275e-05,15,1,1,True,True
state_042,15,15,0,15,0.16813870511341822,0.16813870511341822,2.05167520559435e-05,15,1,1,True,True
state_043,15,15,0,15,0.10318458875331693,0.10318458875331693,1.4010285304566494e-05,15,1,1,True,True
state_044,15,15,0,15,0.10822687181676116,0.10822687181676116,7.769441884741823e-06,15,1,1,True,True
state_045,15,15,0,15,0.08739694449193447,0.08739694449193447,3.5294390141604737e-06,15,1,1,True,True
state_046,15,15,0,15,0.05668772529714339,0.05668772529714339,1.016271407605629e-05,15,1,1,True,True
state_047,15,15,0,15,0.2284180240741085,0.2284180240741085,3.543977083309002e-05,15,1,1,True,True
state_048,15,15,0,15,0.08070891220172172,0.08070891220172172,1.1615963415811947e-05,15,1,1,True,True
state_049,15,15,0,15,0.0819355329690028,0.0819355329690028,9.704701425805595e-06,15,1,1,True,True
state_050,15,15,0,15,0.09261690562031344,0.09261690562031344,5.976181963296412e-06,15,1,1,True,True
state_051,15,15,0,15,0.11664182620953945,0.11664182620953945,1.3774002348920789e-05,15,1,1,True,True
state_052,15,15,0,15,0.08574221229193313,0.08574221229193313,5.133273425217411e-06,15,1,1,True,True
state_053,15,15,0,15,0.1585670912111432,0.1585670912111432,1.2597250983681363e-05,15,1,1,True,True
state_054,15,15,0,15,0.26982018009501196,0.26982018009501196,5.81722701398224e-05,15,1,1,True,True
state_055,15,15,0,15,0.07653328829422712,0.07653328829422712,6.4795213052804e-06,15,1,1,True,True
state_056,15,15,0,15,0.05930060755127009,0.05930060755127009,3.711427201347206e-06,15,1,1,True,True
state_057,15,15,0,15,0.10146704617553937,0.10146704617553937,2.5992773284522208e-05,15,1,1,True,True
state_058,15,15,0,15,0.09487363675131366,0.09487363675131366,4.617741940826647e-06,15,1,1,True,True
