mode_group,sample_count,neighbor_count,feature_set,features,auditable,feature_count,effective_variable_feature_count,mean_conditional_variance_a2,median_conditional_variance_a2,p95_conditional_variance_a2,mean_local_standard_deviation_a,p95_local_standard_deviation_a,nearest_neighbor_label_difference_mean_a,nearest_neighbor_label_difference_p95_a,knn_leave_one_out_rmse_a,knn_leave_one_out_nrmse_percent_of_10a,mean_neighbor_distance,locally_sufficient
interior,0,50,five_state,"state_soc,state_polarization_fast_v,state_polarization_slow_v,state_average_temperature_c,state_previous_current_a",False,,,,,,,,,,,,,
interior,0,50,five_state_plus_summary,"state_soc,state_polarization_fast_v,state_polarization_slow_v,state_average_temperature_c,state_previous_current_a,previous_plan_first_a,previous_plan_mean_a,previous_plan_last_a,previous_plan_range_a,previous_plan_available",False,,,,,,,,,,,,,
interior,0,50,five_state_plus_full_previous_sequence,"state_soc,state_polarization_fast_v,state_polarization_slow_v,state_average_temperature_c,state_previous_current_a,previous_plan_block_00_a,previous_plan_block_01_a,previous_plan_block_02_a,previous_plan_block_03_a,previous_plan_block_04_a,previous_plan_block_05_a,previous_plan_block_06_a,previous_plan_block_07_a,previous_plan_block_08_a,previous_plan_block_09_a,previous_plan_block_10_a,previous_plan_block_11_a,previous_plan_available",False,,,,,,,,,,,,,
voltage,288,5,five_state,"state_soc,state_polarization_fast_v,state_polarization_slow_v,state_average_temperature_c,state_previous_current_a",True,5.0,5.0,0.08875326081011899,0.04185075988127436,0.37523988442207135,0.23900067354485977,0.6124957387969221,0.12245724507535982,0.2794837958901315,0.27352949131526744,2.7352949131526745,0.49835353440561203,True
voltage,288,5,five_state_plus_summary,"state_soc,state_polarization_fast_v,state_polarization_slow_v,state_average_temperature_c,state_previous_current_a,previous_plan_first_a,previous_plan_mean_a,previous_plan_last_a,previous_plan_range_a,previous_plan_available",True,10.0,10.0,0.18424669136951655,0.03737658220519956,1.3116849829799937,0.27845968193420634,1.1452862413009255,0.21607235028784763,1.0602485367970889,0.36768031215315294,3.6768031215315293,0.7402470103121649,False
voltage,288,5,five_state_plus_full_previous_sequence,"state_soc,state_polarization_fast_v,state_polarization_slow_v,state_average_temperature_c,state_previous_current_a,previous_plan_block_00_a,previous_plan_block_01_a,previous_plan_block_02_a,previous_plan_block_03_a,previous_plan_block_04_a,previous_plan_block_05_a,previous_plan_block_06_a,previous_plan_block_07_a,previous_plan_block_08_a,previous_plan_block_09_a,previous_plan_block_10_a,previous_plan_block_11_a,previous_plan_available",True,18.0,18.0,0.12947714853537817,0.03490731025451921,0.8906305435688466,0.24955127975057284,0.9437075769368896,0.19631518236223713,1.0285593207209451,0.3507058619914638,3.507058619914638,0.8347962540705668,False
voltage,288,10,five_state,"state_soc,state_polarization_fast_v,state_polarization_slow_v,state_average_temperature_c,state_previous_current_a",True,5.0,5.0,0.19738969233291664,0.14101517213461154,0.5720237903247151,0.4045446502281692,0.7563138200489379,0.12245724507535982,0.2794837958901315,0.3478715530420035,3.4787155304200352,0.7537000018014952,False
voltage,288,10,five_state_plus_summary,"state_soc,state_polarization_fast_v,state_polarization_slow_v,state_average_temperature_c,state_previous_current_a,previous_plan_first_a,previous_plan_mean_a,previous_plan_last_a,previous_plan_range_a,previous_plan_available",True,10.0,10.0,0.2511702258470392,0.10518283777935536,1.466316789652027,0.4016541681624008,1.2109047052979893,0.21607235028784763,1.0602485367970889,0.3944657509966137,3.9446575099661367,1.0735309206011618,False
voltage,288,10,five_state_plus_full_previous_sequence,"state_soc,state_polarization_fast_v,state_polarization_slow_v,state_average_temperature_c,state_previous_current_a,previous_plan_block_00_a,previous_plan_block_01_a,previous_plan_block_02_a,previous_plan_block_03_a,previous_plan_block_04_a,previous_plan_block_05_a,previous_plan_block_06_a,previous_plan_block_07_a,previous_plan_block_08_a,previous_plan_block_09_a,previous_plan_block_10_a,previous_plan_block_11_a,previous_plan_available",True,18.0,18.0,0.1845734600963561,0.08344191501507177,0.9249340452825663,0.353587886790252,0.9588476523109495,0.19631518236223713,1.0285593207209451,0.3567400745713735,3.5674007457137353,1.2415592412168257,False
voltage,288,25,five_state,"state_soc,state_polarization_fast_v,state_polarization_slow_v,state_average_temperature_c,state_previous_current_a",True,5.0,5.0,0.40915821505608724,0.3582072504996252,0.8112045114165835,0.6207873235800545,0.9006688261501022,0.12245724507535982,0.2794837958901315,0.4834469212016002,4.834469212016002,1.1447831833360902,False
voltage,288,25,five_state_plus_summary,"state_soc,state_polarization_fast_v,state_polarization_slow_v,state_average_temperature_c,state_previous_current_a,previous_plan_first_a,previous_plan_mean_a,previous_plan_last_a,previous_plan_range_a,previous_plan_available",True,10.0,10.0,0.33159877040326974,0.234615440157994,0.9998403502069372,0.5412770851818731,0.9997696564380483,0.21607235028784763,1.0602485367970889,0.4277089380549994,4.277089380549993,1.5659082246287366,False
voltage,288,25,five_state_plus_full_previous_sequence,"state_soc,state_polarization_fast_v,state_polarization_slow_v,state_average_temperature_c,state_previous_current_a,previous_plan_block_00_a,previous_plan_block_01_a,previous_plan_block_02_a,previous_plan_block_03_a,previous_plan_block_04_a,previous_plan_block_05_a,previous_plan_block_06_a,previous_plan_block_07_a,previous_plan_block_08_a,previous_plan_block_09_a,previous_plan_block_10_a,previous_plan_block_11_a,previous_plan_available",True,18.0,18.0,0.24284323986809989,0.1792216897681076,0.6761845145703604,0.46404194116784697,0.8222397284010149,0.19631518236223713,1.0285593207209451,0.43765964796500056,4.376596479650006,1.790354130665222,False
voltage,288,50,five_state,"state_soc,state_polarization_fast_v,state_polarization_slow_v,state_average_temperature_c,state_previous_current_a",True,5.0,5.0,0.6211311295278998,0.5860903797766377,1.022098889959716,0.7779896426406112,1.0109695574821993,0.12245724507535982,0.2794837958901315,0.5889216340082152,5.889216340082152,1.4720192909371193,False
voltage,288,50,five_state_plus_summary,"state_soc,state_polarization_fast_v,state_polarization_slow_v,state_average_temperature_c,state_previous_current_a,previous_plan_first_a,previous_plan_mean_a,previous_plan_last_a,previous_plan_range_a,previous_plan_available",True,10.0,10.0,0.4216272878934853,0.3650015781361044,0.7860639483601504,0.6387686512608441,0.8865770487827273,0.21607235028784763,1.0602485367970889,0.49501221681625535,4.950122168162554,1.9537783002143851,False
voltage,288,50,five_state_plus_full_previous_sequence,"state_soc,state_polarization_fast_v,state_polarization_slow_v,state_average_temperature_c,state_previous_current_a,previous_plan_block_00_a,previous_plan_block_01_a,previous_plan_block_02_a,previous_plan_block_03_a,previous_plan_block_04_a,previous_plan_block_05_a,previous_plan_block_06_a,previous_plan_block_07_a,previous_plan_block_08_a,previous_plan_block_09_a,previous_plan_block_10_a,previous_plan_block_11_a,previous_plan_available",True,18.0,18.0,0.33137777912672717,0.29016880983632776,0.5995728381955118,0.5643105873516585,0.7743208711967339,0.19631518236223713,1.0285593207209451,0.5062205731769894,5.062205731769894,2.2221166881705563,False
temperature,1144,5,five_state,"state_soc,state_polarization_fast_v,state_polarization_slow_v,state_average_temperature_c,state_previous_current_a",True,5.0,5.0,0.04738164139909484,0.02512142303029727,0.16695135178623943,0.184204413555056,0.40859663994651435,0.13952717482813776,0.42812725655955075,0.19275474550455826,1.9275474550455827,0.5122452357953007,True
temperature,1144,5,five_state_plus_summary,"state_soc,state_polarization_fast_v,state_polarization_slow_v,state_average_temperature_c,state_previous_current_a,previous_plan_first_a,previous_plan_mean_a,previous_plan_last_a,previous_plan_range_a,previous_plan_available",True,10.0,10.0,0.06735100556679184,0.019856026506041263,0.33711420684611115,0.18841788609918136,0.580605139950415,0.17247092887330537,0.5547427314155673,0.2153667567377831,2.153667567377831,0.6844572845392228,False
temperature,1144,5,five_state_plus_full_previous_sequence,"state_soc,state_polarization_fast_v,state_polarization_slow_v,state_average_temperature_c,state_previous_current_a,previous_plan_block_00_a,previous_plan_block_01_a,previous_plan_block_02_a,previous_plan_block_03_a,previous_plan_block_04_a,previous_plan_block_05_a,previous_plan_block_06_a,previous_plan_block_07_a,previous_plan_block_08_a,previous_plan_block_09_a,previous_plan_block_10_a,previous_plan_block_11_a,previous_plan_available",True,18.0,18.0,0.06013342617590394,0.018022229697451073,0.2600772732122878,0.1741895116172324,0.5098074576896339,0.15364309020219014,0.36512754622967414,0.20343352128104333,2.0343352128104333,0.770856218944529,True
temperature,1144,10,five_state,"state_soc,state_polarization_fast_v,state_polarization_slow_v,state_average_temperature_c,state_previous_current_a",True,5.0,5.0,0.06645023160809164,0.0443384580655046,0.20724901449452154,0.23342501272202223,0.45524524884298023,0.13952717482813776,0.42812725655955075,0.20461338369338966,2.0461338369338966,0.659680048328929,True
temperature,1144,10,five_state_plus_summary,"state_soc,state_polarization_fast_v,state_polarization_slow_v,state_average_temperature_c,state_previous_current_a,previous_plan_first_a,previous_plan_mean_a,previous_plan_last_a,previous_plan_range_a,previous_plan_available",True,10.0,10.0,0.07994687894860716,0.03332465156643029,0.41199520694983455,0.2256330816612408,0.641836678436738,0.17247092887330537,0.5547427314155673,0.22522805722668882,2.252280572266888,0.8627403057842377,False
