initial_state_id,sampling_method,state_soc,state_polarization_fast_v,state_polarization_slow_v,state_average_temperature_c,state_previous_current_a,coverage_distance_standardized,assigned_split,teacher_optimizer_success,teacher_prediction_feasible,teacher_accepted,teacher_status,teacher_objective,teacher_solve_time_s,teacher_minimum_constraint_margin
phase6c_targeted_0049,targeted_boundary_sampling,0.1297,0.02671875,0.07777777777777777,25.032,0.7288629737609329,,phase6c_train,True,True,True,Optimization terminated successfully,6.7795424311711,1.3414425999981177,-1.9414869711908977e-10
phase6c_targeted_0050,targeted_boundary_sampling,0.13030000000000003,0.07171875,0.027777777777777776,25.432,1.443148688046647,,phase6c_train,True,True,True,Optimization terminated successfully,6.708127064990525,1.8539597999988473,-2.5503510414637276e-10
phase6c_targeted_0051,targeted_boundary_sampling,0.13090000000000002,0.01546875,0.057777777777777775,25.832,2.1574344023323615,,phase6c_validation,True,True,True,Optimization terminated successfully,6.7608650818055995,0.9881400000012945,-1.4424728078665794e-10
phase6c_targeted_0052,targeted_boundary_sampling,0.1315,0.060468749999999995,0.08777777777777776,26.232,2.8717201166180755,,phase6c_train,True,True,True,Optimization terminated successfully,6.839593132658292,0.9870214999973541,-4.162217237535515e-10
phase6c_targeted_0053,targeted_boundary_sampling,0.1321,0.037968749999999996,0.0022222222222222222,26.632,3.5860058309037894,,phase6c_validation,True,True,True,Optimization terminated successfully,6.700898249722915,1.036799900000915,-5.7144987408719317e-08
phase6c_targeted_0054,targeted_boundary_sampling,0.1327,0.08296875,0.03222222222222222,25.112,4.300291545189504,,phase6c_train,True,True,True,Optimization terminated successfully,6.571992360967659,1.1829201000000467,-8.682121688252664e-11
phase6c_targeted_0055,targeted_boundary_sampling,0.1333,0.00984375,0.062222222222222213,25.512,0.11661807580174927,,phase6c_train,True,True,True,Optimization terminated successfully,6.745987500058608,1.7220248999983596,-4.340350301390572e-10
phase6c_targeted_0056,targeted_boundary_sampling,0.13390000000000002,0.05484375,0.012222222222222221,25.912,0.8309037900874634,,phase6c_train,True,True,True,Optimization terminated successfully,6.670746763246223,1.656663399997342,-1.7763568394002505e-15
phase6c_targeted_0057,targeted_boundary_sampling,0.1345,0.03234375,0.04222222222222222,26.312,1.5451895043731778,,phase6c_validation,True,True,True,Optimization terminated successfully,6.72259482240707,1.4829024999999092,-6.377263161994051e-10
phase6c_targeted_0058,targeted_boundary_sampling,0.1351,0.07734375,0.07222222222222222,26.712,2.259475218658892,,phase6c_train,True,True,True,Optimization terminated successfully,6.796137488493803,1.480766799999401,-1.837747731769923e-10
phase6c_targeted_0059,targeted_boundary_sampling,0.13570000000000002,0.021093749999999998,0.02222222222222222,25.192,2.9737609329446064,,phase6c_train,True,True,True,Optimization terminated successfully,6.502178958086311,1.5772265999985393,-2.8066438062523957e-10
phase6c_targeted_0060,targeted_boundary_sampling,0.1363,0.06609374999999999,0.052222222222222225,25.592,3.6880466472303204,,phase6c_train,True,True,True,Optimization terminated successfully,6.582955631622689,1.8215947999997297,-3.0160407504808973e-10
phase6c_targeted_0061,targeted_boundary_sampling,0.13690000000000002,0.04359375,0.08222222222222221,25.992,4.402332361516034,,phase6c_train,True,True,True,Optimization terminated successfully,6.659624293645798,1.1486112999991747,-4.792195795744192e-08
phase6c_targeted_0062,targeted_boundary_sampling,0.1375,0.08859375,0.005555555555555555,26.392,0.21865889212827988,,phase6c_train,True,True,True,Optimization terminated successfully,6.657849353791468,1.2565798000032373,-4.192983737993927e-10
phase6c_targeted_0063,targeted_boundary_sampling,0.1381,0.000703125,0.035555555555555556,26.792,0.932944606413994,,phase6c_validation,True,True,True,Optimization terminated successfully,6.697858937410591,1.6316144999982498,-3.205613552381692e-10
phase6c_targeted_0064,targeted_boundary_sampling,0.13870000000000002,0.045703125,0.06555555555555556,25.272,1.6472303206997083,,phase6c_train,True,True,True,Optimization terminated successfully,6.551056904786309,1.887780599998223,-1.312230324401753e-10
phase6c_targeted_0065,targeted_boundary_sampling,0.1393,0.023203124999999998,0.015555555555555553,25.672,2.3615160349854225,,phase6c_train,True,True,True,Optimization terminated successfully,6.474289653861621,1.5043238999969617,-3.2534330784983467e-10
phase6c_targeted_0066,targeted_boundary_sampling,0.13990000000000002,0.068203125,0.04555555555555556,26.072,3.075801749271137,,phase6c_train,True,True,True,Optimization terminated successfully,6.550767877630469,1.4151884999992035,-9.913165399666468e-08
phase6c_targeted_0067,targeted_boundary_sampling,0.1405,0.011953125,0.07555555555555554,26.472,3.790087463556851,,phase6c_train,True,True,True,Optimization terminated successfully,6.618220531706272,1.2434296999999788,-3.086675803842809e-09
phase6c_targeted_0068,targeted_boundary_sampling,0.1411,0.056953125,0.025555555555555554,26.872,4.504373177842566,,phase6c_train,True,True,True,Optimization terminated successfully,6.561926398892599,1.2379029000003356,-6.594741108756352e-08
phase6c_targeted_0069,targeted_boundary_sampling,0.14170000000000002,0.034453125,0.05555555555555555,25.352,0.3206997084548105,,phase6c_validation,True,True,True,Optimization terminated successfully,6.519950244196554,1.4843494000015198,-3.6926905977452407e-11
phase6c_targeted_0070,targeted_boundary_sampling,0.1423,0.079453125,0.08555555555555554,25.752,1.0349854227405246,,phase6c_train,True,True,True,Optimization terminated successfully,6.572543141594195,2.129090599999472,-2.8016629016747174e-09
phase6c_targeted_0071,targeted_boundary_sampling,0.1429,0.0063281249999999995,0.008888888888888889,26.152,1.749271137026239,,phase6c_train,True,True,True,Optimization terminated successfully,6.447813857296097,1.0650272000020777,-6.560355814144714e-09
phase6c_targeted_0072,targeted_boundary_sampling,0.14350000000000002,0.051328124999999995,0.03888888888888888,26.552,2.463556851311953,,phase6c_train,True,True,True,Optimization terminated successfully,6.518432577952696,1.1280664000005345,-3.291233952040784e-11
phase6c_targeted_0073,targeted_boundary_sampling,0.1441,0.028828125,0.06888888888888889,26.952,3.1778425655976674,,phase6c_train,True,True,True,Optimization terminated successfully,6.589745721446191,1.2443284000000858,-3.851354790640471e-10
phase6c_targeted_0074,targeted_boundary_sampling,0.1447,0.073828125,0.018888888888888886,25.048,3.892128279883381,,phase6c_train,True,True,True,Optimization terminated successfully,6.272358946145249,1.39077620000171,-2.5843888806775794e-08
phase6c_targeted_0075,targeted_boundary_sampling,0.1453,0.017578125,0.048888888888888885,25.448,4.606413994169095,,phase6c_train,True,True,True,Optimization terminated successfully,6.338314856284925,1.0785485000014887,-6.28077145847783e-10
phase6c_targeted_0076,targeted_boundary_sampling,0.1459,0.062578125,0.07888888888888888,25.848,0.42274052478134105,,phase6c_train,True,True,True,Optimization terminated successfully,6.508442955461192,1.6126046999997925,-6.931344387339777e-11
phase6c_targeted_0077,targeted_boundary_sampling,0.14650000000000002,0.040078125,0.028888888888888888,26.248,1.1370262390670551,,phase6c_train,True,True,True,Optimization terminated successfully,6.433130621269684,1.625781000002462,-1.6630252730465145e-10
phase6c_targeted_0078,targeted_boundary_sampling,0.1471,0.08507812499999999,0.058888888888888886,26.648,1.8513119533527695,,phase6c_validation,True,True,True,Optimization terminated successfully,6.498678828255463,1.4797254000004614,-1.7261925222555874e-10
phase6c_targeted_0079,targeted_boundary_sampling,0.1477,0.0035156249999999997,0.08888888888888888,25.128,2.565597667638484,,phase6c_train,True,True,True,Optimization terminated successfully,6.3442653644525455,1.4496872999989137,-3.2175506703424617e-10
phase6c_targeted_0080,targeted_boundary_sampling,0.14830000000000002,0.048515625,0.0003703703703703703,25.528,3.279883381924198,,phase6c_train,True,True,True,Optimization terminated successfully,6.21461662411612,1.2457929000011063,-6.018794351803081e-10
phase6c_targeted_0081,targeted_boundary_sampling,0.1489,0.026015625,0.030370370370370367,25.928,3.994169096209912,,phase6c_train,True,True,True,Optimization terminated successfully,6.284158451045807,1.1512846999976318,-3.9605652091267984e-10
phase6c_targeted_0082,targeted_boundary_sampling,0.14950000000000002,0.071015625,0.060370370370370366,26.328,4.708454810495627,,phase6c_train,True,True,True,Optimization terminated successfully,6.375613886810788,0.8490469999997003,-6.291855925155687e-10
phase6c_targeted_0083,targeted_boundary_sampling,0.1501,0.014765625,0.010370370370370368,26.728,0.5247813411078717,,phase6c_validation,True,True,True,Optimization terminated successfully,6.394298180616337,0.9463746000001265,-6.948512520921213e-08
phase6c_targeted_0084,targeted_boundary_sampling,0.1507,0.059765624999999996,0.04037037037037036,25.208,1.2390670553935859,,phase6c_train,True,True,True,Optimization terminated successfully,6.247805782840342,1.5590368999983184,-4.944595843880961e-10
phase6c_targeted_0085,targeted_boundary_sampling,0.15130000000000002,0.037265625,0.07037037037037036,25.608,1.9533527696793,,phase6c_train,True,True,True,Optimization terminated successfully,6.300805762133141,1.5814175000014075,-2.8899194148834795e-10
phase6c_targeted_0086,targeted_boundary_sampling,0.1519,0.082265625,0.02037037037037037,26.008,2.667638483965014,,phase6c_train,True,True,True,Optimization terminated successfully,6.23781815184854,1.6587577999998757,-5.276490355754504e-11
phase6c_targeted_0087,targeted_boundary_sampling,0.15250000000000002,0.009140625,0.05037037037037037,26.408,3.3819241982507284,,phase6c_train,True,True,True,Optimization terminated successfully,6.297658921465036,1.5041983000010077,-5.181775009077683e-10
phase6c_targeted_0088,targeted_boundary_sampling,0.1531,0.054140625,0.08037037037037036,26.808,4.096209912536443,,phase6c_validation,True,True,True,Optimization terminated successfully,6.386593430080651,1.4364763000012317,-1.6972663274827937e-09
phase6c_targeted_0089,targeted_boundary_sampling,0.1537,0.031640625,0.0037037037037037034,25.288,4.810495626822157,,phase6c_train,True,True,True,Optimization terminated successfully,6.051876471562082,1.8516256999973848,-4.964633149029396e-10
phase6c_targeted_0090,targeted_boundary_sampling,0.15430000000000002,0.076640625,0.0337037037037037,25.688,0.6268221574344023,,phase6c_train,True,True,True,Optimization terminated successfully,6.229188130163926,1.3780051000030653,-2.964635825719597e-08
phase6c_targeted_0091,targeted_boundary_sampling,0.1549,0.020390625,0.0637037037037037,26.088,1.3411078717201164,,phase6c_train,True,True,True,Optimization terminated successfully,6.274083452288681,1.5026300999998057,-1.5223378113660146e-10
phase6c_targeted_0092,targeted_boundary_sampling,0.15550000000000003,0.065390625,0.013703703703703704,26.488,2.055393586005831,,phase6c_train,True,True,True,Optimization terminated successfully,6.209060668962026,1.0778301000027568,-3.652189661806915e-10
phase6c_targeted_0093,targeted_boundary_sampling,0.15610000000000002,0.042890625,0.043703703703703696,26.888,2.769679300291545,,phase6c_train,True,True,True,Optimization terminated successfully,6.274460364295469,1.1408296000008704,-5.517882328831547e-08
phase6c_targeted_0094,targeted_boundary_sampling,0.1567,0.087890625,0.07370370370370369,25.368,3.4839650145772594,,phase6c_train,True,True,True,Optimization terminated successfully,6.144220489864506,1.5168388000020059,-6.483610093255265e-09
