trajectory_id,sampling_method,coverage_distance_standardized,step_index,state_soc,state_polarization_fast_v,state_polarization_slow_v,state_average_temperature_c,state_previous_current_a,teacher_current_a,teacher_accepted,active_voltage_constraint,active_temperature_constraint,active_current_upper_constraint,active_current_change_constraint,next_soc,next_voltage_v,next_average_temperature_c,split
phase6c_targeted_0077,targeted_boundary_sampling,,1,0.14737139617751865,0.03719007298377738,0.029540619336844827,26.272564581435425,3.13702623906706,3.13702623906706,True,False,False,False,False,0.1482427923550373,3.5328081044046034,26.296517096059056,phase6c_train
phase6c_targeted_0077,targeted_boundary_sampling,,2,0.1482427923550373,0.03502896811076752,0.030171054080690922,26.296517096059056,3.13702623906706,3.13702623906706,True,False,False,False,False,0.14911418853255592,3.5334955937043455,26.320009676722343,phase6c_train
phase6c_targeted_0077,targeted_boundary_sampling,,3,0.14911418853255592,0.03341183163056815,0.03078088897101227,26.320009676722343,3.13702623906706,3.13702623906706,True,False,False,False,False,0.14998558471007456,3.5345620500878585,26.343155229172496,phase6c_train
phase6c_targeted_0077,targeted_boundary_sampling,,4,0.14998558471007456,0.03220174209338182,0.0313707971210365,26.343155229172496,3.13702623906706,3.13702623906706,True,False,False,False,False,0.1508569808875932,3.535905607353523,26.36603718613344,phase6c_train
phase6c_targeted_0077,targeted_boundary_sampling,,5,0.1508569808875932,0.03129624233752492,0.0319414296495913,26.36603718613344,3.13702623906706,5.137026239067054,True,False,False,False,True,0.1522839326206674,3.5868002085023445,26.426745810168594,phase6c_train
phase6c_targeted_0077,targeted_boundary_sampling,,6,0.1522839326206674,0.035208968094964196,0.033510744927508156,26.426745810168594,5.137026239067054,5.137026239067054,True,False,False,False,False,0.15371088435374158,3.593954258671316,26.489029108106383,phase6c_train
phase6c_targeted_0077,targeted_boundary_sampling,,7,0.15371088435374158,0.03813682765346787,0.035028781837323004,26.489029108106383,5.137026239067054,5.137026239067054,True,False,False,False,False,0.15513783608681578,3.600299024947785,26.552516404015567,phase6c_train
phase6c_targeted_0078,targeted_boundary_sampling,,0,0.1471,0.08507812499999999,0.058888888888888886,26.648,1.8513119533527695,3.8513119533527687,True,False,False,False,True,0.14816980887593134,3.6141355915137856,26.702648503938622,phase6c_validation
phase6c_targeted_0078,targeted_boundary_sampling,,1,0.14816980887593134,0.0725025861343642,0.05892368200174898,26.702648503938622,3.8513119533527687,3.8513119533527687,True,False,False,False,False,0.14923961775186267,3.606839463358199,26.75369769436685,phase6c_validation
phase6c_targeted_0078,targeted_boundary_sampling,,2,0.14923961775186267,0.0630924168678161,0.05895733822766624,26.75369769436685,3.8513119533527687,3.8513119533527687,True,False,False,False,False,0.150309426627794,3.601898553015352,26.801990441012897,phase6c_validation
phase6c_targeted_0078,targeted_boundary_sampling,,3,0.150309426627794,0.056050866873718935,0.05898989471513973,26.801990441012897,3.8513119533527687,3.8513119533527687,True,False,False,False,False,0.15137923550372534,3.598716583576576,26.848158065314394,phase6c_validation
phase6c_targeted_0078,targeted_boundary_sampling,,4,0.15137923550372534,0.05078173462807143,0.05902138739881786,26.848158065314394,3.8513119533527687,3.8513119533527687,True,False,False,False,False,0.15244904437965667,3.596847345930147,26.89267330981904,phase6c_validation
phase6c_targeted_0078,targeted_boundary_sampling,,5,0.15244904437965667,0.04683888757800485,0.05905185103916168,26.89267330981904,3.8513119533527687,5.851311953352762,True,False,False,False,True,0.15407440881114357,3.6452959433828864,26.9851210923024,phase6c_validation
phase6c_targeted_0078,targeted_boundary_sampling,,6,0.15407440881114357,0.04847879206987525,0.06009864778853506,26.9851210923024,5.851311953352762,5.851311953352762,True,False,False,False,False,0.15569977324263046,3.6505860445822393,27.078086625504415,phase6c_validation
phase6c_targeted_0078,targeted_boundary_sampling,,7,0.15569977324263046,0.04970591871743723,0.06111123979282139,27.078086625504415,5.851311953352762,5.851311953352762,True,False,False,False,False,0.15732513767411735,3.655504233014673,27.17138871509564,phase6c_validation
phase6c_targeted_0079,targeted_boundary_sampling,,0,0.1477,0.0035156249999999997,0.08888888888888888,25.128,2.565597667638484,4.5655976676384835,True,False,False,False,True,0.14896822157434403,3.600922855237763,25.19549876261459,phase6c_train
phase6c_targeted_0079,targeted_boundary_sampling,,1,0.14896822157434403,0.013109452034161832,0.08830674466665313,25.19549876261459,4.5655976676384835,4.5655976676384835,True,False,False,False,False,0.15023644314868806,3.609992707765526,25.26531221455731,phase6c_train
phase6c_targeted_0079,targeted_boundary_sampling,,2,0.15023644314868806,0.02028843158088709,0.08774362237464155,25.26531221455731,4.5655976676384835,4.5655976676384835,True,False,False,False,False,0.1515046647230321,3.617256517011329,25.336689816753253,phase6c_train
