time_s,charge_current_a,ann_unclipped_current_a,ann_requested_current_a,safety_filter_intervened,safety_override,target_current_cap_active,ann_inference_time_s,soc,terminal_voltage_v,average_temperature_c,source
2360.0,2.8070063205212903,2.8070063205212903,2.8070063205212903,False,False,False,3.71e-05,0.665547714141329,4.052441735627028,33.106565197474524,reduced_model
2365.0,2.765975281090193,2.765975281090193,2.765975281090193,False,False,False,3.71e-05,0.6663160406082984,4.051639512107909,33.08444727332659,reduced_model
2370.0,2.727158849382554,2.727158849382554,2.727158849382554,False,False,False,4.1200000000000005e-05,0.667073584733127,4.050876601936604,33.061716210855344,reduced_model
2375.0,2.690629612547392,2.690629612547392,2.690629612547392,False,False,False,3.71e-05,0.6678209818477234,4.0501588091729195,33.03842106909014,reduced_model
2380.0,2.6563995833971594,2.6563995833971594,2.6563995833971594,False,False,False,3.68e-05,0.6685588706208893,4.049490094712855,33.01461015786964,reduced_model
2385.0,2.6244330675139675,2.6244330675139675,2.6244330675139675,False,False,False,3.68e-05,0.6692878798063098,4.048872832927493,32.990330251115,reduced_model
2390.0,2.594659238070374,2.594659238070374,2.594659238070374,False,False,False,3.68e-05,0.6700086184835515,4.048308097000866,32.96562603944296,reduced_model
2395.0,2.5669833411314142,2.5669833411314142,2.5669833411314142,False,False,False,3.66e-05,0.6707216694116436,4.047795939465113,32.94053978743033,reduced_model
2400.0,2.541295999264842,2.541295999264842,2.541295999264842,False,False,False,3.69e-05,0.671427584966995,4.047335646740318,32.91511115496639,reduced_model
2405.0,2.5174804963262307,2.5174804963262307,2.5174804963262307,False,False,False,3.85e-05,0.6721268851048634,4.046925957049644,32.88937714293323,reduced_model
2410.0,2.495418189889042,2.495418189889042,2.495418189889042,False,False,False,3.7000000000000005e-05,0.672820056824277,4.046565238789893,32.86337212809992,reduced_model
2415.0,2.474992330697682,2.474992330697682,2.474992330697682,False,False,False,3.6700000000000004e-05,0.6735075546939153,4.046251631283771,32.83712795837631,reduced_model
2420.0,2.4560906082490046,2.4560906082490046,2.4560906082490046,False,False,False,4.13e-05,0.6741898020850956,4.045983152376254,32.810674085977105,reduced_model
2425.0,2.4386067254030914,2.4386067254030914,2.4386067254030914,False,False,False,3.76e-05,0.674867192842152,4.04575777827129,32.7840377217918,reduced_model
2430.0,2.4224412617342432,2.4224412617342432,2.4224412617342432,False,False,False,3.7300000000000005e-05,0.6755400931926338,4.045573500968872,32.75724399901032,reduced_model
2435.0,2.4075020341229547,2.4075020341229547,2.4075020341229547,False,False,False,3.69e-05,0.6762088437576679,4.045428368125748,32.730316137778885,reduced_model
2440.0,2.3937041144103164,2.3937041144103164,2.3937041144103164,False,False,False,3.69e-05,0.6768737615672263,4.045320509430863,32.703275605461634,reduced_model
2445.0,2.3809696224855537,2.3809696224855537,2.3809696224855537,False,False,False,3.69e-05,0.6775351420179168,4.0452481528346045,32.676142269126196,reduced_model
2450.0,2.369227380152714,2.369227380152714,2.369227380152714,False,False,False,3.72e-05,0.6781932607346258,4.045209633286191,32.64893453832093,reduced_model
2455.0,2.3584124859390885,2.3584124859390885,2.3584124859390885,False,False,False,3.68e-05,0.6788483753140534,4.045203396049568,32.62166949721616,reduced_model
2460.0,2.3484658523736166,2.3484658523736166,2.3484658523736166,False,False,False,3.69e-05,0.6795007269397128,4.0452279961894515,32.59436302586057,reduced_model
