time_s,charge_current_a,ann_unclipped_current_a,ann_requested_current_a,safety_filter_intervened,safety_override,target_current_cap_active,ann_inference_time_s,soc,terminal_voltage_v,average_temperature_c,source
965.0,3.925621799224369,3.926092539133224,3.926092539133224,True,False,False,9.67e-05,0.35924140067661237,3.8085543593397553,33.49970135690194,chen2020_dfn
970.0,3.9276157520523736,3.9277848187558084,3.9277848187558084,True,False,False,0.0001112,0.36033240505218245,3.809570480468011,33.49966628723229,chen2020_dfn
975.0,3.929480807506404,3.929480807506404,3.929480807506404,False,False,False,9.240000000000001e-05,0.3614239274987121,3.8105955219741547,33.49963175193324,chen2020_dfn
980.0,3.931182294953596,3.931182294953596,3.931182294953596,False,False,False,9.44e-05,0.3625159225806437,3.811626705443329,33.49959699887938,chen2020_dfn
985.0,3.9328187754949706,3.9328187754949706,3.9328187754949706,False,False,False,0.00011,0.36360837224050335,3.8126644417499147,33.49956295989182,chen2020_dfn
990.0,3.9344588715411892,3.9344588715411892,3.9344588715411892,False,False,False,9.5e-05,0.3647012774825982,3.8137090807671195,33.499531715603666,chen2020_dfn
995.0,3.9361510578684897,3.9361510578684897,3.9361510578684897,False,False,False,9.230000000000001e-05,0.3657946527764506,3.8147609213721068,33.49950613780857,chen2020_dfn
1000.0,3.9373641858610195,3.9379301104960636,3.9379301104960636,True,False,False,9.31e-05,0.36688836505030087,3.8158080047937832,33.4994772256332,chen2020_dfn
1005.0,3.938648717671388,3.9392668328972418,3.9392668328972418,True,False,False,9.33e-05,0.3679824341385429,3.816860393522147,33.499447685451,chen2020_dfn
1010.0,3.9399447610370784,3.940684203716291,3.940684203716291,True,False,False,9.520000000000001e-05,0.36907686323883104,3.817916787209314,33.49941882237562,chen2020_dfn
1015.0,3.9411920458418916,3.9421223448092633,3.9421223448092633,True,False,False,9.2e-05,0.37017163880712045,3.8189756834748967,33.499390512535285,chen2020_dfn
1020.0,3.942400167901307,3.9435198963220524,3.9435198963220524,True,False,False,9.44e-05,0.37126674996487075,3.8200369517557298,33.49936272919791,chen2020_dfn
1025.0,3.9435729673712174,3.9448833692119765,3.9448833692119765,True,False,False,9.17e-05,0.3723621869002517,3.821100419752038,33.49933544002471,chen2020_dfn
1030.0,3.944713896431827,3.946214577576972,3.946214577576972,True,False,False,9.350000000000001e-05,0.37345794076037153,3.822165956830003,33.499308614778556,chen2020_dfn
1035.0,3.945825820898151,3.9475155411380283,3.9475155411380283,True,False,False,0.00010960000000000001,0.37455400348839885,3.8232334594847757,33.49928222563142,chen2020_dfn
1040.0,3.9469111398654713,3.9487881303785284,3.9487881303785284,True,False,False,9.78e-05,0.375650367693917,3.8243028451764207,33.499256247568724,chen2020_dfn
1045.0,3.9479718632281524,3.9500340608890534,3.9500340608890534,True,False,False,9.43e-05,0.37674702654481373,3.8253740472008473,33.49923065847355,chen2020_dfn
