trajectory_id,split,teacher_accepted,completed_step_count,rejection_reason,mean_solve_time_s,maximum_solve_time_s
phase6r_ic_0068,train,True,8,,0.4403539750001073,1.2895284000005631
phase6r_ic_0069,train,True,8,,0.3400129249994279,0.7291285999999673
phase6r_ic_0070,validation,True,8,,0.2206137874995875,0.5623883999978716
phase6r_ic_0071,train,True,8,,0.3092922499999986,0.5903459000001021
phase6r_ic_0072,train,True,8,,0.290229912500763,0.6407904000006965
phase6r_ic_0073,train,True,8,,0.2173010874998908,0.4008427999979176
phase6r_ic_0074,validation,True,8,,0.2848284125002465,0.5866209999985585
phase6r_ic_0075,train,True,8,,0.3357391250006003,0.7257169000004069
phase6r_ic_0076,test,True,8,,0.4455164500009232,0.9712824999987788
phase6r_ic_0077,validation,True,8,,0.5012031375008519,1.1237836000000243
phase6r_ic_0078,test,True,8,,0.3550284625002859,1.0431790000002366
phase6r_ic_0079,train,True,8,,0.4229466750002757,1.0219464999972845
phase6r_ic_0080,test,True,8,,0.3452735625005516,0.714262299999973
phase6r_ic_0081,train,True,8,,0.3274484875005328,0.7623055999974895
phase6r_ic_0082,train,True,8,,0.2077222749990142,0.5102599999991071
phase6r_ic_0083,train,True,8,,0.337576975000502,0.7556356000022788
phase6r_ic_0084,train,True,8,,0.3360851000002185,0.7618570999984513
phase6r_ic_0085,train,True,8,,0.3052366875003827,0.7728815999980725
phase6r_ic_0086,train,True,8,,0.2563549500009685,0.6224881999987701
phase6r_ic_0087,train,True,8,,0.4500721250001334,0.9851662000000942
phase6r_ic_0088,train,True,8,,0.3394890374993338,1.0394276999977592
phase6r_ic_0089,train,True,8,,0.413656899999296,0.7477894999974524
phase6r_ic_0090,train,True,8,,0.3280054125011702,0.7573072000013781
phase6r_ic_0091,train,True,8,,0.3551519125003324,0.7543265999993309
phase6r_ic_0092,test,True,8,,0.2993317500004195,0.9200449000018124
phase6r_ic_0093,train,True,8,,0.2546969124987299,0.5767581000000064
phase6r_ic_0094,test,True,8,,0.2301382749992626,0.7300075999992259
phase6r_ic_0095,validation,True,8,,0.3358031499997196,0.710447400000703
phase6r_ic_0096,train,True,8,,0.2421336249994965,0.4343902000000526
phase6r_ic_0097,validation,True,8,,0.3216866250004386,0.7023580000022775
phase6r_ic_0098,test,True,8,,0.5421708750000107,1.1815459999997984
phase6r_ic_0099,train,True,8,,0.5494348749998608,1.0564984000011464
