time_s,charge_current_a,soc,terminal_voltage_v,average_temperature_c,control_mode,optimizer_success,prediction_feasible,used_fallback,safety_override,target_current_cap_active,solve_time_s,predicted_maximum_voltage_v,predicted_maximum_temperature_c,source
1465.0,3.9878185946145095,0.46916147714313483,3.9157132497054654,33.498128298000324,terminal_reference_governor,True,True,False,False,False,0.0,3.9080666515601017,33.50000999999903,chen2020_dfn
1470.0,3.9876446600828785,0.4702691562153801,3.9167341392450634,33.49813156332198,terminal_reference_governor,True,True,False,False,False,0.0,3.9089940772720473,33.50000999999963,chen2020_dfn
1475.0,3.9874431637872476,0.4713767793164322,3.9177526549817414,33.4981364745837,terminal_reference_governor,True,True,False,False,False,0.0,3.909921184996006,33.50000999999959,chen2020_dfn
1480.0,3.987170552572934,0.4724843266921468,3.918767765050638,33.49814131415303,terminal_reference_governor,True,True,False,False,False,0.0,3.910846925643756,33.500009999997836,chen2020_dfn
1485.0,3.986909422528697,0.4735918015317381,3.919781067418299,33.49814693161147,terminal_reference_governor,True,True,False,False,False,0.0,3.9117732202603586,33.50000999999729,chen2020_dfn
1490.0,3.9866181451361626,0.4746991954609425,3.9207917623296815,33.49815329508209,terminal_reference_governor,True,True,False,False,False,0.0,3.912699183830794,33.50000999999906,chen2020_dfn
1495.0,3.9862984718638472,0.4758065005920159,3.921799831453351,33.4981604120473,terminal_reference_governor,True,True,False,False,False,0.0,3.913624865674016,33.50000999999883,chen2020_dfn
1500.0,3.985950194473844,0.4769137089793698,3.9228052230058212,33.498168286278826,terminal_reference_governor,True,True,False,False,False,0.0,3.914550274079795,33.500009999997566,chen2020_dfn
1505.0,3.9855732674186584,0.4780208126647638,3.9238078897417807,33.49817691969696,terminal_reference_governor,True,True,False,False,False,0.0,3.9154754218923213,33.5000099999982,chen2020_dfn
1510.0,3.9851677166006994,0.4791278036971529,3.9248077876433385,33.498186312409075,terminal_reference_governor,True,True,False,False,False,0.0,3.916400324529225,33.50000999999805,chen2020_dfn
1515.0,3.984733638644684,0.480234674152332,3.9258048762455378,33.498196462886824,terminal_reference_governor,True,True,False,False,False,0.0,3.9173249999490465,33.50000999999945,chen2020_dfn
1520.0,3.984271192457527,0.48134141615023684,3.926799118715257,33.49820736811034,terminal_reference_governor,True,True,False,False,False,0.0,3.918249468442969,33.50000999999958,chen2020_dfn
1525.0,3.983780593262054,0.48244802187058744,3.927790481879607,33.498219023735885,terminal_reference_governor,True,True,False,False,False,0.0,3.919173752476895,33.500009999997175,chen2020_dfn
1530.0,3.983262105466565,0.4835544835665504,3.9287789361228564,33.49823142424265,terminal_reference_governor,True,True,False,False,False,0.0,3.920097876502129,33.50000999999719,chen2020_dfn
1535.0,3.982716035825433,0.4846607935765018,3.929764455212603,33.49824456305299,terminal_reference_governor,True,True,False,False,False,0.0,3.921021866766938,33.50000999999964,chen2020_dfn
1540.0,3.9821427283459343,0.4857669443343757,3.9307470161029308,33.49825843264216,terminal_reference_governor,True,True,False,False,False,0.0,3.921945751165414,33.50000999999748,chen2020_dfn
1545.0,3.9815425607957877,0.48687292837904117,3.9317265987464114,33.49827302465144,terminal_reference_governor,True,True,False,False,False,0.0,3.922869559124468,33.50000999999803,chen2020_dfn
1550.0,3.98091593888239,0.48797873836206407,3.9327031858589425,33.498288329934894,terminal_reference_governor,True,True,False,False,False,0.0,3.923793321436391,33.500009999999875,chen2020_dfn
1555.0,3.9802632949431427,0.48908436705510383,3.9336767627964813,33.49830433861871,terminal_reference_governor,True,True,False,False,False,0.0,3.924717070196815,33.50000999999786,chen2020_dfn
1560.0,3.9795850864902604,0.49018980735690665,3.934647317471705,33.49832104015235,terminal_reference_governor,True,True,False,False,False,0.0,3.9256408387457444,33.50000999999999,chen2020_dfn
1565.0,3.978881792863831,0.4912950522993689,3.9356148402809987,33.49833842330156,terminal_reference_governor,True,True,False,False,False,0.0,3.9265646615668355,33.50000999999791,chen2020_dfn
1570.0,3.978153917560121,0.49240009505424664,3.936579324197716,33.4983564761971,terminal_reference_governor,True,True,False,False,False,0.0,3.9274885743234504,33.50000999999908,chen2020_dfn
1575.0,3.9774019848846365,0.4935049289389368,3.937540764805915,33.49837518631614,terminal_reference_governor,True,True,False,False,False,0.0,3.9284126137684736,33.50000999999858,chen2020_dfn
1580.0,3.976626542134909,0.4946095474228632,3.9384991604781705,33.49839454051801,terminal_reference_governor,True,True,False,False,False,0.0,3.929336817784587,33.50000999999943,chen2020_dfn
1585.0,3.975828157417709,0.495713944133257,3.93945451249782,33.49841452504694,terminal_reference_governor,True,True,False,False,False,0.0,3.930261225327793,33.50000999999798,chen2020_dfn
1590.0,3.975007420522161,0.49681811286117983,3.9404068252446027,33.49843512557641,terminal_reference_governor,True,True,False,False,False,0.0,3.9311858764424423,33.50000999999995,chen2020_dfn
1595.0,3.9741649400093593,0.4979220475667381,3.941356106296687,33.49845632722548,terminal_reference_governor,True,True,False,False,False,0.0,3.9321108121888626,33.50000999999982,chen2020_dfn
1600.0,3.973301343503408,0.4990257423843778,3.9423023665689105,33.49847811462786,terminal_reference_governor,True,True,False,False,False,0.0,3.9330360746436295,33.50000999999807,chen2020_dfn
