temperature_c,controller_kind,seed,trajectory_id,maximum_voltage_v,maximum_average_temperature_c,maximum_voltage_residual_v,p95_voltage_residual_v,p99_voltage_residual_v,maximum_positive_residual_growth_v,voltage_intervention_fraction,maximum_current_correction_a,mean_active_current_correction_a,first_intervention_soc,minimum_voltage_slew_feasibility_margin_a,empty_interval_count,target_reached,discrete_arrival_time_s,continuous_arrival_time_s,cumulative_charge_ah,direction_reversals,mean_base_decision_time_ms,mean_safety_layer_time_ms
15.0,mpc,-1,phase7c_15c_010,4.18954945700948,19.725497875097236,0.0346596665076184,0.03461960172666374,0.03465665096927488,0.0025551704721777,0.4777777777777778,0.7995347685236474,0.6050379942022732,0.6986793414306686,1.8928916759905403,0,True,900.0,897.965127600183,0.6379281858198518,0,46.344416666720925,0.1570605557288522
15.0,mpc,-1,phase7c_15c_011,4.188996716091442,28.461743717214404,0.0254288111005509,0.0252773139733477,0.02541863621011318,0.006200742215733,0.3879003558718861,0.5900003328358312,0.4300801409410841,0.6618624618412023,1.949742810058524,0,True,1405.0,1403.290520643053,1.653545739097716,0,42.23093736652769,0.13614626321895618
15.0,mpc,-1,phase7c_15c_012,4.189276499676583,22.50796923448752,0.0323466121986637,0.03224090167605288,0.0323411681023803,0.0095430565356036,0.462882096069869,0.7628400563671849,0.5837040424581379,0.6732594342998299,1.929430684860563,0,True,1145.0,1144.89475159306,1.0285083521462763,0,58.903341921182076,0.188841484868283
15.0,mpc,-1,phase7c_15c_013,4.189234956485656,25.233205021004665,0.0298165756727009,0.02968498637342468,0.029809531234144877,0.0038847992929418,0.4230769230769231,0.6969799837695501,0.5309928733152964,0.6654081827627806,1.939031537142,0,True,1300.0,1298.4776495389463,1.3410414358143454,0,57.24906346160699,0.18404923091736378
15.0,mpc,-1,phase7c_15c_014,4.189206851747766,20.255520583947657,0.0359703817185135,0.035950549489703595,0.0359694000268314,0.0050089809148499,0.5026178010471204,0.8106858121391087,0.6256467497179822,0.6860254507680587,1.8838504929153717,0,True,955.0,953.9113749034882,0.7160314038082255,0,62.670209423917086,0.20974921466379967
15.0,mpc,-1,phase7c_15c_015,4.18903931001044,26.952221546879287,0.0278811076300611,0.027737183650635034,0.027874436725483284,0.0061177209207485,0.4148148148148148,0.6466290149397893,0.48066220912517554,0.6596358104570434,1.944281840580516,0,True,1350.0,1346.960508970085,1.4973258941586685,0,39.715662222308126,0.1408688890040133
15.0,mpc,-1,phase7c_15c_016,4.189247610698122,21.312638235469137,0.0332245876506425,0.03313761596183674,0.03321988784087663,0.0052187608737561,0.4811320754716981,0.7840610360590445,0.5914547093412504,0.6792938749800914,1.920809531249688,0,True,1060.0,1055.8605002057247,0.8723502795732473,0,43.61710613172684,0.14945047168673467
15.0,mpc,-1,phase7c_15c_017,4.18927607820981,23.852845122878197,0.0312744915532077,0.03115518498297042,0.03126821054832155,0.0084663995737832,0.4489795918367347,0.7335354928971607,0.5577047602905989,0.6667291831843937,1.9342954754683888,0,True,1225.0,1221.639663043643,1.1848330594094079,0,40.4707208162646,0.14592734701826995
15.0,mpc,-1,phase7c_15c_018,4.18897523832992,28.94201673437772,0.024721579308756,0.02455795577366956,0.024715504509397974,0.0029548189269896,0.38515901060070673,0.5725742606712072,0.41415367177045204,0.6613950734201777,1.9505420633067845,0,True,1415.0,1412.7947205303844,1.6926195664464811,0,37.94799681995413,0.1383024731816285
15.0,mpc,-1,phase7c_15c_019,4.1891068359561565,22.874665788477277,0.0326860594330264,0.0325859731093969,0.03268060506930691,0.0032563902370412,0.47435897435897434,0.7620501028004214,0.5815185025502873,0.6658182672050199,1.9265456036664543,0,True,1170.0,1165.158623903238,1.0676780896919953,0,40.39103076925087,0.14482008530325854
15.0,mpc,-1,phase7c_15c_020,4.189137274930554,25.71202766873438,0.0294311687902926,0.02929098472022526,0.029423007677997902,0.0055912670889668,0.42366412213740456,0.685033136429404,0.5205914567301341,0.6625028147585397,1.9398482200922444,0,True,1310.0,1306.7610380859164,1.3801428547626087,0,39.7440026718514,0.1401770992423131
15.0,mpc,-1,phase7c_15c_021,4.189450028846319,20.456906526506717,0.0323894824510491,0.032304108577806155,0.03238507358535485,0.005081948891374,0.45454545454545453,0.7802941485213464,0.5832235039256136,0.6946086275624442,1.9225868363282643,0,True,990.0,986.3141161602887,0.7551527867546947,0,55.97882929284207,0.1898611114272256
15.0,mpc,-1,phase7c_15c_022,4.189118277034464,27.1328261931871,0.0273201569618777,0.02716968977741767,0.02731089179249171,0.0074563826070592,0.39636363636363636,0.6363992738061857,0.4752963145260029,0.6643748944260798,1.945824305541464,0,True,1375.0,1370.4333951769174,1.5364221210183944,0,46.52348836367966,0.16201600022292142
15.0,mpc,-1,phase7c_15c_023,4.188845192134117,21.688750536186376,0.0347917262786356,0.034731462454739195,0.03478842233543463,0.0102161829153848,0.5116279069767442,0.7941801282782812,0.6138330479378087,0.6674292837906025,1.9054486231761985,0,True,1075.0,1071.4996611227436,0.9113986713725994,0,46.44864093008728,0.17015813994703932
30.0,mpc,-1,phase7c_30c_000,4.187895839087965,35.60580090409974,0.0051226329530225,0.005088017265078535,0.0051220003570889416,0.0087362176978063,0.0,0.0,0.0,,2.0070305357285907,0,True,960.0,955.5705651454007,0.8235285043555755,0,43.23001822964059,0.14589791650597808
