trajectory_id,step_index,state_soc,state_polarization_fast_v,state_polarization_slow_v,state_core_temperature_c,state_surface_temperature_c,state_ambient_temperature_c,state_previous_current_a,state_average_temperature_c,teacher_current_a,teacher_solve_time_s,teacher_optimizer_success,teacher_prediction_feasible,teacher_used_fallback,teacher_minimum_constraint_margin,active_voltage_constraint,active_temperature_constraint,active_current_upper_constraint,active_current_change_constraint,next_soc,next_core_temperature_c,next_surface_temperature_c,split
phase6r_ic_0136,2,0.47353052089198977,0.05646351221079075,0.06549593409254642,29.60498581436386,29.59729826280657,25.0,7.199262889600382,29.603448304052407,7.139189216537344,0.1307403999962844,True,True,False,-9.443780868423346e-09,False,True,False,False,0.47551362900769456,29.727315941047372,29.719529782743976,train
phase6r_ic_0136,3,0.47551362900769456,0.05863669099105409,0.06698726349720002,29.727315941047372,29.719529782743976,25.0,7.139189216537344,29.725758709386692,7.079661467366111,0.174436200002674,True,True,False,-1.0850214948732173e-08,False,True,False,False,0.4774802016375185,29.84869120165149,29.84082105515696,train
phase6r_ic_0136,4,0.4774802016375185,0.060126237054402405,0.06839958313271562,29.84869120165149,29.84082105515696,25.0,7.079661467366111,29.847117172352583,6.899909491044518,0.5659878000005847,True,True,False,-3.732061770733708e-09,False,True,False,False,0.4793968431628086,29.96467124698877,29.956847173672507,train
phase6r_ic_0136,5,0.4793968431628086,0.060828293694570455,0.0696743209252115,29.96467124698877,29.956847173672507,25.0,6.899909491044518,29.96310643232552,6.845094496540274,0.14918640000541927,True,True,False,-8.927507622047415e-09,False,True,False,False,0.48129825830073647,30.079088667671286,30.0712048646082,train
phase6r_ic_0136,6,0.48129825830073647,0.06122782800251002,0.07087952342620923,30.079088667671286,30.0712048646082,25.0,6.845094496540274,30.07751190705867,6.790921736234574,0.16664160000073025,True,True,False,-9.445464854707097e-09,False,True,False,False,0.48318462544969054,30.19177341154048,30.183835648020818,train
phase6r_ic_0136,7,0.48318462544969054,0.061402461435411004,0.07201778942687241,30.19177341154048,30.183835648020818,25.0,6.790921736234574,30.190185858836546,6.737411348065172,0.13420800000312738,True,True,False,-6.489898396466742e-09,False,True,False,False,0.48505612860193087,30.302620114033633,30.29463306119733,train
phase6r_ic_0137,0,0.47239583333333335,0.0284765625,0.012592592592592593,30.72544,31.906122448979588,25.0,5.544703230653644,30.961576489795917,7.302747402347167,1.0530339999968419,True,True,False,-6.001942409739058e-08,False,True,False,False,0.47442437427842976,31.039137429133113,31.03145927080534,train
phase6r_ic_0137,1,0.47442437427842976,0.03806968432583173,0.0158957683059913,31.039137429133113,31.03145927080534,25.0,7.302747402347167,31.03760179746756,7.241011734566501,0.18388440000126138,True,True,False,-1.238664282254831e-08,False,True,False,False,0.4764357664269205,31.119590159197596,31.111718077636255,train
phase6r_ic_0137,2,0.4764357664269205,0.04510644344337983,0.01905960793820747,31.119590159197596,31.111718077636255,25.0,7.241011734566501,31.118015742885326,7.002465583412239,0.5400042999972356,True,True,False,-3.1371172326544183e-09,False,True,False,False,0.47838089575564613,31.197636093731557,31.189759771103727,train
phase6r_ic_0137,3,0.47838089575564613,0.04982449109339496,0.021998727209349426,31.197636093731557,31.189759771103727,25.0,7.002465583412239,31.19606082920599,6.946202919253471,0.16053280000051018,True,True,False,-9.41785316399546e-09,False,True,False,False,0.4803103965665499,31.277330802972607,31.26933557204444,train
phase6r_ic_0137,4,0.4803103965665499,0.05322583485237068,0.024813190094906318,31.277330802972607,31.26933557204444,25.0,6.946202919253471,31.275731756786975,6.7472980886134195,0.47454970000399044,True,True,False,-5.506208822225744e-10,False,True,False,False,0.4821846460356092,31.353701701589678,31.345730004839734,train
phase6r_ic_0137,5,0.4821846460356092,0.0553145148149109,0.027434512848418507,31.353701701589678,31.345730004839734,25.0,6.7472980886134195,31.352107362239686,6.695802033515096,0.1691203999944264,True,True,False,-1.037514607560297e-08,False,True,False,False,0.4840445910449189,31.43038088941595,31.422330940359988,train
phase6r_ic_0137,6,0.4840445910449189,0.05675926508528044,0.02994398802201216,31.43038088941595,31.422330940359988,25.0,6.695802033515096,31.428770899604757,6.644737926087508,0.17396179999923334,True,True,False,-7.691198788961628e-09,False,True,False,False,0.48589035157994326,31.50698692116455,31.498868957688764,train
phase6r_ic_0137,7,0.48589035157994326,0.05772315960407978,0.03234549002236344,31.50698692116455,31.498868957688764,25.0,6.644737926087508,31.505363328469393,6.463810085975899,0.5928189999976894,True,True,False,-5.255031965134549e-10,False,True,False,False,0.4876858543816032,31.57941886742257,31.571352255525202,train
phase6r_ic_0138,0,0.47510416666666666,0.0734765625,0.042592592592592585,32.40544,33.10612244897959,25.0,6.453794139744553,32.54557648979591,5.448455649171984,0.644765400000324,True,True,False,-2.902069695664977e-10,False,True,False,False,0.4766176265692144,32.59532817400757,32.58702035454888,validation
phase6r_ic_0138,1,0.4766176265692144,0.06748692233166056,0.04397228740423842,32.59532817400757,32.58702035454888,25.0,5.448455649171984,32.59366661011583,5.421433745226006,0.1291997000007541,True,True,False,-1.5646648421352438e-09,False,True,False,False,0.47812358038733277,32.640831739651645,32.63255775311185,validation
phase6r_ic_0138,2,0.47812358038733277,0.06294290593206156,0.045293154739429284,32.640831739651645,32.63255775311185,25.0,5.421433745226006,32.63917694234369,5.393654163646495,0.15926349999790546,True,True,False,-1.299746088534448e-09,False,True,False,False,0.47962181765501233,32.68419151552199,32.675938691488135,validation
phase6r_ic_0138,3,0.47962181765501233,0.059478898574550604,0.04655673141958619,32.68419151552199,32.675938691488135,25.0,5.393654163646495,32.682540950715214,5.3582364538033795,0.25916780000261497,True,True,False,-1.3830074863108166e-09,False,True,False,False,0.48111021666995774,32.72559941364156,32.71736404928433,validation
phase6r_ic_0138,4,0.48111021666995774,0.056805522176022784,0.04776100421016457,32.72559941364156,32.71736404928433,25.0,5.3582364538033795,32.72395234077011,5.321158849574705,0.29417370000010123,True,True,False,-2.0390586996654747e-09,False,True,False,False,0.4825883163503952,32.76529844496342,32.75707522770352,validation
phase6r_ic_0138,5,0.4825883163503952,0.05471995852093612,0.048907066574265204,32.76529844496342,32.75707522770352,25.0,5.321158849574705,32.76365380151144,5.283693199857403,0.17960540000058245,True,True,False,-2.8214444114382786e-09,False,True,False,False,0.4840560089059111,32.80348645194441,32.795271152598346,validation
phase6r_ic_0138,6,0.4840560089059111,0.053073359541952185,0.049996623189474176,32.80348645194441,32.795271152598346,25.0,5.283693199857403,32.8018433920752,5.246781873795608,0.1393374999970547,True,True,False,-1.9076509261140018e-09,False,True,False,False,0.4855134483152988,32.840328706384824,32.83211786908125,validation
phase6r_ic_0138,7,0.4855134483152988,0.05175650637067209,0.05103180238146752,32.840328706384824,32.83211786908125,25.0,5.246781873795608,32.83868653892411,5.210086715352723,0.1271517999994103,True,True,False,-2.264968657073041e-09,False,True,False,False,0.486960694625119,32.87594013389687,32.867731620792654,validation
phase6r_ic_0139,0,0.4778125000000001,0.0172265625,0.07259259259259258,26.02144,26.077551020408162,25.0,7.362885048835462,26.032662204081632,9.146578236814197,0.9528246999980183,True,True,False,-1.1071300320963928e-08,False,True,False,False,0.4803532161768929,26.234795567356606,26.22797930868033,train
phase6r_ic_0139,1,0.4803532161768929,0.0338832761906937,0.07487312125581101,26.234795567356606,26.22797930868033,25.0,9.146578236814197,26.23343231562135,9.051976864757552,0.1347502999997232,True,True,False,-4.072932568988108e-08,False,True,False,False,0.48286765419488115,26.442430434499684,26.43523227929077,train
