time_s,charge_current_a,raw_requested_current_a,soc,terminal_voltage_v,average_temperature_c,core_temperature_c,surface_temperature_c,evaluation_time_s,optimizer_success,prediction_feasible,used_fallback,target_current_cap_active,source
360.0,4.9892292959978795,4.9892292959978795,0.230293111625781,3.7552341147301282,32.61010586047936,32.61173677934842,32.603582185003106,0.10286880000057863,True,True,False,False,phase6r_rolling_mpc_reduced
365.0,4.969545791557593,4.969545791557593,0.2316735410123248,3.75576523679529,32.651386007314635,32.65301906690835,32.64485376893976,0.10349880000285339,True,True,False,False,phase6r_rolling_mpc_reduced
370.0,4.950214357022744,4.950214357022744,0.23304860055594223,3.7562971163135495,32.69173456301051,32.69336972195766,32.68519392722192,0.10230500000034226,True,True,False,False,phase6r_rolling_mpc_reduced
375.0,4.931232199875014,4.931232199875014,0.23441838727812975,3.756827760223715,32.73117275750118,32.73280996963076,32.72462390898287,0.11162989999866113,True,True,False,False,phase6r_rolling_mpc_reduced
380.0,4.912592905951396,4.912592905951396,0.23578299641867181,3.7573557773318162,32.769720535843305,32.77135975135075,32.763163673813516,0.10481500000605593,True,True,False,False,phase6r_rolling_mpc_reduced
385.0,4.89429384974288,4.89429384974288,0.23714252248804485,3.757880371048693,32.807396912288205,32.80903807957154,32.800832243154844,0.10326400000485592,True,True,False,False,phase6r_rolling_mpc_reduced
390.0,4.854410179608804,4.854410179608804,0.2384909697601584,3.757866024385876,32.84364344461166,32.84528313778706,32.83708467191004,0.27352539999992587,True,True,False,False,phase6r_rolling_mpc_reduced
395.0,4.837399898244575,4.837399898244575,0.23983469195411522,3.7583436960641268,32.87905584745461,32.88069728962644,32.87249007876727,0.10590379999484867,True,True,False,False,phase6r_rolling_mpc_reduced
400.0,4.811901255335477,4.811901255335477,0.24117133119170842,3.758613613916682,32.91342613829558,32.91506796035472,32.906858850059,0.10755540000536712,True,True,False,False,phase6r_rolling_mpc_reduced
405.0,4.785293501608516,4.785293501608516,0.24250057938659966,3.758831729758425,32.94673248042077,32.94837436407759,32.94016494579349,0.10948069999722065,True,True,False,False,phase6r_rolling_mpc_reduced
410.0,4.759311177502327,4.759311177502327,0.2438226102692392,3.7590391961279876,32.978997836345314,32.98063972136102,32.972430296282496,0.10547590000351192,True,True,False,False,phase6r_rolling_mpc_reduced
415.0,4.727411254939759,4.727411254939759,0.24513578006227804,3.7590797244588,33.01007799075476,33.01171884320305,33.00351458096161,0.24931730000389507,True,True,False,False,phase6r_rolling_mpc_reduced
420.0,4.698218418037654,4.698218418037654,0.24644084073395517,3.7591504305262244,33.040047265218746,33.041687303108944,33.03348711365797,0.21618260000104783,True,True,False,False,phase6r_rolling_mpc_reduced
425.0,4.668027338986322,4.668027338986322,0.2477375149947847,3.759171318298859,33.06888825384563,33.0705271722253,33.06233258032695,0.24139650000142865,True,True,False,False,phase6r_rolling_mpc_reduced
