time_s,charge_current_a,raw_requested_current_a,soc,terminal_voltage_v,average_temperature_c,core_temperature_c,surface_temperature_c,evaluation_time_s,optimizer_success,prediction_feasible,used_fallback,target_current_cap_active,source
285.0,5.2037379782581965,5.2037379782581965,0.20478569348822076,3.71108533809846,32.31424958970183,32.3158702022356,32.30776713956676,0.10493119999591727,True,True,False,False,phase6r_rolling_mpc_dfn
290.0,5.17901217381539,5.17901217381539,0.20622430798094726,3.7114706668107527,32.36493204334744,32.36655558734645,32.35843786735139,0.1041791999959969,True,True,False,False,phase6r_rolling_mpc_dfn
295.0,5.1260856178204826,5.1260856178204826,0.20764822065256408,3.7112936295183108,32.41359684428761,32.41521863903506,32.4071096652978,0.2742956000001868,True,True,False,False,phase6r_rolling_mpc_dfn
300.0,5.103131362221965,5.103131362221965,0.20906575714207024,3.711657323709218,32.46108586681697,32.46271029364852,32.454588159490775,0.10188529999868479,True,True,False,False,phase6r_rolling_mpc_dfn
305.0,5.080608244162885,5.080608244162885,0.21047703720989322,3.7120589923219387,32.50741404713074,32.509041058373434,32.50090600215996,0.10355069999786792,True,True,False,False,phase6r_rolling_mpc_dfn
310.0,5.058519446644386,5.058519446644386,0.21188218150062782,3.7124862253462876,32.552639021536834,32.554268559200935,32.54612087088042,0.10395099999732338,True,True,False,False,phase6r_rolling_mpc_dfn
315.0,5.036844242725214,5.036844242725214,0.21328130490138486,3.712935368273919,32.59679124359161,32.59842324525537,32.590263236936565,0.10232200000609737,True,True,False,False,phase6r_rolling_mpc_dfn
320.0,4.992047426237704,4.992047426237704,0.21466798474200643,3.7129202069658676,32.63925910373064,32.6408898145323,32.632736260523984,0.27751899999566376,True,True,False,False,phase6r_rolling_mpc_dfn
325.0,4.9718642105147435,4.9718642105147435,0.21604905813381603,3.7133608440453867,32.68069617847817,32.68232911379516,32.674164437210194,0.10769550000259187,True,True,False,False,phase6r_rolling_mpc_dfn
330.0,4.952073030530934,4.952073030530934,0.21742463397563017,3.713830161277742,32.72115543480919,32.72279055455469,32.71461495582721,0.10385739999765065,True,True,False,False,phase6r_rolling_mpc_dfn
335.0,4.9326556974648454,4.9326556974648454,0.2187948161138149,3.7143229988263355,32.76066432113004,32.762301579469,32.754115287774155,0.10147139999753563,True,True,False,False,phase6r_rolling_mpc_dfn
340.0,4.913605893715107,4.913605893715107,0.22015970663984685,3.7148360850635784,32.799248531663295,32.80088787784401,32.79269114694041,0.10775439999997616,True,True,False,False,phase6r_rolling_mpc_dfn
345.0,4.894917627776027,4.894917627776027,0.22151940598089576,3.7153667075008845,32.836934290939325,32.83857567114473,32.830368770117694,0.10249689999909606,True,True,False,False,phase6r_rolling_mpc_dfn
350.0,4.855033732071783,4.855033732071783,0.2228680264620268,3.7154657853099424,32.873167746499234,32.87480780678521,32.866607505355326,0.2695179999936954,True,True,False,False,phase6r_rolling_mpc_dfn
355.0,4.83229665744149,4.83229665744149,0.22421033108909386,3.715871167438454,32.90840382277588,32.91004489128172,32.901839548752505,0.10751429999800166,True,True,False,False,phase6r_rolling_mpc_dfn
360.0,4.804651352190003,4.804651352190003,0.22554495646470218,3.7161804640418525,32.942523225539844,32.944164433983474,32.93595839176533,0.10801420000643702,True,True,False,False,phase6r_rolling_mpc_dfn
365.0,4.777631931524397,4.777631931524397,0.22687207644568116,3.7164924478194923,32.97555368514975,32.97719496253291,32.968988575617075,0.10182799999893177,True,True,False,False,phase6r_rolling_mpc_dfn
370.0,4.749998545077584,4.749998545077584,0.22819152048598054,3.716783703010665,33.007489890686486,33.009130989358646,33.000925495997855,0.11495799999829615,True,True,False,False,phase6r_rolling_mpc_dfn
375.0,4.716944379398152,4.716944379398152,0.22950178281359113,3.7169522887825783,33.03819759415603,33.0398375484746,33.03163777688175,0.20626459999766666,True,True,False,False,phase6r_rolling_mpc_dfn
380.0,4.685346691782576,4.685346691782576,0.23080326800575293,3.717127845561736,33.067724907648824,33.06936373978628,33.06116957909899,0.20470610000484157,True,True,False,False,phase6r_rolling_mpc_dfn
385.0,4.658850376336518,4.658850376336518,0.23209739311029084,3.7173939875651962,33.09621779676985,33.09785608621863,33.08966463897473,0.10775250000006054,True,True,False,False,phase6r_rolling_mpc_dfn
390.0,4.628796762383573,4.628796762383573,0.2333831699887307,3.7175837528157234,33.123595032054766,33.12523212800056,33.11704664827158,0.20823369999561692,True,True,False,False,phase6r_rolling_mpc_dfn
395.0,4.599529069983138,4.599529069983138,0.2346608169526149,3.717777468687723,33.1498881407594,33.151524002393316,33.14334469422374,0.1696620999937295,True,True,False,False,phase6r_rolling_mpc_dfn
400.0,4.570313267266923,4.570313267266923,0.23593034841574462,3.71796262263682,33.1751098542735,33.17674434364361,33.16857189679303,0.17224949999945238,True,True,False,False,phase6r_rolling_mpc_dfn
405.0,4.542063745469806,4.542063745469806,0.23719203278948622,3.718158914129117,33.19929663195569,33.20092974638302,33.192764174246385,0.17388109999592416,True,True,False,False,phase6r_rolling_mpc_dfn
410.0,4.514154167861282,4.514154167861282,0.238445964502781,3.718355799400885,33.222468836455334,33.22410049230207,33.215942213068395,0.1358669999972335,True,True,False,False,phase6r_rolling_mpc_dfn
415.0,4.482448130970311,4.482448130970311,0.2396910889836061,3.718465699128909,33.24454025748889,33.24616978422682,33.23802215053718,0.2370532999993884,True,True,False,False,phase6r_rolling_mpc_dfn
420.0,4.453083297890809,4.453083297890809,0.24092805656635355,3.718608838388421,33.265581075182126,33.2672086508402,33.25907077254982,0.14107199999853037,True,True,False,False,phase6r_rolling_mpc_dfn
425.0,4.420606187266357,4.420606187266357,0.2421560027294831,3.7186765422107717,33.28552335973251,33.28714841325888,33.279023145627,0.3800368999945931,True,True,False,False,phase6r_rolling_mpc_dfn
430.0,4.394046693954475,4.394046693954475,0.24337657125558157,3.718853984470145,33.30452728967538,33.30615049939017,33.29803445081618,0.13685329999862006,True,True,False,False,phase6r_rolling_mpc_dfn
435.0,4.364806813672728,4.364806813672728,0.24458901759271287,3.7189740226981685,33.32253769680682,33.32415858430866,33.316054146799424,0.17378129999997327,True,True,False,False,phase6r_rolling_mpc_dfn
440.0,4.333675642264268,4.333675642264268,0.24579281638223074,3.7190443321866775,33.33951817436787,33.34113635274371,33.333045460864504,0.2771515999993426,True,True,False,False,phase6r_rolling_mpc_dfn
445.0,4.304770920382933,4.304770920382933,0.2469885860823371,3.7191488542578774,33.35553468615569,33.35715032652829,33.349072124665284,0.1721414999992703,True,True,False,False,phase6r_rolling_mpc_dfn
450.0,4.27574212196388,4.27574212196388,0.24817629222732707,3.719243788532069,33.370595430166134,33.372208399263634,33.364143553776124,0.2736356999957934,True,True,False,False,phase6r_rolling_mpc_dfn
455.0,4.250228014902908,4.250228014902908,0.24935691112035566,3.7194073466702595,33.38479801322302,33.3864086736205,33.37835537163309,0.17116279999754624,True,True,False,False,phase6r_rolling_mpc_dfn
460.0,4.220171941559279,4.220171941559279,0.25052918110412215,3.719473544713436,33.39804277933143,33.399650425855114,33.391612193236696,0.27142689999891445,True,True,False,False,phase6r_rolling_mpc_dfn
465.0,4.188792404674661,4.188792404674661,0.25169273454986507,3.719498114741032,33.410307508998415,33.41191184093842,33.40389018123839,0.34287339999718824,True,True,False,False,phase6r_rolling_mpc_dfn
470.0,4.159808347236936,4.159808347236936,0.25284823686854196,3.7195597689716915,33.42166025764658,33.42326146720475,33.41525541941389,0.3433608999985154,True,True,False,False,phase6r_rolling_mpc_dfn
475.0,4.133988017542257,4.133988017542257,0.2539965668734149,3.719683217694775,33.432188044026304,33.433786443643825,33.42579444555622,0.17027430000598542,True,True,False,False,phase6r_rolling_mpc_dfn
480.0,4.108744399648678,4.108744399648678,0.25513788476220617,3.7198198826721027,33.44191593823018,33.44351151860958,33.435533616712576,0.3445923999970546,True,True,False,False,phase6r_rolling_mpc_dfn
485.0,4.081962214027137,4.081962214027137,0.25627176315499145,3.719922884305351,33.45081801411328,33.452410490012724,33.44444811051552,0.17061029999604216,True,True,False,False,phase6r_rolling_mpc_dfn
