state_id,trajectory_id,step_index,state_soc,state_polarization_1_v,state_polarization_2_v,state_previous_current_a
level3_audit_067,terminal_061,14,0.7879368278846522,0.021071155790053406,0.015766403005742235,2.057728624678679
level3_audit_068,terminal_145,12,0.7883633487058086,0.020401728316515943,0.048220956403872445,1.9827417940278105
level3_audit_069,terminal_123,1,0.788800258576197,0.014780592989501214,0.12534430601332416,1.3280693764255416
level3_audit_070,terminal_010,17,0.7892484898654755,0.019214267676741652,0.06396533118518825,1.831924941114064
level3_audit_071,terminal_123,3,0.7896584320164357,0.014511062200840322,0.11883358262001417,1.6079104062201883
level3_audit_072,global_055,4,0.79009138147954,0.012898235423463923,0.09491214160404284,1.688126746368638
level3_audit_073,terminal_118,10,0.7905108817036475,0.015745171942316446,0.07017945172950721,1.6008663881402738
level3_audit_074,terminal_141,22,0.7909160293687977,0.016252483448517763,0.06625425657866621,1.5370255714635435
level3_audit_075,terminal_058,5,0.7913165298230371,0.016368911127549672,0.04471843880889251,1.4867403700770492
level3_audit_076,terminal_058,6,0.7917118151256862,0.015514780771384296,0.04398107859742938,1.423027089536825
level3_audit_077,terminal_155,15,0.7920853327911634,0.014172253411842691,0.0769649946301816,1.3394810819463638
level3_audit_078,terminal_155,16,0.792441654304981,0.01354910028663496,0.07510260768281586,1.2827574497434555
level3_audit_079,terminal_107,19,0.7927954631105164,0.01287645888140209,0.07381711768547503,1.2266206678512115
level3_audit_080,terminal_028,21,0.7931375978636391,0.012488817030268502,0.024267962783246336,1.1689157969491564
level3_audit_081,terminal_050,16,0.7934943170338948,0.01200938344388528,0.044545954953384335,1.1083831566742801
level3_audit_082,terminal_043,15,0.7938086059861075,0.01179432579888828,0.030093016681655756,1.054592100103442
level3_audit_083,terminal_153,8,0.7941333142158349,0.009971621680393977,0.060319284920357416,0.9994550846364654
level3_audit_084,terminal_023,20,0.7944752175289655,0.009967019674656227,0.046082861610417,0.9410514587325471
level3_audit_085,terminal_063,2,0.7948219050375867,0.04239210753167181,0.00786496945372819,0.88199789925863
level3_audit_086,terminal_095,18,0.7951233986236782,0.009033299260873819,0.024498112185507685,0.8304537605517565
level3_audit_087,terminal_129,22,0.795426976016301,0.008285808958780417,0.01231009919749367,0.7791102589903501
level3_audit_088,terminal_153,15,0.7957553548780311,0.007589318585093971,0.05048161326120891,0.7231225023207686
level3_audit_089,terminal_085,14,0.7960964236186647,0.007661905071861146,0.03395654136337788,0.6650472443641493
level3_audit_090,terminal_131,12,0.7964365180564972,0.007751429536511709,0.031259568102887596,0.6069911552822911
level3_audit_091,terminal_076,23,0.7967830921013387,0.00580757489798252,0.07013067324756275,0.5477608923414369
level3_audit_092,terminal_039,14,0.7970940938394007,0.005660871667600712,0.036254174139688976,0.49496423387081734
level3_audit_093,terminal_116,11,0.7974387748625942,0.0066970748792252646,0.020426552242227537,0.4363092546303362
level3_audit_094,terminal_134,10,0.797777367771558,0.005717699307083865,0.08244674676068899,0.37833768947394164
level3_audit_095,terminal_074,12,0.7981480990338227,0.0037061117617819134,0.06828797271999741,0.31542969418499206
level3_audit_096,terminal_026,0,0.7985372477573041,0.005555555555555555,0.10439999999999999,0.43731778425655976
level3_audit_097,terminal_026,7,0.7989414446112917,0.0022942814537366745,0.08340537913102908,0.1800652590969009
level3_audit_098,terminal_013,6,0.7993675207602208,0.010395207887148941,0.03252877951268062,0.10803393705026895
level3_audit_099,terminal_100,23,0.7999217986698358,0.0001713427216414085,0.003987363222084764,0.013336288627943201
