trajectory_id,split,step_index,state_soc,state_polarization_1_v,state_polarization_2_v,state_previous_current_a,teacher_current_a,terminal_voltage_v,next_soc,next_polarization_1_v,next_polarization_2_v,teacher_objective,teacher_solve_time_s,teacher_optimizer_success,teacher_prediction_feasible,teacher_used_fallback,minimum_prediction_margin,minimum_slew_margin_a,maximum_prediction_current_step_a,plan_block_00_a,plan_block_01_a,plan_block_02_a
global_134,train,4,0.741311139864758,0.04623721472320801,0.03643631978915086,4.536676002922428,4.49558365219412,4.165424274874515,0.7425599131014786,0.044916963143817906,0.03753248277090366,0.054786368975912915,0.034641399997781264,True,True,False,0.0,0.9594727005934831,1.040527299406517,4.49558365219412,3.757873589293673,2.717346289887156
global_134,train,5,0.7425599131014786,0.044916963143817906,0.03753248277090366,4.49558365219412,4.455415821222762,4.16551898021513,0.7437975286073738,0.04383683879570488,0.03857239599456793,0.05177828722985663,0.0358803999988595,True,True,False,0.0,0.8225120600582119,1.1774879399417881,4.455415821222762,3.7324504695141125,2.5549625295723244
global_134,train,6,0.7437975286073738,0.04383683879570488,0.03857239599456793,4.455415821222762,4.416143968026156,4.165806176434061,0.7450242352651588,0.0429384560267833,0.03955835320839956,0.04889115428369027,0.04066690000036033,True,True,False,0.0,0.6859374283071542,1.3140625716928458,4.416143968026156,3.707425379302682,2.393362807609836
global_134,train,7,0.7450242352651588,0.0429384560267833,0.03955835320839956,4.416143968026156,4.377739453898514,4.1662293948313,0.7462402740023528,0.04217805961772359,0.040492558643494915,0.04612273201129974,0.038403400001698174,True,True,False,8.881784197001252e-16,0.5497684910641776,1.4502315089358224,4.377739453898514,3.6827849175164613,2.232553408580639
global_135,train,0,0.16826171875,0.0859259259259259,0.06144,7.230320699708455,9.230320699708454,3.7694640309361565,0.17082569672214123,0.08548262988477391,0.06412754346993987,22.730049296863957,0.002967800002807053,True,True,False,8.881784197001252e-16,8.881784197001252e-16,1.9999999999999991,9.230320699708454,10.0,10.0
global_135,train,1,0.17082569672214123,0.08548262988477391,0.06412754346993987,9.230320699708454,10.0,3.792987131501875,0.173603474499919,0.08691744602576609,0.06711877811386832,22.202800701064227,0.003070900002057897,True,True,False,0.138684284883273,1.2303206997084537,0.7696793002915463,10.0,10.0,10.0
global_135,train,2,0.173603474499919,0.08691744602576609,0.06711877811386832,10.0,10.0,3.802671010342582,0.17638125227769677,0.08799110679667804,0.07001227227612986,21.970544220595052,0.005247500001132721,True,True,False,0.13590005347860057,2.0,0.0,10.0,10.0,10.0
global_135,train,3,0.17638125227769677,0.08799110679667804,0.07001227227612986,10.0,10.0,3.8118959933315417,0.17915903005547454,0.0887945180617605,0.0728112196887093,21.739522308027123,0.0030144000011205208,True,True,False,0.1331291389545468,2.0,0.0,10.0,10.0,10.0
global_135,train,4,0.17915903005547454,0.0887945180617605,0.0728112196887093,10.0,10.0,3.8207561800649903,0.1819368078332523,0.08939570390960808,0.07551870972638129,21.50973496336042,0.0031042000009620097,True,True,False,0.13037110617142744,2.0,0.0,10.0,10.0,10.0
global_135,train,5,0.1819368078332523,0.08939570390960808,0.07551870972638129,10.0,10.0,3.8293226840062964,0.18471458561103007,0.08984556618981288,0.07813773081664804,21.28118218659495,0.003199400001903996,True,True,False,0.1276255342085717,2.0,0.0,10.0,10.0,10.0
