trajectory_id,initial_soc,initial_polarization_1_v,initial_polarization_2_v,initial_previous_current_a,split
global_096,0.24744531250000001,0.0014814814814814816,0.1008,4.548104956268221,train
global_097,0.5969453125,0.03148148148148148,0.1308,5.976676384839649,validation
global_098,0.4221953125000001,0.06148148148148147,0.0168,7.405247813411079,test
global_099,0.1382265625,0.04148148148148147,0.0768,0.46647230320699706,train
global_100,0.4877265625,0.07148148148148148,0.10679999999999999,1.8950437317784254,validation
global_101,0.31297656250000006,0.02148148148148148,0.1368,3.3236151603498536,train
global_102,0.6624765625,0.05148148148148148,0.022799999999999997,4.752186588921282,train
global_103,0.22560156250000002,0.08148148148148147,0.05279999999999999,6.180758017492711,train
global_104,0.5751015625,0.004814814814814814,0.0828,7.60932944606414,train
global_105,0.40035156250000004,0.03481481481481481,0.1128,9.037900874635568,train
global_106,0.18191406250000003,0.014814814814814814,0.0288,2.099125364431487,train
global_107,0.5314140625,0.04481481481481481,0.0588,3.527696793002915,train
global_108,0.35666406250000005,0.0748148148148148,0.0888,4.956268221574343,train
global_109,0.2692890625,0.054814814814814816,0.14880000000000002,7.8134110787172,test
global_110,0.6187890625,0.0848148148148148,0.00024,9.241982507288629,train
global_111,0.4440390625,0.008148148148148147,0.03024,0.8746355685131195,train
global_112,0.7935390625000001,0.038148148148148146,0.06024,2.3032069970845477,train
global_113,0.10273046875000001,0.06814814814814814,0.09024,3.731778425655976,train
global_114,0.45223046875000006,0.018148148148148146,0.12024000000000001,5.160349854227405,test
global_115,0.27748046875,0.048148148148148134,0.00624,6.588921282798833,train
global_116,0.62698046875,0.07814814814814813,0.03624,8.017492711370263,train
global_117,0.19010546875,0.028148148148148144,0.06624,9.44606413994169,train
global_118,0.53960546875,0.05814814814814814,0.09624,1.0787172011661808,test
global_119,0.3648554687500001,0.08814814814814813,0.12624000000000002,2.507288629737609,train
global_120,0.71435546875,0.0025925925925925925,0.012240000000000001,3.9358600583090375,train
global_121,0.14641796875000002,0.03259259259259259,0.04224,5.3644314868804654,train
global_122,0.49591796875000005,0.06259259259259259,0.07224,6.793002915451894,train
global_123,0.32116796875000003,0.012592592592592593,0.10224,8.221574344023324,test
global_124,0.23379296875000002,0.07259259259259258,0.01824,1.282798833819242,validation
global_125,0.58329296875,0.022592592592592588,0.04824,2.7113702623906697,test
global_126,0.40854296875000007,0.052592592592592594,0.07824,4.1399416909620985,train
global_127,0.12457421875000001,0.005925925925925925,0.13824,6.997084548104956,validation
