state_id,trajectory_id,step_index,state_soc,state_polarization_fast_v,state_polarization_slow_v,state_core_temperature_c,state_surface_temperature_c,state_ambient_temperature_c,state_previous_current_a,state_average_temperature_c,teacher_current_a,previous_plan_available,previous_plan_first_a,previous_plan_mean_a,previous_plan_last_a,previous_plan_range_a,active_voltage,active_temperature,active_slew,active_mode,split,previous_plan_block_00_a,previous_plan_block_01_a,previous_plan_block_02_a,previous_plan_block_03_a,previous_plan_block_04_a,previous_plan_block_05_a,previous_plan_block_06_a,previous_plan_block_07_a,previous_plan_block_08_a,previous_plan_block_09_a,previous_plan_block_10_a,previous_plan_block_11_a,current_plan_block_00_a,current_plan_block_01_a,current_plan_block_02_a,current_plan_block_03_a,current_plan_block_04_a,current_plan_block_05_a,current_plan_block_06_a,current_plan_block_07_a,current_plan_block_08_a,current_plan_block_09_a,current_plan_block_10_a,current_plan_block_11_a
state_052,phase6r_ic_0138,3,0.4796219840256037,0.0594799370627152,0.0465570256273467,32.6842081698108,32.67595518850162,25.0,5.3938309822315205,32.68255757354896,5.358407251814685,1.0,5.3938309822315205,4.423424619312308,4.056046198712984,1.5893886986539485,0.0,1.0,0.0,temperature,validation,5.3938309822315205,5.235295855914227,4.974169666446585,4.74599854777806,4.539732514387498,4.353428222365853,4.18607627198287,4.037095340588052,3.923075860126093,3.831903687636384,3.804442283577572,4.056046198712984,5.358407251814685,5.199603900257492,4.938892487983472,4.711127213274396,4.505337286048844,4.319602972713647,4.1529692346937,4.005074766214875,3.89330986939848,3.8338507224707934,3.80637857708518,4.0579434165499375
state_053,phase6r_ic_0139,3,0.4852780132769268,0.0544346386425519,0.0789278059139143,26.642613293389864,26.63544082423041,25.0,8.677386260395574,26.641178799557974,8.591340781074452,1.0,8.677386260395574,6.660318874165604,6.034765252219168,2.9965089869226853,0.0,1.0,0.0,temperature,train,8.677386260395574,7.874166357975641,7.428705283852958,7.076737032047896,6.768635178731353,6.495217695206778,6.254034035365946,6.043219387691453,5.864035776947126,5.726046956080457,5.6808772734728885,6.034765252219168,8.591340781074452,7.78988564020185,7.345383987438007,6.9941687266120285,6.686789314757035,6.414093699697314,6.173636856220579,5.963561314816195,5.785129643563951,5.647898071970679,5.603505635007687,5.958205633626019
state_054,phase6r_ic_0141,5,0.4936008626157149,0.0609346358259125,0.0623139835682403,29.83677520227991,29.82884066443094,25.0,7.2495314624402525,29.835188294710115,7.013207265032975,1.0,7.2495314624402525,5.59514576801488,5.0739636564026975,2.4816926022697547,0.0,1.0,0.0,temperature,train,7.2495314624402525,6.631198904052766,6.281403310629574,5.970383302625918,5.694783699041753,5.4526509865792026,5.242298624054223,5.062740726057377,4.913698588862024,4.801257095262264,4.767838860170498,5.0739636564026975,7.013207265032975,6.536338707940989,6.203992896202462,5.910662086335526,5.651165429351316,5.421717671676329,5.219960193103295,5.044406327082607,4.895486154845282,4.780886965244044,4.743989764326625,5.041611284496407
state_055,phase6r_ic_0147,1,0.5013453491526839,0.0262053403288248,0.0478426045088757,30.44916907155055,30.44207721188186,25.0,6.718256949661906,30.44775069961681,7.19538797099588,1.0,6.718256949661906,5.446010890316732,4.907373212649278,2.097696827865045,0.0,1.0,0.0,temperature,train,6.718256949661906,6.662278944771449,6.196362389791522,5.852045936501227,5.572343830236369,5.329226538035088,5.117248494865996,4.934355555424133,4.780362473940326,4.661716236126625,4.620560121796861,4.907373212649278,7.19538797099588,6.506591818160762,6.064431779911901,5.745824953490653,5.475857904791253,5.238934963394834,5.031157974832366,4.851041323270469,4.699200898958544,4.581930948451454,4.541882141193876,4.826275659366808
state_056,phase6r_ic_0148,4,0.5082907943977163,0.0529455450418899,0.0771160718513814,32.20039494508225,32.19217574771917,25.0,5.448910077469606,32.19875110560964,5.420431528511337,1.0,5.448910077469606,4.50482834051371,4.196671625394345,1.5144463638648888,0.0,1.0,0.0,temperature,train,5.448910077469606,5.277168996708507,5.0115848188696805,4.78605552952208,4.591226024664653,4.419435401104011,4.268754734845782,4.139551921490706,4.03210827895629,3.95200896353415,3.9344637136047176,4.196671625394345,5.420431528511337,5.248466206584717,4.983321949000787,4.758168674429849,4.56365157358332,4.392141499514566,4.241720278560981,4.112750103349069,4.005521532910193,3.925627256741099,3.9082931190999615,4.170704982927757
state_057,phase6r_ic_0150,4,0.5165732434121139,0.0760419920669121,0.0645971931222475,28.09055724614336,28.08287875109536,25.0,7.958999254640064,28.08902154713376,7.885046383072481,1.0,7.958999254640064,6.219732191666516,5.552018383891549,2.751910800330694,0.0,1.0,0.0,temperature,train,7.958999254640064,7.548639709089952,7.106884466739044,6.719218846933545,6.378011579875501,6.080041379351907,5.81956449579666,5.59826356890726,5.408555783663815,5.2595003767995285,5.20708845430937,5.552018383891549,7.885046383072481,7.474987746377482,7.0342793980728056,6.647673585210439,6.307494798530289,6.010498498699012,5.750957014720697,5.530523336485711,5.341682403654819,5.193476562114276,5.141808233171538,5.487199443937878
state_058,phase6r_ic_0153,7,0.5270561885028824,0.0553674135942216,0.0502278364679948,30.94025937246908,30.93223205214901,25.0,6.763906430640599,30.93865390840507,6.710980040700207,1.0,6.763906430640599,5.211442401890149,4.668783226658309,2.3604356607427937,0.0,1.0,0.0,temperature,train,6.763906430640599,6.232530650705367,5.876196999525065,5.580226522224264,5.3190898395122215,5.088456870969889,4.8860339391345216,4.710499090463992,4.561860259777455,4.446254223172284,4.4034707698978055,4.668783226658309,6.710980040700207,6.180583629419273,5.824857022712672,5.529392495609323,5.268752271390556,5.03861268852894,4.836679950304608,4.661630805655538,4.513480603989874,4.398367773718638,4.356092671020793,4.621947741420061
state_059,phase6r_ic_0158,5,0.5374442451810727,0.0614705703018151,0.038796107267263,32.25787206719055,32.24969158281181,25.0,5.814851928127903,32.2562359703148,5.88931373248712,1.0,5.814851928127903,4.670150805935952,4.169669551096956,1.8903251533997325,0.0,1.0,0.0,temperature,train,5.814851928127903,5.7108917169775815,5.383421129438558,5.062143663436439,4.796904525090118,4.568433923617798,4.372304689769895,4.206045708863098,4.068867713160279,3.963748346924629,3.92452677472817,4.169669551096956,5.88931373248712,5.585495043997127,5.265439093314357,4.99005901248752,4.752592060694083,4.5431638246789285,4.359439593820808,4.198703157779118,4.061792904304651,3.95443092017128,3.911909156722434,4.144861332143575
state_060,phase6r_ic_0163,4,0.5499714698417392,0.0436385281848366,0.0656331350894269,32.0697714548475,32.06142726126235,25.0,6.099241296585857,32.06810261613047,5.880667568923665,1.0,6.099241296585857,4.635886422355482,4.161350964143091,2.184905893648767,0.0,1.0,0.0,temperature,train,6.099241296585857,5.503310169549343,5.20754956114807,4.952300433641801,4.725924496355259,4.524553397665613,4.346147455192906,4.189519245934311,4.055597518094708,3.950807127017737,3.91433540293709,4.161350964143091,5.880667568923665,5.426042650643358,5.148675779266187,4.907981518116006,4.693622078982951,4.502632043875516,4.333752450228979,4.185913668454597,4.060032485814562,3.96173238384496,3.926812023721052,4.165387187751403
state_061,phase6r_ic_0167,4,0.561340182297767,0.0474806551615243,0.0316442628752061,30.33519279500917,30.32722367120215,25.0,7.747734977237625,30.33359897024777,7.674466676491694,1.0,7.747734977237625,5.5729938309190645,4.791018310185274,3.212246440814772,0.0,1.0,0.0,temperature,train,7.747734977237625,6.9456063528354655,6.388336404695663,5.991644591359192,5.667308676873323,5.388559777450204,5.142665552264058,4.928547026144716,4.7465387268312735,4.602477038729127,4.535488536422854,4.791018310185274,7.674466676491694,6.874062804446071,6.318653013725266,5.923173553334237,5.5997919796887805,5.321904129155006,5.076872879270693,4.863616666921234,4.68246287882476,4.53925066295297,4.473121455627118,4.72948707110656
state_062,phase6r_ic_0172,3,0.572171689530901,0.0583089840426134,0.0668268501409698,31.715409997139524,31.707207125628337,25.0,5.942494802496658,31.713769422837288,5.904812606514127,1.0,5.942494802496658,4.777143035179718,4.252074839016644,1.919248654494316,0.0,1.0,0.0,temperature,train,5.942494802496658,5.739123086356645,5.432672432057073,5.156179985032786,4.914321053904192,4.689783318055636,4.511323528531741,4.347608579941871,4.220035363619236,4.096853285141791,4.023246148002342,4.252074839016644,5.904812606514127,5.701156363379344,5.39516676420287,5.119187304861201,4.877811231228503,4.653799597395144,4.475719711816597,4.312424823051932,4.185195120776446,4.062545655834506,3.9896137562905087,4.21897849608441
state_063,phase6r_ic_0178,4,0.5896276789279661,0.0577738193047516,0.0844164804874538,31.89303576213294,31.884699023447936,25.0,5.677568039399468,31.89136841439594,5.64383061301028,1.0,5.677568039399468,4.605303034168102,4.130199886226376,1.7876508109505322,0.0,1.0,0.0,temperature,train,5.677568039399468,5.536069084505207,5.234093169348924,4.973808732317287,4.748883683857193,4.543416925453105,4.357331883415248,4.191365509768522,4.04751885738975,3.933463409887211,3.889917228448936,4.130199886226376,5.64383061301028,5.502087249151341,5.200716624306116,4.9409893443206165,4.716555219459564,4.511586909123411,4.3260071667799584,4.160548538031645,4.017203212210441,3.90363010713536,3.860511572833107,4.10114697717084
state_064,phase6r_ic_0001,0,0.1040625,0.0225,0.06,28.36,27.4,25.0,1.8181818181818183,28.168,3.818181818181816,0.0,1.8181818181818183,1.818181818181819,1.8181818181818183,0.0,0.0,1.0,1.0,temperature+slew,train,1.8181818181818183,1.8181818181818183,1.8181818181818183,1.8181818181818183,1.8181818181818183,1.8181818181818183,1.8181818181818183,1.8181818181818183,1.8181818181818183,1.8181818181818183,1.8181818181818183,1.8181818181818183,3.818181818181816,5.818181818181814,7.590359142090871,7.074076111084844,6.717231831122601,6.450570647499351,6.230169761485902,6.046242225838819,5.8976352220180654,5.792009101629344,5.781682803864852,6.18533871077814
state_065,phase6r_ic_0014,1,0.1408594467401285,0.0762630901613067,0.0254799570549738,26.2083720437208,26.204640986865595,25.0,5.719008264462807,26.20762583234976,7.719008264462808,1.0,5.719008264462807,6.989423507499573,6.743214335745975,2.708346253459692,0.0,1.0,1.0,temperature+slew,train,5.719008264462807,7.719008264462809,8.427354517922499,7.893283860738375,7.497172857977464,7.171938954847077,6.897127241260972,6.666637872342925,6.47933770545738,6.343171537187947,6.315826677588666,6.743214335745975,7.719008264462808,8.479266138701494,7.961583913865332,7.517983603781591,7.175774973354875,6.884851359164615,6.635853392716847,6.426081773601828,6.2550277851023495,6.131050563822292,6.109200074112995,6.521444102815157
state_066,phase6r_ic_0033,0,0.1907291666666666,0.02390625,0.0511111111111111,32.1232,32.885714285714286,25.0,1.15702479338843,32.27570285714285,3.1570247933884312,0.0,1.15702479338843,1.15702479338843,1.15702479338843,0.0,0.0,1.0,1.0,temperature+slew,train,1.15702479338843,1.15702479338843,1.15702479338843,1.15702479338843,1.15702479338843,1.15702479338843,1.15702479338843,1.15702479338843,1.15702479338843,1.15702479338843,1.15702479338843,1.15702479338843,3.1570247933884312,5.157024793388436,5.422964854835698,5.115639867143008,4.890240634067425,4.707506611064471,4.553945485250486,4.422954667615597,4.31523544978879,4.237719458857205,4.23008755268079,4.525326547853275
state_067,phase6r_ic_0046,0,0.2259375,0.08578125,0.0677777777777777,29.7712,32.028571428571425,25.0,3.057851239669421,30.222674285714284,5.057851239669416,0.0,3.057851239669421,3.057851239669421,3.057851239669421,0.0,0.0,1.0,1.0,temperature+slew,train,3.057851239669421,3.057851239669421,3.057851239669421,3.057851239669421,3.057851239669421,3.057851239669421,3.057851239669421,3.057851239669421,3.057851239669421,3.057851239669421,3.057851239669421,3.057851239669421,5.057851239669416,6.35072489542042,6.047581664045604,5.7708833134636,5.537387418890661,5.344521664038329,5.178419381634986,5.037684903088135,4.922861768598069,4.841243304149525,4.837405725899496,5.177845533949127
state_068,phase6r_ic_0059,1,0.2630787993572084,0.031755496014405,0.0250357277350619,26.740531246094022,26.736224778949232,25.0,6.958677685950418,26.739669952665068,8.958677685950418,1.0,6.958677685950418,6.8912560494875175,6.416173685059944,2.660512252306318,0.0,1.0,1.0,temperature+slew,validation,6.958677685950418,8.67512808448212,7.991892809409305,7.516161298941908,7.146546611447557,6.835593502244145,6.572005881615886,6.351771644130049,6.173292033345167,6.043213525047904,6.014615832175802,6.416173685059944,8.958677685950418,8.21635168366071,7.650075733248011,7.255688486115865,6.924726260746828,6.6386210832765125,6.3922037935011655,6.183480053971073,6.01226645941762,5.886450061309409,5.859435130550443,6.248816288251438
state_069,phase6r_ic_0077,1,0.3108646120293848,0.0379947005622433,0.0297189453624136,29.585629275121757,29.58118158065785,25.0,3.4876033057851274,29.584739736228972,5.487603305785127,1.0,3.4876033057851274,5.752171358214262,5.698260632162988,3.842031357261525,0.0,1.0,1.0,temperature+slew,validation,3.4876033057851274,5.487603305785119,7.329634663046653,6.782487358297264,6.396375584691838,6.101716339658534,5.861183830524745,5.660438037377952,5.496949098370713,5.376820544849308,5.346983598020898,5.698260632162988,5.487603305785127,7.310777726739078,6.738377099687482,6.352064246160055,6.059484309918154,5.808020502047379,5.590469488428032,5.405146675035871,5.252300827887725,5.139233380295941,5.1129666628080015,5.451845714276159
state_070,phase6r_ic_0091,0,0.3478124999999999,0.020390625,0.0637037037037037,29.5696,27.253061224489795,25.0,4.297520661157025,29.10629224489796,6.2975206611570265,0.0,4.297520661157025,4.297520661157024,4.297520661157025,0.0,0.0,1.0,1.0,temperature+slew,train,4.297520661157025,4.297520661157025,4.297520661157025,4.297520661157025,4.297520661157025,4.297520661157025,4.297520661157025,4.297520661157025,4.297520661157025,4.297520661157025,4.297520661157025,4.297520661157025,6.2975206611570265,7.056165337080455,6.589347092702775,6.251786673424156,5.988787824647867,5.763010782476049,5.567650327909438,5.401266916941879,5.264285787395578,5.163994313365565,5.147602860955567,5.498089143567632
state_071,phase6r_ic_0110,0,0.3992708333333333,0.086484375,0.0114814814814814,27.6208,32.42040816326531,25.0,1.7355371900826446,28.58072163265306,3.735537190082644,0.0,1.7355371900826446,1.7355371900826448,1.7355371900826446,0.0,0.0,1.0,1.0,temperature+slew,train,1.7355371900826446,1.7355371900826446,1.7355371900826446,1.7355371900826446,1.7355371900826446,1.7355371900826446,1.7355371900826446,1.7355371900826446,1.7355371900826446,1.7355371900826446,1.7355371900826446,1.7355371900826446,3.735537190082644,5.735537190082641,7.735537190082638,7.513901554226479,7.063421109030638,6.68377525974662,6.3672312382508585,6.094717039580229,5.864514597904821,5.6880305260642805,5.626136893177768,5.985085606254433
state_072,phase6r_ic_0123,0,0.4344791666666666,0.021796875,0.0548148148148148,33.3328,31.56326530612245,25.0,2.7347858752817427,32.97889306122449,4.734785875281744,0.0,2.7347858752817427,2.734785875281743,2.7347858752817427,0.0,0.0,1.0,1.0,temperature+slew,test,2.7347858752817427,2.7347858752817427,2.7347858752817427,2.7347858752817427,2.7347858752817427,2.7347858752817427,2.7347858752817427,2.7347858752817427,2.7347858752817427,2.7347858752817427,2.7347858752817427,2.7347858752817427,4.734785875281744,5.017444892397651,4.7230257880732776,4.487641538683187,4.287076548270271,4.123507975872194,3.977419822972468,3.887312080674985,3.885746314460929,3.8354562068984417,3.81029162305768,4.064902611040577
state_073,phase6r_ic_0135,1,0.46856986705902,0.0176154469293112,0.0344404858384123,27.850135629266237,27.845944665763263,25.0,5.726521412471821,27.84929743656564,7.726521412471821,1.0,5.726521412471821,6.447734475494696,5.976780450434445,2.1484207909271973,0.0,1.0,1.0,temperature+slew,train,5.726521412471821,7.726521412471823,7.779063014194356,7.272056021284141,6.880489177711447,6.553649665413941,6.273000553997583,6.0341281126493325,5.835623632326866,5.684338029713435,5.630642223267159,5.976780450434445,7.726521412471821,7.970846314000313,7.402125469876891,6.957895446568853,6.6094897245827,6.31128843690515,6.052733469117944,5.830864450212347,5.645101802251849,5.502375413348025,5.452135001632046,5.787232172578452
state_074,phase6r_ic_0156,0,0.5238541666666667,0.0650390625,0.0492592592592592,28.77664,28.844897959183672,25.0,2.982719759579264,28.79029159183673,4.982719759579264,0.0,2.982719759579264,2.9827197595792634,2.982719759579264,0.0,0.0,1.0,1.0,temperature+slew,test,2.982719759579264,2.982719759579264,2.982719759579264,2.982719759579264,2.982719759579264,2.982719759579264,2.982719759579264,2.982719759579264,2.982719759579264,2.982719759579264,2.982719759579264,2.982719759579264,4.982719759579264,6.982719759579264,7.158540084037021,7.014174398262036,6.572628564422607,6.166381539672274,5.863422969865905,5.61535349941716,5.413562637063468,5.264027729162674,5.205481230354546,5.40944823749382
state_075,phase6r_ic_0169,7,0.5738296846532043,0.0639141978692177,0.08852025636617,27.86608098551441,27.85894494366064,25.0,7.4147488301838465,27.864653777143666,7.321258373678299,1.0,7.4147488301838465,5.803036866091599,4.630016414775685,2.784732415408161,1.0,0.0,0.0,voltage,test,7.4147488301838465,6.970197208378674,6.626649483420139,6.3248941160439776,6.050049609823055,5.797790898566003,5.565227346244782,5.350071510438501,5.150432947267842,4.964730468463049,4.791633559493636,4.630016414775685,7.321258373678299,6.90060669068918,6.5665703364735295,6.270127556368744,5.99971782978219,5.751332003389732,5.522200355082148,5.310111320560703,5.113233037281692,4.930031904499335,4.75921643024207,4.599692861692412
state_076,phase6r_ic_0180,1,0.5907892196760999,0.0614997902164794,0.0397285490711641,28.435443207944537,28.429131450047496,25.0,6.96619083395942,28.434180856365128,8.120353646593973,1.0,6.96619083395942,5.7401869559664185,4.350246332979951,3.2920328469476354,1.0,0.0,0.0,voltage,train,6.96619083395942,7.642279179927586,6.97574655320799,6.478785017462725,6.066927732790382,5.715124159680677,5.410728445795349,5.144909436513135,4.910835284838408,4.703093985848215,4.51737650859319,4.350246332979951,8.120353646593973,7.344827964323847,6.787131010002432,6.33060995643795,5.943134747982296,5.609619640295245,5.319822683483872,5.065867768137951,4.841518978895439,4.641810522891666,4.462782861957837,4.301275370152712
state_077,phase6r_ic_0180,6,0.6016373210456522,0.0683622074431804,0.0522332695245793,29.156447775746493,29.148781879893235,25.0,7.52401288374133,29.154914596575843,7.398718726277481,1.0,7.52401288374133,5.474305036980607,4.187086076888429,3.336926806852901,1.0,0.0,0.0,voltage,train,7.52401288374133,6.912554015634864,6.432432651250622,6.02930127117656,5.6836648405742505,5.384082089588317,5.122120215400585,4.891167123133099,4.685968552134737,4.502337487088368,4.336933237156133,4.187086076888429,7.398718726277481,6.814445529445189,6.350208975967901,5.958929026120601,5.622780758391921,5.330942713875653,5.07535676164161,4.849690807740704,4.648911194245042,4.469006186420568,4.306774261445812,4.159655987349508
state_078,phase6r_ic_0184,7,0.6125659024739004,0.0589846059449227,0.0827025456253574,27.474924549921248,27.46922540435661,25.0,6.379169424639039,27.47378472080832,6.3078374207968935,1.0,6.379169424639039,5.0229722023877335,4.055257550479403,2.323911874159636,1.0,0.0,0.0,voltage,train,6.379169424639039,6.0206855763666445,5.720461703433782,5.455877453381677,5.218977073426374,5.005133360458537,4.810919436214422,4.633616053090674,4.471026861330974,4.321366268100513,4.183175667730765,4.055257550479403,6.3078374207968935,5.960310978459078,5.667124808365155,5.408091632131265,5.175832685469178,4.965944743855881,4.775139521695574,4.600801965169096,4.4408180554901175,4.293467919027004,4.157345515818829,4.031295433104219
state_079,phase6r_ic_0190,5,0.6247575684164152,0.0652559524944772,0.0675197488767605,28.53917535164469,28.53286241144176,25.0,6.319896603103911,28.53791276360411,6.251512621077759,1.0,6.319896603103911,4.8709816081474,3.8798008841612135,2.4400957189426973,1.0,0.0,0.0,voltage,train,6.319896603103911,5.948557080050543,5.610648075438319,5.314806329466981,5.056010783265159,4.828176763828835,4.626094498535335,4.445552276283234,4.283183511570201,4.136300170153717,4.002752321911358,3.8798008841612135,6.251512621077759,5.880418653633648,5.550090141235955,5.261747619577985,5.009348374240986,4.786850142693863,4.589227054199702,4.412439845261945,4.253263264596611,4.109121932392069,3.977955113042716,3.8565110228779775
