time_s,charge_current_a,ann_unclipped_current_a,ann_requested_current_a,safety_filtered_current_a,safety_filter_intervened,safety_override,target_current_cap_active,ann_inference_time_s,soc,terminal_voltage_v,average_temperature_c,source,anchor_temperature_c
2690.0,3.469602538094855,3.469602538094855,3.469602538094855,3.469602538094855,False,False,False,8.910000000000001e-05,0.6921497590829255,4.111986819408341,23.792804559958142,chen2020_dfn,15.0
2695.0,3.4677526777436167,3.4677526777436167,3.4677526777436167,3.4677526777436167,False,False,False,9.55e-05,0.6931130237156321,4.112980027160132,23.789289928237395,chen2020_dfn,15.0
2700.0,3.465903250783697,3.465903250783697,3.465903250783697,3.465903250783697,False,False,False,8.280000000000001e-05,0.6940757746186276,4.113975717122703,23.785743169066734,chen2020_dfn,15.0
2705.0,3.4640543762385367,3.4640543762385367,3.4640543762385367,3.4640543762385367,False,False,False,8.81e-05,0.6950380119453604,4.114973844742622,23.782163941068973,chen2020_dfn,15.0
2710.0,3.4622061705381597,3.4622061705381597,3.4622061705381597,3.4622061705381597,False,False,False,8.48e-05,0.6959997358816209,4.1159743599940715,23.778551907548433,chen2020_dfn,15.0
2715.0,3.46035874688321,3.46035874688321,3.46035874688321,3.46035874688321,False,False,False,9.1e-05,0.6969609466446439,4.11697720699809,23.774906737796755,chen2020_dfn,15.0
2720.0,3.4585122145643723,3.4585122145643723,3.4585122145643723,3.4585122145643723,False,False,False,9.03e-05,0.697921644482023,4.117982323639776,23.77122810850358,chen2020_dfn,15.0
2725.0,3.4566666782385798,3.4566666782385798,3.4566666782385798,3.4566666782385798,False,False,False,8.6e-05,0.6988818296704226,4.1189896411838784,23.76751570526909,chen2020_dfn,15.0
2730.0,3.4548222371650454,3.4548222371650454,3.4548222371650454,3.4548222371650454,False,False,False,9.94e-05,0.6998415025140795,4.1199990838958875,23.763769224219402,chen2020_dfn,15.0
2735.0,3.4529789844022174,3.4529789844022174,3.4529789844022174,3.4529789844022174,False,False,False,8.5e-05,0.7008006633430801,4.121010568670936,23.75998837371361,chen2020_dfn,15.0
