scenario_id,scenario_kind,initial_soc,ambient_temperature_c,capacity_multiplier,resistance_multiplier,time_constant_multiplier,heat_capacity_multiplier,thermal_resistance_multiplier,heat_gain_multiplier,soc_bias,temperature_bias_c,polarization_fast_bias_v,polarization_slow_bias_v,noise_scale,controller_declared_complete,true_target_acceptable,completion_success,physical_safe,charge_time_min,final_true_soc,terminal_true_soc_error,maximum_voltage_v,maximum_temperature_c,maximum_current_a,maximum_current_change_a,material_intervention_fraction,mean_filter_correction_a
lhs_020,latin_hypercube,0.28409581349941826,21.681944946373104,0.9281308062062747,0.9867268224540016,1.1871713141523297,1.0982282068841336,1.1156674598959173,1.0019539041793244,-0.0009176498179950081,0.3552902640707848,-0.004992323419911786,-0.001308190158743013,1.0,True,True,True,True,54.083333333333336,0.8013582680648347,0.0013582680648346335,4.1460222040540495,25.523218452007605,7.233478933234249,2.0,0.01694915254237288,0.0054599581245965275
lhs_021,latin_hypercube,0.22929356684655658,21.46449446821299,0.9535885261913543,1.1727289005392154,0.8301440122752738,0.9053621106878601,0.877289321043629,1.0679086191279266,-0.004455518061003198,0.017842103824170952,0.0032002267299580537,0.002199824605516254,1.0,True,True,True,True,53.166666666666664,0.8052600088090659,0.0052600088090658526,4.158475178501985,29.030510040447574,8.330452650181286,2.0,0.09561128526645768,0.06602829328500497
lhs_022,latin_hypercube,0.1788760671298753,21.32608271434539,0.9818304603007191,1.0958177988192825,1.1145970790505328,1.1024037007769034,0.8072645014937778,0.9566431846237256,0.003228104888298459,-0.1262005753825854,-0.0013416595499396301,-0.004006113537347066,1.0,True,True,True,True,57.0,0.7998641713524393,-0.00013582864756078727,4.150851735778784,26.844916295064326,8.345005604358407,2.0,0.07309941520467836,0.05418085330459929
lhs_023,latin_hypercube,0.279712153661873,27.144689947363393,1.0937660323036609,0.8721678669612984,0.9012062074987884,0.9851149120067655,1.0166915795256066,1.0613180118262964,0.0007384778607524532,0.10163709769261575,0.0029040407034664735,-0.0002884262763881264,1.0,True,True,True,False,50.083333333333336,0.7984134282405543,-0.0015865717594457651,4.13673936387378,33.81074416034642,8.252782893723118,6.2507024496939945,0.480865224625624,0.7777309279090941
lhs_024,latin_hypercube,0.10539608808357649,22.555392165597958,1.036243493957854,0.8426001244345329,0.937818901247141,1.077825499761521,1.005000411620086,0.9537462747838156,-0.004907299988119037,0.1584800730343694,0.000892042309199835,0.004172448353023693,1.0,False,False,False,True,60.0,0.684189639725377,-0.11581036027462299,4.039046206643716,27.59461228865991,8.29350456371281,2.0,0.002777777777777778,0.0018665589631997627
lhs_025,latin_hypercube,0.11816814440882864,16.03793049679631,1.0725541320192105,1.1934171084092402,1.0973276956880995,0.9612596038363681,0.9908634599450478,0.9982481914848091,-0.0012796287645606445,-0.3378662678293515,-0.0003376397909297226,-0.0033867559790081714,1.0,False,True,False,True,60.0,0.798075983115458,-0.0019240168845420236,4.1660246023197125,26.756115935182258,8.937311386879056,2.0,0.1388888888888889,0.14260807105783457
lhs_026,latin_hypercube,0.12295310977789299,29.641133596815408,0.9610812910333578,0.9262684388590544,0.8675130400348059,1.0130322781801913,1.0340171547158907,1.0760489415235335,0.002374604342582672,-0.23393543270729494,-0.004247404682269364,0.004634076062451242,1.0,False,False,False,False,60.0,0.6522056119756179,-0.14779438802438216,4.083305394420072,34.026126535957296,8.312961576669899,5.549571681129763,0.24305555555555555,0.5118080876668081
lhs_027,latin_hypercube,0.17166450357845653,22.734923807590047,0.9570051359440009,0.8572236068968055,0.8815263402549289,1.0428965004986546,1.1596184360279762,0.9392102657483503,-0.001713636531009617,0.26000134132079733,-0.0017490238201177582,0.003058984845779264,1.0,False,False,False,True,60.0,0.7288717389271867,-0.07112826107281334,4.069919353580742,26.723948514977607,8.339878180612788,2.0,0.001388888888888889,0.0010319972329764263
lhs_028,latin_hypercube,0.1988903796003818,18.30658870677393,1.0248841323337003,1.148793965313415,0.896253953413829,1.0882588417808354,1.0870151926526501,1.0334124701824106,0.0022998725789072196,0.197144380444358,0.0027859446795798675,0.0010145175508070184,1.0,True,True,True,True,55.916666666666664,0.7963301690548199,-0.0036698309451801414,4.152010760943043,27.32016656344346,8.659022550990667,2.0,0.10283159463487332,0.05726516475439816
lhs_029,latin_hypercube,0.1558675049108427,16.492190021032656,1.0506152440303194,1.0075794728496186,1.0502644090304853,0.9281905451777785,0.8310034679371529,0.9039280441658301,-0.0014188637127945719,-0.36280919223140795,0.0038083266878005334,-0.002823177855077843,1.0,True,True,True,True,49.916666666666664,0.7996729186315691,-0.00032708136843095925,4.147721865853701,24.85107068877657,6.0281312926511506,2.0,0.18363939899833054,0.23764371676874607
lhs_030,latin_hypercube,0.21832234428103825,28.17077798743258,1.054072629815687,0.9775646891225285,1.021572953366921,1.142035774286335,0.9459452240117283,0.9719529489021009,0.00374407719830049,0.4141163495130348,-0.0018796646427668116,-0.0021944164612354455,1.0,False,False,False,False,60.0,0.7843909233503735,-0.015609076649626519,4.140870282093373,33.59255977817607,8.063845600381542,6.080554462087409,0.38472222222222224,0.7881238323430564
lhs_031,latin_hypercube,0.1573377667908426,19.08196353646673,0.9211505520444417,1.074742708041101,0.8418235118182568,1.0226238793840432,0.8327831894590005,1.0967936172403137,0.004689204054125386,0.14795114759020978,0.004952534094434442,0.0004728612871811519,1.0,True,True,True,True,50.833333333333336,0.7949598666196703,-0.005040133380329714,4.141302239212126,27.643363624246465,8.54956031203722,2.0,0.12131147540983607,0.11133800959749537
lhs_032,latin_hypercube,0.23487128536936733,28.433930120627593,0.9454892144294536,1.0195116235396622,0.9293550758461029,1.148485607093304,1.178798149659868,0.9704375105185126,0.0015609329352512967,-0.15234225830411924,0.00030002914531983196,0.0038187750446151162,1.0,False,True,False,False,60.0,0.7941028289989462,-0.0058971710010538025,4.142369775150295,33.91838107045852,8.022480515095896,6.585754728268547,0.4166666666666667,0.9591408705578011
lhs_033,latin_hypercube,0.16787894911634021,26.01535028958154,1.0121174506712112,0.9151913849576042,1.1037248901488184,0.8930999618995831,1.121627334179832,0.914378831175437,-0.004019366697813049,-0.21038397261858577,0.0013952697955189929,-0.004669096226870152,1.0,True,True,True,False,51.083333333333336,0.8030287464645326,0.00302874646453255,4.147528637598206,34.12507888203074,8.307773162696781,6.168636827626105,0.42414355628058725,0.6066389716436591
lhs_034,latin_hypercube,0.13707452025367658,26.632762770207165,1.0870410421315313,1.081881071339322,1.1302327633243974,0.9131572380719233,0.9733246721245231,0.9895895232425405,0.0042960687131519465,0.006622188470843393,0.0015123922331544137,-0.0034429075670295824,1.0,False,False,False,False,60.0,0.7585349657659161,-0.041465034234083986,4.14895537127224,33.86736457595492,8.631316771335651,6.674676683626018,0.48055555555555557,0.8934378371028288
