scenario_id,time_s,true_soc,estimated_soc,charge_current_a,terminal_voltage_v,true_average_temperature_c,estimated_average_temperature_c,ann_requested_current_a,safety_filtered_current_a,filter_correction_a
nominal,1650.0,0.5155666966772241,0.5144778345450235,3.9199036759221073,3.944752830051312,33.49979347483165,33.49978479308136,3.9199036759221073,3.9199036759221073,0.0
nominal,1655.0,0.516655564695505,0.5155666966772241,3.9199248658113146,3.945694807969859,33.499802641801395,33.49979347483165,3.9199248658113146,3.9199248658113146,0.0
nominal,1660.0,0.5177444382133459,0.516655564695505,3.9199446642273954,3.9466368761656807,33.499812261067405,33.499802641801395,3.9199446642273954,3.9199446642273954,0.0
nominal,1665.0,0.5188333168364995,0.5177444382133459,3.919963043352595,3.947579071198275,33.49982229894717,33.499812261067405,3.919963043352595,3.919963043352595,0.0
nominal,1670.0,0.5199222001646032,0.5188333168364995,3.919979981173677,3.9485214298154245,33.499832721142035,33.49982229894717,3.919979981173677,3.919979981173677,0.0
nominal,1675.0,0.5210110877927838,0.5199222001646032,3.919995461449992,3.9494639889566443,33.49984349287974,33.499832721142035,3.919995461449992,3.919995461449992,0.0
nominal,1680.0,0.5220999793132409,0.5210110877927838,3.9200094736456763,3.950406785755427,33.4998545790555,33.49984349287974,3.9200094736456763,3.9200094736456763,0.0
nominal,1685.0,0.5231888743168062,0.5220999793132409,3.9200220128350445,3.951349857540512,33.49986594437093,33.4998545790555,3.9200220128350445,3.9200220128350445,0.0
nominal,1690.0,0.524277772394466,0.5231888743168062,3.9200330795755036,3.9522932418359935,33.49987755347008,33.49986594437093,3.9200330795755036,3.9200330795755036,0.0
nominal,1695.0,0.5253666731388422,0.524277772394466,3.9200426797541,3.953236976360431,33.49988937107188,33.49987755347008,3.9200426797541,3.9200426797541,0.0
nominal,1700.0,0.5264555761456223,0.5253666731388422,3.9200508244085466,3.954181099024954,33.49990136209848,33.49988937107188,3.9200508244085466,3.9200508244085466,0.0
nominal,1705.0,0.5275444810149342,0.5264555761456223,3.9200575295229774,3.9551256479303722,33.49991349179872,33.49990136209848,3.9200575295229774,3.9200575295229774,0.0
nominal,1710.0,0.5286333873526573,0.5275444810149342,3.9200628158028943,3.956070661363388,33.499925725866404,33.49991349179872,3.9200628158028943,3.9200628158028943,0.0
nominal,1715.0,0.5297222947716658,0.5286333873526573,3.920066708430584,3.9570161777919495,33.499938030552684,33.499925725866404,3.920066708430584,3.920066708430584,0.0
nominal,1720.0,0.5308112028930001,0.5297222947716658,3.9200692368035495,3.9579622358598088,33.4999503727723,33.499938030552684,3.9200692368035495,3.9200692368035495,0.0
nominal,1725.0,0.5319001113469611,0.5308112028930001,3.9200704342596637,3.9589088743803753,33.49996272020322,33.4999503727723,3.9200704342596637,3.9200704342596637,0.0
nominal,1730.0,0.5329890197741248,0.5319001113469611,3.9200703377892347,3.9598561323298918,33.49997504137949,33.49996272020322,3.9200703377892347,3.9200703377892347,0.0
nominal,1735.0,0.5340779278262741,0.5329890197741248,3.9200689877372294,3.9608040488400134,33.4999873057768,33.49997504137949,3.9200689877372294,3.9200689877372294,0.0
nominal,1740.0,0.535166835167247,0.5340779278262741,3.9200664275024173,3.961752663189969,33.49999948389094,33.4999873057768,3.9200664275024173,3.9200664275024173,0.0
nominal,1745.0,0.5362557207662255,0.535166835167247,3.9199881563229138,3.962700196818031,33.500009999998795,33.49999948389094,3.9200627032261393,3.9199881563229138,7.454690322550306e-05
nominal,1750.0,0.5373444668001081,0.5362557207662255,3.9194857219771713,3.9636380074525674,33.50000999999837,33.500009999998795,3.9201190272764124,3.9194857219771713,0.0006333052992411048
nominal,1755.0,0.5384332180565699,0.5373444668001081,3.91950452326238,3.9645881851362788,33.500009999998554,33.50000999999837,3.920586949764798,3.91950452326238,0.0010824265024180768
nominal,1760.0,0.5395219731836065,0.5384332180565699,3.919518457332132,3.965539433775264,33.500009999998504,33.500009999998554,3.92107260067012,3.919518457332132,0.0015541433379877567
nominal,1765.0,0.5406107312058163,0.5395219731836065,3.9195288799551466,3.9664917439553005,33.50000999999799,33.500009999998504,3.921543315969935,3.9195288799551466,0.0020144360147882345
