time_s,charge_current_a,terminal_voltage_v,soc,cell_temperature_c,ambient_temperature_c,discharge_capacity_ah,commanded_c_rate
180.0,7.5,3.750262413630648,0.17499999999999993,31.09966501416153,25.0,-0.3749999999999996,1.5
185.0,7.5,3.7525015188913535,0.17708333333333326,31.249137270291044,25.0,-0.3854166666666663,1.5
190.0,7.5,3.7547367831367033,0.17916666666666659,31.397454371724848,25.0,-0.3958333333333329,1.5
195.0,7.5,3.756970031021994,0.1812499999999999,31.54463752267094,25.0,-0.4062499999999996,1.5
200.0,7.5,3.759201916980798,0.18333333333333326,31.69070466373148,25.0,-0.4166666666666663,1.5
205.0,7.5,3.7614346167291637,0.1854166666666666,31.835677978179774,25.0,-0.4270833333333329,1.5
210.0,7.5,3.7636697954167433,0.18749999999999994,31.979578225381772,25.0,-0.4374999999999996,1.5
215.0,7.5,3.7659012576092428,0.18958333333333327,32.122413346246276,25.0,-0.44791666666666624,1.5
220.0,7.5,3.768127970266507,0.1916666666666666,32.26419970013171,25.0,-0.4583333333333329,1.5
225.0,7.5,3.770351362648156,0.19374999999999992,32.40495766173183,25.0,-0.4687499999999996,1.5
230.0,7.5,3.7725743544722476,0.19583333333333325,32.54469829996896,25.0,-0.47916666666666624,1.5
235.0,7.5,3.774804152816309,0.19791666666666657,32.68342477857823,25.0,-0.4895833333333329,1.5
240.0,7.5,3.7770388390825884,0.19999999999999993,32.82115708754145,25.0,-0.4999999999999996,1.5
245.0,7.5,3.779279630045835,0.20208333333333323,32.957908252765776,25.0,-0.5104166666666662,1.5
250.0,7.5,3.781508393790134,0.20416666666666655,33.093661665625405,25.0,-0.5208333333333328,1.5
255.0,7.5,3.7837310483158673,0.20624999999999993,33.228437552443495,25.0,-0.5312499999999996,1.5
260.0,7.5,3.7859455754737255,0.20833333333333326,33.3622439845044,25.0,-0.5416666666666662,1.5
265.0,7.5,3.7881605465928114,0.21041666666666659,33.495099731842515,25.0,-0.5520833333333328,1.5
270.0,7.5,3.7903778660758065,0.2124999999999999,33.62700266060125,25.0,-0.5624999999999994,1.5
275.0,7.5,3.7925939997075147,0.21458333333333324,33.75794753291035,25.0,-0.5729166666666662,1.5
280.0,7.5,3.7948090506368564,0.21666666666666656,33.887941478374955,25.0,-0.5833333333333327,1.5
285.0,7.5,3.7970232504517547,0.2187499999999999,34.017000504244436,25.0,-0.5937499999999994,1.5
290.0,7.5,3.7992364398067426,0.22083333333333321,34.145113596634076,25.0,-0.6041666666666661,1.5
295.0,7.5,3.8014486187018197,0.22291666666666654,34.272280755544216,25.0,-0.6145833333333327,1.5
300.0,7.5,3.8036565998960805,0.22499999999999987,34.398515098193684,25.0,-0.6249999999999993,1.5
305.0,7.5,3.8058619630927355,0.22708333333333322,34.52381012325014,25.0,-0.6354166666666661,1.5
310.0,7.5,3.8080647906963105,0.22916666666666655,34.648165491574275,25.0,-0.6458333333333327,1.5
315.0,7.5,3.8102643734277244,0.23124999999999987,34.77158207663075,25.0,-0.6562499999999993,1.5
320.0,7.5,3.8124605063183212,0.2333333333333332,34.89406013083476,25.0,-0.666666666666666,1.5
325.0,7.5,3.8146535219284834,0.23541666666666652,35.015599244644136,25.0,-0.6770833333333326,1.5
330.0,7.5,3.816843152011509,0.23749999999999985,35.13619824311775,25.0,-0.6874999999999992,1.5
335.0,7.5,3.819028314423549,0.23958333333333318,35.255852386382,25.0,-0.6979166666666659,1.5
340.0,7.5,3.8212092335172123,0.24166666666666653,35.374562657118645,25.0,-0.7083333333333326,1.5
345.0,7.5,3.823385665280104,0.24374999999999986,35.49232798653463,25.0,-0.7187499999999992,1.5
350.0,7.5,3.8255597928912044,0.24583333333333318,35.609141530835245,25.0,-0.7291666666666659,1.5
355.0,7.5,3.8277312101622583,0.2479166666666665,35.725002607091426,25.0,-0.7395833333333325,1.5
360.0,7.5,3.829900005368896,0.24999999999999986,35.83990935589918,25.0,-0.7499999999999992,1.5
365.0,7.5,3.8320662133146515,0.25208333333333316,35.953858247818175,25.0,-0.7604166666666657,1.5
370.0,7.5,3.8342298694786354,0.25416666666666654,36.066845757453905,25.0,-0.7708333333333325,1.5
375.0,7.5,3.8363912517695447,0.25624999999999987,36.17886981113753,25.0,-0.7812499999999991,1.5
380.0,7.5,3.838550534027691,0.2583333333333332,36.289927738538495,25.0,-0.7916666666666657,1.5
385.0,7.5,3.840707917411007,0.2604166666666665,36.40001715681677,25.0,-0.8020833333333324,1.5
390.0,7.5,3.84286356286108,0.26249999999999984,36.50913525989574,25.0,-0.8124999999999991,1.5
395.0,7.5,3.8450176453853127,0.26458333333333317,36.61727938972717,25.0,-0.8229166666666657,1.5
400.0,7.5,3.847171523591741,0.2666666666666665,36.72445119552174,25.0,-0.8333333333333324,1.5
405.0,7.5,3.849325430807,0.2687499999999998,36.83064823146191,25.0,-0.8437499999999991,1.5
410.0,7.5,3.851479667560734,0.27083333333333315,36.93586829628947,25.0,-0.8541666666666657,1.5
415.0,7.5,3.853634671649963,0.2729166666666665,37.04010968827777,25.0,-0.8645833333333324,1.5
420.0,7.5,3.8557908808717087,0.2749999999999998,37.143370705700534,25.0,-0.8749999999999991,1.5
425.0,7.5,3.857948733022992,0.2770833333333331,37.24564964683111,25.0,-0.8854166666666657,1.5
430.0,7.5,3.8601086706484558,0.2791666666666665,37.34694703719964,25.0,-0.8958333333333325,1.5
