seed,trajectory_id,mpc_steps,dnn_steps,signed_step_difference,discrete_arrival_time_difference_s,discrete_arrival_time_gap_fraction,mpc_cumulative_charge_ah,dnn_cumulative_charge_ah,cumulative_charge_error_ah,mpc_continuous_crossing_time_s,dnn_continuous_crossing_time_s,continuous_crossing_time_difference_s,continuous_crossing_time_gap_fraction
42,closed_04,193,194,1,5.0,0.0051813471502590676,1.2787566432138195,1.278778410271144,2.176705732437334e-05,964.7187546217601,968.6259328840214,3.9071782622612545,0.004050069767528416
42,closed_05,186,187,1,5.0,0.005376344086021506,1.1746466881989253,1.1746610925460719,1.440434714661265e-05,927.2553537178187,931.1460530645561,3.8906993467373923,0.004195930852421269
42,closed_06,178,179,1,5.0,0.0056179775280898875,1.070423325140364,1.0704463090193093,2.2983878945170844e-05,889.7181038677412,893.5654778655952,3.8473739978539925,0.004324261787108599
42,closed_07,171,172,1,5.0,0.005847953216374269,0.9663192860781668,0.9663412742160934,2.1988137926642892e-05,851.9910318192724,855.4453283844302,3.454296565157847,0.0040543813680548055
42,closed_08,163,164,1,5.0,0.006134969325153374,0.8621483154830204,0.8621689899574813,2.0674474460857795e-05,812.1829199530239,815.7377477122299,3.5548277592059776,0.004376880714767538
42,closed_09,154,155,1,5.0,0.006493506493506494,0.7579285011200816,0.7579520788100164,2.3577689934772827e-05,769.4979414153221,773.2813955345403,3.783454119218163,0.0049167826391573344
42,closed_10,145,146,1,5.0,0.006896551724137931,0.6537781021703063,0.6538036937984277,2.5591628121435228e-05,723.7999386937719,727.3705451661899,3.570606472418035,0.004933140059201775
42,closed_11,135,136,1,5.0,0.007407407407407408,0.5495922466996305,0.5496265743523451,3.432765271460525e-05,674.6222993533438,677.8933467620318,3.2710474086879913,0.004848709287883664
73,closed_00,223,222,-1,-5.0,0.004484304932735426,1.6954232744182285,1.6954296205823847,6.346164156179057e-06,1114.7202579701402,1109.5456897748452,-5.1745681952950235,0.0046420329749077135
73,closed_01,216,215,-1,-5.0,0.004629629629629629,1.5913135134495906,1.5913321018441826,1.858839459201178e-05,1077.2483105853041,1072.0611678475261,-5.187142737778004,0.004815178345426841
73,closed_02,208,207,-1,-5.0,0.004807692307692308,1.4870899485474156,1.487096287323847,6.338776431302762e-06,1039.7199406117943,1034.545687141569,-5.174253470225267,0.004976583855052949
73,closed_03,201,200,-1,-5.0,0.004975124378109453,1.3829798898145629,1.3829987705654194,1.8880750856542505e-05,1002.2612222344686,997.061092502652,-5.2001297318166735,0.005188397611775662
73,closed_04,193,192,-1,-5.0,0.0051813471502590676,1.2787566432138195,1.2787629609796176,6.31776579806953e-06,964.7187546217601,959.5454410959644,-5.17331352579572,0.0053625095407459295
73,closed_05,186,185,-1,-5.0,0.005376344086021506,1.1746466881989253,1.174665250421147,1.8562222221740754e-05,927.2553537178187,922.0679428088023,-5.187410909016421,0.005594371483774736
73,closed_06,178,177,-1,-5.0,0.0056179775280898875,1.070423325140364,1.0704306412980034,7.31615763926996e-06,889.7181038677412,884.5097456357616,-5.20835823197956,0.005853942062478022
73,closed_07,171,170,-1,-5.0,0.005847953216374269,0.9663192860781668,0.9663479100494657,2.862397129899108e-05,851.9910318192724,846.4787077089703,-5.512324110302075,0.006469932081951034
73,closed_08,163,162,-1,-5.0,0.006134969325153374,0.8621483154830204,0.8621737453029346,2.5429819914157825e-05,812.1829199530239,806.7556640588411,-5.427255894182736,0.0066823073483208
73,closed_09,154,153,-1,-5.0,0.006493506493506494,0.7579285011200816,0.7579386081003832,1.0106980301571866e-05,769.4979414153221,764.2284582115085,-5.269483203813593,0.006847949708769251
73,closed_10,145,144,-1,-5.0,0.006896551724137931,0.6537781021703063,0.6537982207911156,2.0118620809306265e-05,723.7999386937719,718.291213427413,-5.5087252663588515,0.007610839642098263
73,closed_11,135,134,-1,-5.0,0.007407407407407408,0.5495922466996305,0.5496206442861906,2.8397586560147126e-05,674.6222993533438,668.6820702614812,-5.940229091862648,0.008805266439541989
101,closed_00,223,222,-1,-5.0,0.004484304932735426,1.6954232744182285,1.6954386804271429,1.5406008914364833e-05,1114.7202579701402,1109.189076876817,-5.531181093323312,0.004961945433193585
101,closed_01,216,215,-1,-5.0,0.004629629629629629,1.5913135134495906,1.5913390877500866,2.5574300495989633e-05,1077.2483105853041,1071.64494482949,-5.6033657558141385,0.00520155446126404
101,closed_02,208,207,-1,-5.0,0.004807692307692308,1.4870899485474156,1.4871077946958509,1.7846148435252118e-05,1039.7199406117943,1034.098195088035,-5.621745523759273,0.005406980576376474
101,closed_03,201,200,-1,-5.0,0.004975124378109453,1.3829798898145629,1.3830081502335552,2.8260418992287484e-05,1002.2612222344686,996.5519666916941,-5.7092555427744855,0.005696374773480824
101,closed_04,193,192,-1,-5.0,0.0051813471502590676,1.2787566432138195,1.278775884031718,1.9240817898502627e-05,964.7187546217601,959.045303329247,-5.673451292513164,0.005880938113136993
101,closed_05,186,185,-1,-5.0,0.005376344086021506,1.1746466881989253,1.1746752110700476,2.8522871122316218e-05,927.2553537178187,921.5366553123504,-5.718698405468331,0.0061673393230238915
101,closed_06,178,177,-1,-5.0,0.0056179775280898875,1.070423325140364,1.0704435346626628,2.0209522298753058e-05,889.7181038677412,884.0086929378251,-5.709410929916089,0.006417100995356173
101,closed_07,171,170,-1,-5.0,0.005847953216374269,0.9663192860781668,0.9663558489527972,3.65628746304969e-05,851.9910318192724,845.9913378218288,-5.9996939974436145,0.007041968487194467
101,closed_08,163,162,-1,-5.0,0.006134969325153374,0.8621483154830204,0.8621833026695486,3.4987186528168124e-05,812.1829199530239,806.2214486979173,-5.9614712551066305,0.007340059866626398
101,closed_09,154,153,-1,-5.0,0.006493506493506494,0.7579285011200816,0.7579589777285894,3.0476608507856717e-05,769.4979414153221,763.4310064102687,-6.066935005053438,0.00788427710916893
101,closed_10,145,144,-1,-5.0,0.006896551724137931,0.6537781021703063,0.6538136784878598,3.557631755346513e-05,723.7999386937719,717.6219863276581,-6.1779523661138,0.008535441958261331
101,closed_11,135,134,-1,-5.0,0.007407407407407408,0.5495922466996305,0.5496233952161549,3.114851652441519e-05,674.6222993533438,668.5155064067925,-6.106792946551309,0.009052165859926284
137,closed_00,223,223,0,0.0,0.0,1.6954232744182285,1.6955371818656715,0.00011390744744299575,1114.7202579701402,1110.52721838113,-4.193039589010141,0.0037615173484381575
137,closed_01,216,215,-1,-5.0,0.004629629629629629,1.5913135134495906,1.5913040494318764,-9.464017714178041e-06,1077.2483105853041,1073.0346558150025,-4.213654770301673,0.0039114981466178925
